Ano,D.Y,P/L,PEG RATIO,P/VP,EV/EBITDA,EV/EBIT,P/EBITDA,P/EBIT,VPA,P/ATIVO,LPA,P/SR,P/CAP. GIRO,P/ATIVO CIRC. LIQ.,DÍV. LÍQUIDA/PL,DÍV. LÍQUIDA/EBITDA,DÍV. LÍQUIDA/EBIT,PL/ATIVOS,PASSIVOS/ATIVOS,LIQ. CORRENTE,M. BRUTA,M. EBITDA,M. EBIT,M. LÍQUIDA,ROE,ROA,ROIC,GIRO ATIVOS,CAGR RECEITAS 5 ANOS,CAGR LUCROS 5 ANOS,Ticker,PrecoAnoSeguinte,PrecoAnoAtual,Alvo
2024,5.71,13.36,0.88,2.23,7.45,10.07,8.01,10.82,5.73,1.46,0.96,2.44,54.36,-2.01,-0.15,-0.55,-0.75,0.65,0.34,1.11,50.3,30.52,22.59,18.29,16.71,10.94,18.63,0.6,10.72,15.72,ABEV3,,13.034545464949174,Neutra
2023,5.32,14.34,0.95,2.4,8.04,10.87,8.6,11.61,5.73,1.57,0.96,2.62,58.35,-2.16,-0.15,-0.55,-0.75,0.65,0.34,1.11,50.3,30.52,22.59,18.29,16.71,10.94,18.63,0.6,10.72,15.72,ABEV3,13.034545464949174,13.99730763068566,Neutra
2022,5.25,15.82,,2.79,9.19,12.29,9.68,12.95,5.2,1.66,0.92,2.87,-83.96,-2.28,-0.14,-0.49,-0.66,0.59,0.4,0.93,49.29,29.63,22.15,18.14,17.64,10.48,19.52,0.58,10.72,14.74,ABEV3,13.99730763068566,14.823846266819881,Neutra
2021,4.41,19.16,,2.94,10.17,13.4,10.86,14.31,5.25,1.75,0.8,3.33,,-2.43,-0.19,-0.69,-0.91,0.6,0.39,0.99,51.05,30.69,23.29,17.39,15.33,9.14,18.74,0.53,9.82,0.2,ABEV3,14.823846266819881,16.298076978096596,Neutra
2020,2.64,21.64,,3.34,11.01,14.58,11.67,15.46,4.69,1.97,0.72,4.22,132.06,-2.74,-0.19,-0.66,-0.88,0.59,0.4,1.06,53.64,36.14,27.29,19.49,15.42,9.09,17.72,0.47,4.56,-1.74,ABEV3,16.298076978096596,13.966730778033916,Barata
2019,2.63,24.93,,4.79,13.74,17.74,14.17,18.29,3.9,2.89,0.75,5.58,112.5,-3.96,-0.14,-0.43,-0.55,0.6,0.39,1.1,58.79,39.41,30.52,22.4,19.22,11.58,23.31,0.52,6.67,-0.48,ABEV3,13.966730778033916,18.11788456256573,Cara
2018,3.58,21.99,0.43,4.3,10.78,13.57,11.19,14.1,3.58,2.53,0.7,4.81,,-3.44,-0.16,-0.42,-0.53,0.6,0.39,1.02,61.68,43.0,34.15,21.89,19.52,11.68,25.64,0.53,7.44,2.84,ABEV3,18.11788456256573,19.564716986890108,Neutra
2017,2.54,46.01,-1.09,7.27,15.87,19.74,16.25,20.21,2.93,3.85,0.46,6.98,-84.24,-5.38,-0.17,-0.38,-0.47,0.53,0.45,0.86,62.36,42.98,34.55,15.18,15.8,8.37,22.76,0.55,8.25,2.81,ABEV3,19.564716986890108,19.13038466526912,Neutra
2016,3.9,20.54,20.78,5.75,12.37,14.91,12.51,15.07,2.85,3.07,0.8,5.65,-52.75,-4.3,-0.06,-0.13,-0.16,0.53,0.44,0.83,63.43,45.2,37.5,27.51,27.99,14.96,32.25,0.54,,217.86,ABEV3,19.13038466526912,18.538461428422195,Neutra
2015,4.01,22.58,7.61,5.8,12.37,14.39,12.84,14.94,3.08,3.11,0.79,6.01,-153.53,-4.54,-0.21,-0.47,-0.54,0.54,0.44,0.94,65.62,46.78,40.2,26.59,25.71,13.78,28.09,0.52,,249.09,ABEV3,18.538461428422195,18.76019235757681,Neutra
