Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
INDICADORES DE VALUATION,D.Y,"5,71%","5,32%","5,25%","4,41%","2,64%","2,63%","3,58%","2,54%","3,90%","4,01%","4,67%",-%,-%,-%,-%
INDICADORES DE VALUATION,P/L,"13,36","14,34","15,82","19,16","21,64","24,93","21,99","46,01","20,54","22,58","21,24",-,-,-,-
INDICADORES DE VALUATION,PEG RATIO,"0,88","0,95",-,-,-,-,"0,43","-1,09","20,78","7,61",-,-,-,-,-
INDICADORES DE VALUATION,P/VP,"2,23","2,40","2,79","2,94","3,34","4,79","4,30","7,27","5,75","5,80","6,07",-,-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"7,45","8,04","9,19","10,17","11,01","13,74","10,78","15,87","12,37","12,37","13,62",-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"10,07","10,87","12,29","13,40","14,58","17,74","13,57","19,74","14,91","14,39","15,68",-,-,-,-
INDICADORES DE VALUATION,P/EBITDA,"8,01","8,60","9,68","10,86","11,67","14,17","11,19","16,25","12,51","12,84","14,05",-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"10,82","11,61","12,95","14,31","15,46","18,29","14,10","20,21","15,07","14,94","16,17",-,-,-,-
INDICADORES DE VALUATION,VPA,"5,73","5,73","5,20","5,25","4,69","3,90","3,58","2,93","2,85","3,08","2,69",-,-,-,-
INDICADORES DE VALUATION,P/ATIVO,"1,46","1,57","1,66","1,75","1,97","2,89","2,53","3,85","3,07","3,11","3,55",-,-,-,-
INDICADORES DE VALUATION,LPA,"0,96","0,96","0,92","0,80","0,72","0,75","0,70","0,46","0,80","0,79","0,77",-,-,-,-
INDICADORES DE VALUATION,P/SR,"2,44","2,62","2,87","3,33","4,22","5,58","4,81","6,98","5,65","6,01","6,73",-,-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"54,36","58,35","-83,96","-1.014,69","132,06","112,50","2.004,30","-84,24","-52,75","-153,53","-233,70",-,-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-2,01","-2,16","-2,28","-2,43","-2,74","-3,96","-3,44","-5,38","-4,30","-4,54","-4,98",-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"-0,15","-0,15","-0,14","-0,19","-0,19","-0,14","-0,16","-0,17","-0,06","-0,21","-0,19","-0,21","-0,17","-0,09","3,00"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"-0,55","-0,55","-0,49","-0,69","-0,66","-0,43","-0,42","-0,38","-0,13","-0,47","-0,43","-0,51","-0,46",-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"-0,75","-0,75","-0,66","-0,91","-0,88","-0,55","-0,53","-0,47","-0,16","-0,54","-0,49","-0,58","-0,46","-1,96","82,70"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,65","0,65","0,59","0,60","0,59","0,60","0,60","0,53","0,53","0,54","0,59","0,62","0,60","0,74","0,23"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,34","0,34","0,40","0,39","0,40","0,39","0,39","0,45","0,44","0,44","0,40","0,36","0,40","0,26","0,77"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,11","1,11","0,93","0,99","1,06","1,10","1,02","0,86","0,83","0,94","0,95","1,20",-,-,"0,14"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"50,30%","50,30%","49,29%","51,05%","53,64%","58,79%","61,68%","62,36%","63,43%","65,62%","66,35%","67,01%","67,55%",-%,-%
INDICADORES DE EFICIÊNCIA,M. EBITDA,"30,52%","30,52%","29,63%","30,69%","36,14%","39,41%","43,00%","42,98%","45,20%","46,78%","47,89%","50,02%","42,29%",-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"22,59%","22,59%","22,15%","23,29%","27,29%","30,52%","34,15%","34,55%","37,50%","40,20%","41,61%","44,02%","42,29%",-%,-%
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"18,29%","18,29%","18,14%","17,39%","19,49%","22,40%","21,89%","15,18%","27,51%","26,59%","31,68%","27,25%","19,63%",-%,-%
INDICADORES DE RENTABILIDADE,ROE,"16,71%","16,71%","17,64%","15,33%","15,42%","19,22%","19,52%","15,80%","27,99%","25,71%","28,58%","22,23%","16,98%","4,83%","3,65%"
INDICADORES DE RENTABILIDADE,ROA,"10,94%","10,94%","10,48%","9,14%","9,09%","11,58%","11,68%","8,37%","14,96%","13,78%","16,72%","13,83%","10,23%","3,57%","0,82%"
INDICADORES DE RENTABILIDADE,ROIC,"18,63%","18,63%","19,52%","18,74%","17,72%","23,31%","25,64%","22,76%","32,25%","28,09%","29,91%","27,50%","27,99%","3,97%","0,85%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,60","0,60","0,58","0,53","0,47","0,52","0,53","0,55","0,54","0,52","0,53","0,51","0,52","0,00","0,00"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"10,72%","10,72%","10,72%","9,82%","4,56%","6,67%","7,44%","8,25%",-%,-%,-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"15,72%","15,72%","14,74%","0,20%","-1,74%","-0,48%","2,84%","2,81%","217,86%","249,09%",-%,-%,-%,-%,-%
