Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"2,11%","1,95%","2,26%","1,05%",-%,"0,91%",-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE VALUATION,P/L,"4,51","4,86","29,00","20,94","45,85",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,PEG RATIO,"0,00","0,00",-,-,-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/VP,"0,96","1,04","0,66","0,85","1,18",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"1,95","2,12","3,18","7,09","13,31",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"2,12","2,30","4,17","9,20","19,89",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBITDA,"2,20","2,37","7,33","9,05","16,20",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"2,39","2,58","9,63","11,75","24,21",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,VPA,"25,62","25,62","25,61","25,39","24,63",-,-,-,-,-,"30,79","29,19","27,37","25,43",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,51","0,54","0,37","0,52","0,71",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,LPA,"5,46","5,46","0,59","1,03","0,64",-,-,-,-,-,"2,05","2,96","2,43","3,02",-,-
INDICADORES DE VALUATION,P/SR,"6,32","6,81","4,07","6,14","9,72",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"13,78","14,85","2,01","5,49","5,58",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,56","-0,60","-0,50","-0,62","-0,85",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"-0,11","-0,11","-0,38","-0,18","-0,21","-0,19","0,18","0,20","0,23","0,26","0,25","0,22","0,03","-0,02","0,11","0,09"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"-0,26","-0,26","-4,16","-1,96","-2,89","-3,64",-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"-0,28","-0,28","-5,46","-2,54","-4,32","-4,72","0,87","1,38","1,44","1,87","1,42","0,88","0,16","-0,09","0,50","0,30"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,53","0,53","0,55","0,61","0,60","0,59","0,50","0,49","0,50","0,49","0,50","0,49","0,50","0,58","0,55","0,55"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,43","0,43","0,36","0,30","0,30","0,31","0,29","0,32","0,31","0,32","0,33","0,35","0,34","0,26","0,28","0,27"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,58","1,58","3,22","2,44","4,37","6,44","1,35","1,61","1,39","1,41","2,12","2,15","2,67","3,49","0,70","0,59"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"96,37%","96,37%","72,11%","67,92%","66,20%","73,08%","79,04%","76,58%","75,35%","75,93%","76,26%","78,71%","83,19%","83,21%","81,88%","72,91%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"286,89%","286,89%","55,46%","67,86%","59,99%","44,39%",-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"264,05%","264,05%","42,25%","52,26%","40,15%","34,18%","149,77%","107,76%","112,90%","101,21%","132,51%","198,67%","162,22%","205,51%","152,41%","210,85%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"140,12%","140,12%","14,03%","29,31%","21,20%","2,96%","50,59%","39,01%","28,14%","29,33%","49,25%","81,94%","72,23%","105,41%","75,24%","98,86%"
INDICADORES DE RENTABILIDADE,ROE,"21,32%","21,32%","2,29%","4,07%","2,58%","0,34%","6,84%","5,35%","3,89%","4,02%","6,67%","10,13%","9,10%","12,22%","10,90%","13,43%"
INDICADORES DE RENTABILIDADE,ROA,"11,20%","11,20%","1,27%","2,47%","1,55%","0,20%","3,44%","2,60%","1,93%","1,98%","3,31%","4,99%","4,56%","7,06%","5,96%","7,41%"
INDICADORES DE RENTABILIDADE,ROIC,"27,21%","27,21%","5,54%","6,00%","3,37%","2,74%","8,91%","6,87%","7,28%","6,45%","8,08%","10,33%","9,46%","12,27%","11,59%","15,20%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,08","0,08","0,09","0,08","0,07","0,07","0,07","0,07","0,07","0,07","0,07","0,06","0,06","0,07","0,08","0,08"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"25,65%","25,65%","25,65%","22,33%","19,22%","18,45%","6,29%","6,68%","9,32%","12,35%","15,64%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"86,64%","86,64%","2,40%","23,34%","11,73%","-32,48%","-3,48%","-5,69%","-16,05%","-6,95%","0,60%",-%,-%,-%,-%,-%
