Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,-%,-%,-%,"1,18%","0,13%",-%,"2,77%","1,95%","3,00%","22,34%","3,83%","1,94%","1,58%","2,50%",-%,-%
INDICADORES DE VALUATION,P/L,"-23,17","-24,55","84,80","31,57","176,17","71,23","4,62","22,66","13,02","12,30","12,17","20,42","20,97","14,26",-,-
INDICADORES DE VALUATION,PEG RATIO,"0,14","0,15",-,-,-,-,"-0,54","113,48","0,40","-4,40","-1,26","1,90","-2,35",-,-,-
INDICADORES DE VALUATION,P/VP,"1,21","1,28","1,79","6,41","8,38","7,39","0,64","3,75","2,38","1,82","1,71","3,45","3,55","2,97",-,-
INDICADORES DE VALUATION,EV/EBITDA,"-33,04","-34,02","38,98","26,35","84,73","38,19","2,81","16,79","9,66","9,12","8,19","14,47","15,55","9,93",-,-
INDICADORES DE VALUATION,EV/EBIT,"-19,96","-20,55","48,97","31,46","84,12","40,88","3,46","21,45","9,58","11,32","10,08","17,44","18,76","11,65",-,-
INDICADORES DE VALUATION,P/EBITDA,"-28,28","-29,97","40,77","29,45","90,70","42,51","2,71","16,94","10,05","7,39","8,45","16,15","16,68","11,98",-,-
INDICADORES DE VALUATION,P/EBIT,"-17,08","-18,10","51,22","35,16","90,05","45,50","3,34","21,64","9,97","9,17","10,40","19,45","20,12","14,06",-,-
INDICADORES DE VALUATION,VPA,"7,89","7,89","8,43","5,77","5,01","4,49","26,45","4,65","4,20","3,91","4,25","4,29","4,26","4,18",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,83","0,87","1,21","2,71","5,13","4,32","0,38","2,13","1,25","0,89","0,93","1,88","2,14","1,79",-,-
INDICADORES DE VALUATION,LPA,"-0,41","-0,41","0,18","1,17","0,24","0,47","3,68","0,77","0,77","0,58","0,60","0,72","0,72","0,87",-,-
INDICADORES DE VALUATION,P/SR,"1,70","1,81","2,46","5,51","7,34","5,26","0,39","2,21","1,16","0,83","0,99","1,85","1,95","1,70",-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"2,94","3,11","4,52","-20,40","17,61","14,42","1,25","6,20","3,72","3,73","2,98","5,41","5,42","4,64",-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-1,36","-1,44","-2,18","-4,53","-11,57","-10,21","-0,96","-5,81","-3,10","-2,15","-2,26","-5,37","-6,51","-5,26",-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,15","0,15","0,11","-0,14","-0,15","-0,11","0,03","0,01","0,04","0,10","0,01","-0,14","-0,19","-0,49","-0,30","-0,10"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"-3,59","-3,59","2,48","-0,64","-1,65","-0,63","0,13","0,06","0,19","0,41","0,07","-0,66","-0,90","-1,98","-1,06","-0,49"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"-2,17","-2,17","3,12","-0,76","-1,64","-0,67","0,16","0,07","0,19","0,51","0,09","-0,79","-1,09","-2,32","-1,23","-0,71"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,68","0,68","0,68","0,42","0,61","0,58","0,60","0,57","0,55","0,49","0,55","0,55","0,60","0,60","0,58","0,59"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,32","0,32","0,32","0,57","0,37","0,40","0,38","0,41","0,45","0,49","0,42","0,45","0,39","0,39","0,40","0,38"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"3,51","3,51","2,52","0,75","2,10","2,08","2,06","2,19",-,"1,69","2,15","2,15","2,43","2,42","2,44","2,59"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"40,37%","40,37%","46,10%","49,55%","52,34%","50,29%","43,87%","44,05%","44,40%","42,71%","41,09%","41,46%","42,33%","44,82%","45,62%","43,12%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"-6,02%","-6,02%","6,04%","18,72%","8,09%","12,37%","14,46%","13,02%","11,56%","11,22%","11,75%","11,44%","11,70%","14,21%","16,95%","11,59%"
INDICADORES DE EFICIÊNCIA,M. EBIT,"-9,97%","-9,97%","4,81%","15,68%","8,15%","11,56%","11,73%","10,19%","11,65%","9,04%","9,54%","9,50%","9,70%","12,11%","14,53%","8,01%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"-7,36%","-7,36%","2,90%","17,46%","4,17%","7,38%","8,49%","9,73%","8,92%","6,74%","8,15%","9,05%","9,31%","11,94%","13,73%","6,53%"
INDICADORES DE RENTABILIDADE,ROE,"-5,22%","-5,22%","2,11%","20,31%","4,75%","10,37%","13,92%","16,57%","17,50%","14,80%","14,02%","16,90%","16,91%","20,80%","23,38%","11,66%"
INDICADORES DE RENTABILIDADE,ROA,"-3,56%","-3,56%","1,43%","8,59%","2,91%","6,06%","8,33%","9,40%","9,56%","7,24%","7,67%","9,22%","10,22%","12,59%","13,57%","6,85%"
INDICADORES DE RENTABILIDADE,ROIC,"-8,00%","-8,00%","1,62%","15,86%","8,16%","10,54%","12,34%","11,11%","16,90%","12,97%","11,90%","12,03%","13,90%","16,23%","18,14%","11,22%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,48","0,48","0,49","0,49","0,70","0,82","0,98","0,97","1,07","1,07","0,94","1,02","1,10","1,05","0,99","1,05"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"2,36%","2,36%","2,36%","-0,53%","-3,59%","1,55%","2,65%","4,36%","9,51%","12,59%","12,27%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,-%,-%,"-19,63%","13,78%","-12,43%","-0,44%","1,35%","5,29%","3,30%","-2,33%","17,35%",-%,-%,-%,-%,-%
