Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"3,19%","2,99%","2,35%","1,21%","0,78%","2,51%","2,33%","3,76%","3,33%","4,21%","2,26%","1,41%","0,47%","0,48%",-%,-%
INDICADORES DE VALUATION,P/L,"17,50","18,62","20,30","22,16","139,82","35,64","34,65","31,46","19,15","15,56","21,19","23,84","36,15","22,42",-,-
INDICADORES DE VALUATION,PEG RATIO,"-1,16","-1,24",-,-,-,-,"-4,53","0,95","-6,52","2,54","10,66","1,69","6,29",-,-,-
INDICADORES DE VALUATION,P/VP,"2,33","2,48","3,25","4,81","5,04","7,75","6,95","7,31","3,32","3,01","4,15","5,12","7,72","5,35",-,-
INDICADORES DE VALUATION,EV/EBITDA,"9,40","9,97","11,94","13,79","39,64","18,73",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"13,19","13,98","15,54","16,91","74,54","25,47","25,19","27,09","13,79","12,45","15,46","17,16","26,47","16,88",-,-
INDICADORES DE VALUATION,P/EBITDA,"8,81","9,38","12,04","13,32","39,22","19,05",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"12,36","13,16","15,67","16,33","73,75","25,90","25,84","27,99","14,69","13,18","16,14","17,75","27,31","18,07",-,-
INDICADORES DE VALUATION,VPA,"26,05","26,05","24,08","15,96","13,54","8,26","7,92","7,49","7,55","6,97","6,50","5,81","5,13","4,34",-,-
INDICADORES DE VALUATION,P/ATIVO,"1,19","1,27","1,85","2,27","2,40","4,09","4,73","4,63","2,45","2,18","3,00","3,74","5,50","4,02",-,-
INDICADORES DE VALUATION,LPA,"3,47","3,47","3,85","3,47","0,49","1,80","1,59","1,74","1,31","1,35","1,27","1,25","1,09","1,03",-,-
INDICADORES DE VALUATION,P/SR,"1,42","1,51","2,04","2,62","4,27","3,44","3,24","3,57","1,79","1,66","2,27","2,74","4,07","3,03",-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"13,18","14,03","11,53","59,86","10,40","11,20","8,43","9,75","4,41","3,98","5,43","6,44","9,07","6,22",-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-2,28","-2,43","-3,79","-4,45","-5,36","-13,36","-24,34","-24,96","-11,07","-9,51","-13,44","-17,48","-28,46","-26,25",-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,16","0,16","-0,03","0,17","0,05","-0,13","-0,17","-0,23","-0,20","-0,17","-0,18","-0,17","-0,24","-0,35","0,23","-0,05"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"0,59","0,59","-0,10","0,47","0,42","-0,32",-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"0,82","0,82","-0,14","0,58","0,79","-0,43","-0,65","-0,90","-0,90","-0,73","-0,68","-0,59","-0,84","-1,19","0,36","-0,09"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,51","0,51","0,57","0,47","0,48","0,53","0,68","0,63","0,74","0,72","0,72","0,73","0,71","0,75","0,55","0,50"
