Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
INDICADORES DE VALUATION,D.Y,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE VALUATION,P/L,"-12,64","-16,57","-19,27","-7,30","-4,57","-30,46","107,32",-,-,-,-
INDICADORES DE VALUATION,PEG RATIO,"0,28","0,37",-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/VP,"-0,73","-0,95","-0,73","-1,68","-3,50","-20,80","-75,93",-,-,-,-
INDICADORES DE VALUATION,EV/EBITDA,-,-,"7,49","18,92","43,44","8,72","55,42",-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"13,18","13,77","18,46","552,30","-12,62","-18,07","89,69",-,-,-,-
INDICADORES DE VALUATION,P/EBITDA,-,-,"3,95","19,23","121,71","29,57","53,04",-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"6,92","9,07","9,74","561,31","-35,36","-61,24","85,84",-,-,-,-
INDICADORES DE VALUATION,VPA,"-16,83","-16,83","-15,03","-14,52","-11,24","-2,80","-0,47",-,-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,79","1,03","0,74","1,66","3,13","3,81","2,82",-,-,-,-
INDICADORES DE VALUATION,LPA,"-0,97","-0,97","-0,57","-3,34","-8,61","-1,91","0,34",-,-,-,-
INDICADORES DE VALUATION,P/SR,"0,85","1,12","0,87","3,08","8,61","6,40","4,93",-,-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"-1,90","-2,49","-1,37","-5,25","-10,32","-26,88","-26,71",-,-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-1,13","-1,48","-1,01","-2,42","-4,77","-4,86","-3,63",-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,-,-,-,-,-,-,"0,64","0,59","3,09",-,"5,65"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,-,-,"6,40","13,65","10,34","0,73","2,37","1,44","4,80",-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"11,28","11,28","15,77","398,47","-3,00","-1,51","3,84","1,95","9,01","-24,25","5,87"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"-1,09","-1,09","-1,02","-0,99","-0,90","-0,18","0,27","0,27","0,12","-0,05","0,07"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"2,09","2,09","2,02","1,99","1,90","1,18","0,73","0,73","0,88","1,05","0,93"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"0,42","0,42","0,32","0,50","0,53","0,60","0,87","0,99","0,53","0,46","0,64"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"21,10%","21,10%","17,47%","18,56%","4,97%","0,66%","17,45%","23,19%","18,27%","9,92%","18,26%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,-%,-%,"22,10%","16,03%","7,08%","21,63%","9,29%","14,95%","9,68%",-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"12,33%","12,33%","8,96%","0,55%","-24,36%","-10,45%","5,74%","11,10%","5,16%","-2,68%","6,91%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"-6,75%","-6,75%","-4,53%","-42,23%","-188,62%","-21,00%","4,59%","6,79%","-1,89%","-17,18%","-1,12%"
INDICADORES DE RENTABILIDADE,ROE,"-5,74%","-5,74%","-3,80%","-22,98%","-76,58%","-68,29%","13,28%","18,67%","-12,61%","-274,09%","-15,62%"
INDICADORES DE RENTABILIDADE,ROA,"-6,23%","-6,23%","-3,86%","-22,73%","-68,60%","-12,52%","3,56%","5,13%","-1,50%","-13,71%","-1,04%"
INDICADORES DE RENTABILIDADE,ROIC,"42,22%","42,22%","33,94%","0,83%","24,18%","130.508,74%","5,00%","12,59%","3,98%","-3,85%","10,30%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,92","0,92","0,85","0,54","0,36","0,60","0,78","0,76","0,79","0,80","0,93"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"15,41%","15,41%","15,41%","8,38%","-1,70%","14,54%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
