Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE VALUATION,D.Y,"3,12%","2,19%","3,66%","15,28%","3,47%","2,70%","2,62%","1,99%","3,05%",-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE VALUATION,P/L,"17,97","19,47","19,06","14,47","30,47","32,60","26,45","36,19","20,71","8,98","19,15","20,25","25,80","19,11",-,-,-
INDICADORES DE VALUATION,PEG RATIO,"-8,28","-8,97",-,-,-,-,"0,43","-3,49","-0,60","0,07","-1,98","30,10","10,29",-,-,-,-
INDICADORES DE VALUATION,P/VP,"3,75","4,06","3,97","3,05","5,16","3,49","2,21","1,93","1,57","1,08","0,99","1,14","1,43","1,04",-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"11,19","12,17","11,73","8,59","17,78","19,58","15,82","21,33","20,22","6,15","13,40","13,28","18,43","16,34",-,-,-
INDICADORES DE VALUATION,EV/EBIT,"13,40","14,57","13,94","10,02","21,07","25,80","22,10","31,60","22,04","6,08","12,46","12,82","17,73","14,54",-,-,-
INDICADORES DE VALUATION,P/EBITDA,"11,71","12,69","12,15","9,26","19,05","20,77","16,51","21,34","25,10","8,70","13,99","15,05","19,87","17,22",-,-,-
INDICADORES DE VALUATION,P/EBIT,"14,02","15,19","14,44","10,80","22,58","27,38","23,08","31,60","27,36","8,60","13,01","14,53","19,10","15,32",-,-,-
INDICADORES DE VALUATION,VPA,"3,58","3,58","3,32","3,66","11,90","12,33","12,16","11,80","10,50","10,11","9,99","9,74","9,80","9,41",-,-,-
INDICADORES DE VALUATION,P/ATIVO,"1,58","1,72","1,69","1,30","2,73","2,21","1,47","1,25","0,96","0,75","0,74","0,85","1,15","0,85",-,-,-
INDICADORES DE VALUATION,LPA,"0,75","0,75","0,69","0,77","2,02","1,32","1,01","0,63","0,80","1,21","0,51","0,55","0,54","0,51",-,-,-
INDICADORES DE VALUATION,P/SR,"7,22","7,82","7,97","6,63","13,56","14,98","11,43","12,77","12,90","8,92","9,22","10,30","13,43","10,52",-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"13,90","15,06","10,30","8,39","17,04","36,66","32,10","44,50","3,76","3,01","20,95","13,61","14,78","42,51",-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-2,47","-2,68","-2,64","-2,17","-4,33","-2,99","-1,83","-1,51","-1,53","-1,12","-0,83","-1,01","-1,34","-0,95",-,-,-

Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"-0,17","-0,17","-0,14","-0,22","-0,34","-0,20","-0,09","0,00","-0,31","-0,32","-0,04","-0,13","-0,10","-0,05","-0,07","-0,17","-0,12"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"-0,52","-0,52","-0,42","-0,67","-1,27","-1,20","-0,70","-0,01","-4,88","-2,55","-0,60","-1,77","-1,43","-0,88","-1,00","-3,39","-4,00"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"-0,62","-0,62","-0,50","-0,78","-1,51","-1,58","-0,98","-0,01","-5,32","-2,52","-0,55","-1,71","-1,38","-0,78","-1,02","-3,54","-4,26"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,42","0,42","0,43","0,43","0,53","0,63","0,66","0,65","0,61","0,70","0,74","0,74","0,80","0,82","0,86","0,93","0,95"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,58","0,58","0,57","0,57","0,47","0,37","0,34","0,35","0,39","0,30","0,26","0,25","0,20","0,18","0,14","0,07","0,05"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,46","1,46","1,84","1,63","1,77","1,30","1,30","1,19","3,17","4,14","1,47","1,59","2,13","1,24","1,80","3,04","2,85"

Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE EFICIÊNCIA,M. BRUTA,"85,66%","85,66%","89,92%","89,89%","89,87%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"61,65%","61,65%","65,56%","71,67%","71,20%","72,10%","69,19%","59,85%","51,40%","102,54%","65,88%","68,42%","67,58%","61,07%","69,52%","65,08%","36,77%"
INDICADORES DE EFICIÊNCIA,M. EBIT,"51,52%","51,52%","55,17%","61,44%","60,06%","54,71%","49,51%","40,40%","47,16%","103,69%","70,85%","70,87%","70,27%","68,65%","68,65%","62,28%","34,58%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"40,19%","40,19%","41,80%","45,85%","44,52%","45,94%","43,20%","35,29%","62,32%","99,35%","48,12%","50,86%","52,03%","55,02%","60,28%","58,33%","40,30%"

Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE RENTABILIDADE,ROE,"20,86%","20,86%","20,85%","21,05%","16,94%","10,69%","8,34%","5,33%","7,59%","12,01%","5,15%","5,61%","5,54%","5,45%","5,90%","4,56%","3,40%"
INDICADORES DE RENTABILIDADE,ROA,"8,82%","8,82%","8,88%","8,98%","8,96%","6,78%","5,54%","3,45%","4,64%","8,37%","3,83%","4,18%","4,45%","4,44%","5,06%","4,23%","3,24%"
INDICADORES DE RENTABILIDADE,ROIC,"12,22%","12,22%","12,39%","12,35%","13,42%","8,76%","7,25%","4,02%","3,65%","8,14%","3,76%","4,34%","4,18%","3,76%","4,18%","3,29%","1,79%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,22","0,22","0,21","0,20","0,20","0,15","0,13","0,10","0,07","0,08","0,08","0,08","0,09","0,08","0,08","0,07","0,08"

Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"22,44%","22,44%","22,44%","34,69%","33,29%","23,81%","17,84%","12,21%","4,03%","3,14%","6,09%","5,83%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"26,63%","26,63%","26,66%","26,67%","13,52%","22,67%","14,06%","3,83%","6,65%","13,98%","2,09%","10,87%",-%,-%,-%,-%,-%

