Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"7,96%","8,26%","12,01%","7,86%","3,81%","4,84%","3,26%","2,96%","2,65%","11,42%","6,97%","9,68%","6,33%","7,93%",-%,-%
INDICADORES DE VALUATION,P/L,"4,97","4,77","3,33","4,19","8,36","9,23","9,64","8,58","11,45","3,00","5,75","6,70","6,52","5,35",-,-
INDICADORES DE VALUATION,PEG RATIO,"0,23","0,22",-,-,-,-,"0,32","0,17","-0,23","0,16","0,42","-0,93","-0,58",-,-,-
INDICADORES DE VALUATION,P/VP,"1,00","0,96","0,62","0,58","0,95","1,53","1,45","1,04","1,06","0,60","0,98","1,00","1,20","1,17",-,-
INDICADORES DE VALUATION,EV/EBITDA,-,-,-,-,-,"10,01",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"3,86","3,71","2,60","3,45","9,60","13,59","6,53","5,72","7,39","4,17","4,36","5,44","4,89","3,79",-,-
INDICADORES DE VALUATION,P/EBITDA,-,-,-,-,-,"10,01",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"3,86","3,71","2,60","3,45","9,60","13,59","6,53","5,72","7,39","4,17","4,36","5,44","4,89","3,79",-,-
INDICADORES DE VALUATION,VPA,"57,82","57,82","55,58","49,82","40,74","34,51","32,10","30,55","26,60","24,66","24,37","24,38","21,36","20,33",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,07","0,07","0,05","0,04","0,06","0,10","0,09","0,06","0,05","0,03","0,05","0,06","0,07","0,08",-,-
INDICADORES DE VALUATION,LPA,"11,62","11,62","10,42","6,88","4,64","5,72","4,83","3,71","2,45","4,91","4,14","3,64","3,92","4,43",-,-
INDICADORES DE VALUATION,P/SR,"0,62","0,59","0,42","0,66","1,13","1,23","1,11","0,62","0,46","0,23","0,49","0,67","0,78","0,73",-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"2,89","2,77","1,51","1,58","0,66","-0,51","-0,62","-0,36","-0,31","-0,22","-0,32","-0,52","-0,87","-1,26",-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,08","-0,07","-0,05","-0,04","-0,07","-0,20","-0,20","-0,14","-0,11","-0,06","-0,10","-0,12","-0,16","-0,18",-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,07","0,07","0,08","0,07","0,07","0,07","0,07","0,07","0,06","0,06","0,06","0,06","0,06","0,07","0,07","0,06"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,92","0,92","0,92","0,88","0,88","0,87","0,93","0,93","0,94","0,94","0,93","0,93","0,94","0,93","0,93","0,94"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"14,76","14,76","24,89","26,54","56,87","0,07",-,-,-,-,-,-,-,-,-,-
INDICADORES DE EFICIÊNCIA,M. BRUTA,"32,66%","32,66%","31,43%","47,38%","56,18%","27,50%","31,68%","21,31%","17,58%","12,32%","23,13%","28,88%","32,05%","32,48%","40,36%","41,87%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,-%,-%,-%,-%,-%,"12,29%",-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"15,94%","15,94%","16,19%","19,05%","11,73%","9,05%","16,98%","10,83%","6,18%","5,56%","11,33%","12,30%","15,94%","19,21%","19,44%","29,03%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"12,40%","12,40%","12,62%","15,66%","13,47%","13,32%","11,50%","7,23%","3,99%","7,71%","8,60%","9,98%","11,94%","13,61%","13,27%","19,88%"
INDICADORES DE RENTABILIDADE,ROE,"20,10%","20,10%","18,78%","13,82%","10,63%","15,22%","13,57%","10,92%","8,14%","17,04%","14,49%","14,26%","16,26%","19,91%","20,80%","33,25%"
INDICADORES DE RENTABILIDADE,ROA,"1,50%","1,50%","1,49%","0,99%","0,75%","1,07%","0,99%","0,79%","0,51%","1,01%","0,93%","0,90%","0,99%","1,31%","1,41%","1,91%"
INDICADORES DE RENTABILIDADE,ROIC,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,12","0,12","0,12","0,06","0,06","0,08","0,09","0,11","0,13","0,13","0,11","0,09","0,08","0,10","0,11","0,10"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"9,97%","9,97%","9,97%","-6,50%","-11,56%","-2,23%","2,83%","9,32%","13,59%","16,46%","15,30%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"25,65%","25,65%","22,94%","22,92%","-1,13%","6,71%","5,78%","-1,12%","-11,14%","4,49%","-2,49%",-%,-%,-%,-%,-%
