Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"7,98%","9,93%","2,80%","5,34%","2,61%","5,68%","2,97%","3,18%","1,24%","7,36%","3,70%","2,97%","2,89%","3,48%",-%,-%
INDICADORES DE VALUATION,P/L,"10,73","13,14","7,61","7,99","15,01","13,87","15,66","12,10","9,00","5,37","9,63","9,87","11,91","10,73",-,-
INDICADORES DE VALUATION,PEG RATIO,"-0,25","-0,31",-,-,-,-,"-5,30","-2,69","-6,84","0,29","0,41","1,01","3,91",-,-,-
INDICADORES DE VALUATION,P/VP,"0,89","1,09","1,01","1,25","1,68","2,18","2,14","1,87","1,60","1,09","1,81","1,73","1,92","2,12",-,-
INDICADORES DE VALUATION,EV/EBITDA,-,-,-,-,-,"15,66",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"16,00","19,48","6,30","5,24","55,87","21,16","12,53","8,48","5,06","10,46","7,55","8,97","8,56","7,33",-,-
INDICADORES DE VALUATION,P/EBITDA,-,-,-,-,-,"16,13",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"16,80","20,57","6,67","5,68","59,07","21,80","13,36","8,71","5,05","10,14","7,63","8,55","8,71","8,05",-,-
INDICADORES DE VALUATION,VPA,"15,62","15,62","14,97","15,41","16,20","16,58","18,02","18,08","18,09","17,61","19,37","16,86","18,31","14,53",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,08","0,10","0,09","0,11","0,18","0,25","0,23","0,20","0,15","0,10","0,15","0,14","0,16","0,16",-,-
INDICADORES DE VALUATION,LPA,"1,30","1,30","1,99","2,41","1,81","2,61","2,47","2,80","3,22","3,59","3,64","2,95","2,95","2,87",-,-
INDICADORES DE VALUATION,P/SR,"0,66","0,81","0,78","1,49","2,45","2,35","2,31","1,50","0,99","0,85","1,48","1,58","1,57","1,39",-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"0,65","0,79","1,43","3,27","1,39","-3,13","-3,30","-1,47","-0,83","-0,72","-2,42","-1,91","-2,09","2,02",-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,09","-0,11","-0,10","-0,12","-0,20","-0,51","-0,50","-0,40","-0,29","-0,21","-0,39","-0,34","-0,42","-0,47",-,-

Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,09","0,09","0,09","0,11","0,11","0,10","0,10","0,10","0,09","0,09","0,09","0,09","0,09","0,08","0,08","0,09"
