Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"8,23%","7,37%","4,33%","10,18%","2,95%",-%,-%,"2,48%",-%,-%,-%,-%,"2,81%","1,20%",-%,-%
INDICADORES DE VALUATION,P/L,"11,13","12,43","12,06","10,74","8,01","299,39","-0,88","-8,71","14,95","-2,96","-3,53","-5,37","-6,06","12,35","35,36",-
INDICADORES DE VALUATION,PEG RATIO,"-0,20","-0,22",-,-,-,-,"0,00","0,04","-0,12","-0,03","-0,11","-0,09","0,01","0,11",-,-
INDICADORES DE VALUATION,P/VP,"6,47","7,22","15,53","9,83","6,65","-17,17","-3,71","34,44","5,60","-6,16","3,07","3,81","1,57","1,05","1,46",-
INDICADORES DE VALUATION,EV/EBITDA,"5,08","5,27","5,13","5,26",-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"6,37","6,60","6,01","6,16",-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBITDA,"1,58","1,77","2,77","2,70","2,66","2,80",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"1,99","2,22","3,25","3,16","3,11","3,31","1,65","2,47","3,29","2,57","2,49","3,67","2,81","1,98","3,37",-
INDICADORES DE VALUATION,VPA,"1,03","1,03","0,83","1,08","1,53","-0,75","-1,35","0,31","2,17","-2,16","3,22","3,02","7,18","5,07","4,79",-
INDICADORES DE VALUATION,P/ATIVO,"0,16","0,18","0,37","0,32","0,33","0,37","0,09","0,21","0,33","0,28","0,20","0,34","0,27","0,16","0,28",-
INDICADORES DE VALUATION,LPA,"0,60","0,60","1,07","0,99","1,27","0,04","-5,66","-1,22","0,81","-4,50","-2,81","-2,14","-1,85","0,43","0,20",-
INDICADORES DE VALUATION,P/SR,"0,15","0,16","0,25","0,24","0,29","0,28","0,07","0,20","0,30","0,25","0,21","0,31","0,27","0,14","0,22",-
INDICADORES DE VALUATION,P/CAP. GIRO,"0,58","0,64","1,62","0,99","1,14","1,83","0,52","0,72","1,02","1,20","0,64","1,12","0,95","0,78","0,98",-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,38","-0,42","-0,94","-1,02","-0,99","-0,97","-0,24","-0,54","-0,88","-0,72","-0,50","-0,79","-0,58","-0,31","-0,54",-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"14,28","14,28","13,21","9,33","6,17",-,-,"81,60","6,59",-,"5,99","4,21","1,83","2,40","2,09","1,52"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"3,50","3,50","2,36","2,56","2,46","3,48",-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"4,38","4,38","2,76","3,00","2,89","4,11","9,00","5,86","3,87","4,62","4,84","4,06","3,29","4,56","4,83","5,58"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,02","0,02","0,02","0,03","0,05","-0,02","-0,02","0,01","0,06","-0,05","0,07","0,09","0,17","0,15","0,19","0,25"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,96","0,96","0,95","0,97","0,95","1,02","1,02","0,99","0,94","1,05","0,93","0,91","0,83","0,82","0,79","0,75"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,87","1,87","1,60","1,90","1,76","1,47","1,36","1,86","2,01","1,65","2,17","2,12","2,15","1,74","2,39","2,28"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"19,88%","19,88%","18,52%","17,23%","19,76%","19,23%","17,57%","18,48%","19,54%","20,19%","19,37%","20,63%","20,91%","15,10%","19,01%","18,14%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"9,30%","9,30%","9,16%","8,83%","10,83%","10,08%",-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"7,42%","7,42%","7,82%","7,55%","9,24%","8,54%","4,16%","8,18%","9,19%","9,68%","8,49%","8,42%","9,55%","7,10%","6,42%","5,51%"
