Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE VALUATION,D.Y,-%,-%,-%,-%,-%,-%,"0,27%","0,34%","0,07%","11,90%",-%,"16,30%",-%,-%,-%,-%,-%
INDICADORES DE VALUATION,P/L,"-0,40","-0,61","-11,22","-28,26","25,71","-10,09","-21,24","52,51","-48,92","133,68","10,08","2,09","18,11",-,-,-,-
INDICADORES DE VALUATION,PEG RATIO,"0,00","0,00",-,-,-,-,"0,09","-0,17","0,06","-1,36","-0,40","0,01","0,09",-,-,-,-
INDICADORES DE VALUATION,P/VP,"0,16","0,24","0,73","1,49","4,32","25,02","2,79","3,69","1,66","0,44","2,04","0,61","1,97",-,-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"8,47","8,87",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"-46,29","-48,47",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBITDA,"0,79","1,19","1,71","13,87","10,42","-70,19","8,79","7,64","6,52",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"-4,30","-6,48","3,30","-24,47","15,94","-13,88","16,07","9,83","6,52","2,65","4,34","1,08","5,25",-,-,-,-
INDICADORES DE VALUATION,VPA,"46,63","46,63","3,31","3,53","3,74","0,45","1,57","2,15","2,18","3,29","3,33","12,24","9,16","8,17",-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,02","0,03","0,11","0,24","0,78","0,59","0,23","0,52","0,27","0,11","0,56","0,18","0,48",-,-,-,-
INDICADORES DE VALUATION,LPA,"-18,80","-18,80","-0,21","-0,19","0,63","-1,11","-0,21","0,15","-0,07","0,01","0,67","3,59","0,99","0,32",-,-,-
INDICADORES DE VALUATION,P/SR,"0,02","0,04","0,12","0,27","0,89","0,56","0,21","0,40","0,23","0,10","0,39","0,11","0,30",-,-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"-0,15","-0,23","-1,46","-39,40","34,37","-4,41","-2,73","-4,94","-3,45","1,56","8,79","2,06","5,41",-,-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,04","-0,06","-0,21","-0,50","-1,87","-1,21","-0,52","-1,36","-0,68","-0,33","-1,80","-0,54","-1,63",-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"1,58","1,58","1,39","1,36","1,02","7,85","0,27","0,06","-0,03","-0,55","-0,11","0,11","0,41","1,11","0,50","0,04","0,10"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"7,68","7,68","3,29","12,63","2,47","-22,02","1,07","0,13","-0,13",-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"-41,99","-41,99","6,34","-22,28","3,78","-4,35","1,95","0,16","-0,13","-3,28","-0,25","0,19","1,09","4,36","4,21","-0,06","1,83"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,14","0,14","0,15","0,16","0,18","0,02","0,12","0,15","0,16","0,26","0,29","0,29","0,24","0,23","0,26","0,26","0,36"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,86","0,86","0,85","0,84","0,82","0,98","0,88","0,85","0,84","0,74","0,71","0,71","0,75","0,77","0,74","0,74","0,64"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"0,74","0,74","0,87","0,99","1,04","0,79","0,91","0,87","0,89","1,13","1,37","1,15","1,14","1,22","1,48","0,92","1,27"
