Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015
INDICADORES DE VALUATION,D.Y,-%,-%,-%,"0,27%","0,17%","0,23%",-%,-%,-%,-%
INDICADORES DE VALUATION,P/L,"-238,07","-238,07",-,"-337,96","-3.485,69","20,00",-,-,-,-
INDICADORES DE VALUATION,PEG RATIO,"0,13","0,13",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/VP,"1,08","1,08",-,"2,93","7,60","0,72",-,-,-,-
INDICADORES DE VALUATION,EV/EBITDA,-,-,-,"-155,95","-792,22","17,89",-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"-91,21","-91,21",-,"-113,80","-282,42","37,08",-,-,-,-
INDICADORES DE VALUATION,P/EBITDA,-,-,-,"-155,95","-792,22","17,89",-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"-91,21","-91,21",-,"-113,80","-282,42","37,08",-,-,-,-
INDICADORES DE VALUATION,VPA,"9,67","9,67","9,67","9,76","12,96","65,03",-,-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,23","0,23",-,"0,67","1,27","0,16",-,-,-,-
INDICADORES DE VALUATION,LPA,"-0,04","-0,04","-0,04","-0,08","-0,03","2,33",-,-,-,-
INDICADORES DE VALUATION,P/SR,"12,42","12,42",-,"12,42","26,95","1,87",-,-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,-,-,-,"-1,35","-13,65","1,04",-,-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,24","-0,24",-,"-0,68","-2,38","-0,43",-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,22","0,22","0,21","0,23","0,17","0,22","0,17","0,11","0,11","0,13"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,78","0,78","0,78","0,77","0,83","0,78","0,83","0,89","0,89","0,87"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,-,-,-,"0,03","0,83","1,31",-,-,-,-
INDICADORES DE EFICIÊNCIA,M. BRUTA,"50,04%","50,04%","50,04%","67,47%","57,47%","54,55%","54,63%","40,01%","44,46%","50,68%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,-%,-%,-%,"-7,96%","-3,40%","10,44%","14,11%","9,70%","5,25%","10,12%"
INDICADORES DE EFICIÊNCIA,M. EBIT,"-13,62%","-13,62%","-13,62%","-10,91%","-9,54%","5,03%","16,65%","11,32%","5,03%","9,42%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"-5,22%","-5,22%","-5,22%","-3,67%","-0,77%","9,33%","10,53%","8,82%","4,39%","6,85%"
INDICADORES DE RENTABILIDADE,ROE,"-0,45%","-0,45%","-0,46%","-0,87%","-0,22%","3,58%","7,27%","12,36%","7,18%","9,79%"
INDICADORES DE RENTABILIDADE,ROA,"-0,10%","-0,10%","-0,10%","-0,20%","-0,04%","0,78%","1,20%","1,34%","0,79%","1,30%"
INDICADORES DE RENTABILIDADE,ROIC,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,02","0,02","0,02","0,05","0,05","0,08","0,11","0,15","0,18","0,19"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"5,80%","5,80%","5,80%","27,91%","14,14%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
