Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"2,18%","2,07%","2,74%","4,10%","1,29%","1,85%","2,86%",-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE VALUATION,P/L,"15,53","16,32","11,71","9,26","25,91","17,84","16,46","8,36",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,PEG RATIO,"0,66","0,69",-,-,-,-,"-0,43","-0,15",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/VP,"2,87","3,02","2,17","2,15","3,19","3,14","1,12","0,94",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"14,25","15,27","10,34","9,01","47,45","15,59","54,03","13,87",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"13,10","14,04","9,48","8,77","83,41","13,76","42,80","10,96",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBITDA,"14,54","15,27","10,34","9,01","47,45","15,59","54,03","13,87",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"13,36","14,04","9,48","8,77","83,41","13,76","42,80","10,96",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,VPA,"12,46","12,46","11,05","9,75","29,51","24,25","21,02","20,29","19,66","21,72","16,22","13,34","12,59",-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,32","0,34","0,25","0,25","0,34","0,38","0,13","0,11",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,LPA,"2,31","2,31","2,04","2,27","3,63","4,27","1,43","2,27","5,27","0,81","2,34","2,74","2,67",-,-,-
INDICADORES DE VALUATION,P/SR,"3,09","3,25","1,85","4,80","6,44","6,01","2,82","2,31",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"22,28","23,42","8,84","5,60","9,01","3,58","2,70","0,96",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-3,30","-3,47","-2,87","-3,45","-1,15","-1,53","-0,39","-0,32",-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,11","0,11","0,11","0,12","0,11","0,12","0,14","0,16","0,16","0,08","0,09","0,10","0,08","0,08","0,08","0,15"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,89","0,89","0,89","0,88","0,89","0,88","0,86","0,84","0,84","0,92","0,90","0,89","0,92","0,92","0,92","0,85"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,02","1,02","1,03","1,10","0,92","1,16",-,-,-,-,-,-,-,-,"1,08","11,33"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"19,88%","19,88%","17,34%","33,71%","-7,36%","31,18%","-11,15%","21,91%","56,37%","-30,87%","14,97%","29,48%","39,08%","24,14%","36,39%","25,32%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"21,26%","21,26%","17,89%","53,23%","13,57%","38,56%","5,22%","16,66%","37,55%","-18,33%","12,66%","34,28%",-%,-%,-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"23,13%","23,13%","19,52%","54,68%","7,72%","43,67%","6,59%","21,07%","53,63%","-28,84%","15,36%","34,11%","36,70%","21,25%","38,12%","57,37%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"19,91%","19,91%","15,80%","51,82%","24,86%","33,69%","17,14%","27,62%","36,42%","6,31%","18,21%","28,07%","26,44%","25,33%","26,01%","31,61%"
INDICADORES DE RENTABILIDADE,ROE,"18,51%","18,51%","18,51%","23,27%","12,29%","17,59%","6,75%","11,02%","26,56%","3,68%","14,21%","19,85%","20,60%","21,07%","14,56%","19,40%"
INDICADORES DE RENTABILIDADE,ROA,"2,07%","2,07%","2,12%","2,73%","1,30%","2,13%","0,97%","1,76%","4,25%","0,30%","1,34%","2,05%","1,71%","1,62%","1,12%","2,88%"
INDICADORES DE RENTABILIDADE,ROIC,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,10","0,10","0,13","0,05","0,05","0,06","0,06","0,06","0,12","0,05","0,07","0,07","0,06","0,06","0,04","0,09"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"46,00%","46,00%","46,00%","5,25%","2,49%","-0,86%","-3,31%","-1,50%","19,80%","30,06%","42,33%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"33,74%","33,74%","30,57%","12,94%","34,81%","12,13%","-12,39%","-0,63%","28,82%","-2,01%","27,46%",-%,-%,-%,-%,-%
