Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE VALUATION,D.Y,"14,67%","11,78%","11,01%","45,09%","3,14%","3,64%","6,09%","1,65%","0,75%","20,71%","12,00%","2,59%","5,64%","5,37%",-%,-%,-%
INDICADORES DE VALUATION,P/L,"3,82","4,75","3,13","1,22","15,11","-33,04","9,26","4,31","8,25","-0,67","49,25","-183,75","23,61","5,47",-,-,-
INDICADORES DE VALUATION,PEG RATIO,"-0,06","-0,07",-,-,-,-,"-0,19","0,02","-0,07","0,00","-0,16","1,67","-0,31",-,-,-,-
INDICADORES DE VALUATION,P/VP,"1,01","1,26","1,56","1,31","1,97","1,39","1,11","1,14","0,66","0,22","0,56","0,97","1,25","1,28",-,-,-
INDICADORES DE VALUATION,EV/EBITDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"3,65","4,51","3,05","1,13","14,60","-31,25","8,50","3,67","5,97","-1,07","96,30","457,69","20,51","5,57",-,-,-
INDICADORES DE VALUATION,P/EBITDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"3,94","4,90","3,20","1,23","15,18","-32,06","8,94","3,85","6,64","-0,70","86,79","447,42","19,79","5,11",-,-,-
INDICADORES DE VALUATION,VPA,"20,41","20,41","19,02","19,09","32,34","27,47","28,62","25,19","22,63","22,65","25,57","25,85","26,23","24,82",-,-,-
INDICADORES DE VALUATION,P/ATIVO,"1,00","1,24","1,45","1,30","1,96","1,32","1,04","0,89","0,51","0,18","0,47","0,81","1,05","1,03",-,-,-
INDICADORES DE VALUATION,LPA,"5,40","5,40","9,48","20,55","4,22","-1,16","3,42","6,66","1,80","-7,41","0,29","-0,14","1,39","5,79",-,-,-
INDICADORES DE VALUATION,P/SR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"17,63","21,96","177,48","40,15","58,34","55,48","103,18","-14,64","5,04","5,08","-18,80","8,09","-89,32","-257,67",-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-1,07","-1,33","-1,58","-1,35","-2,04","-1,39","-1,10","-1,05","-0,61","-0,19","-0,52","-0,90","-1,14","-1,11",-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"-0,06","-0,06",-,"-0,04","-0,01","0,00","-0,03","0,00","-0,03","0,12","0,10","0,09","0,07","0,07","0,35","0,39","0,13"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"-0,24","-0,24",-,"-0,04","-0,04","-0,05","-0,20","0,02","-0,31","-0,39","14,81","40,17","1,20","0,27","1,01","1,70","0,49"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,99","0,99",-,"0,99","1,00","0,95","0,94","0,78","0,77","0,82","0,84","0,83","0,84","0,81","0,49","0,48","0,43"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,01","0,01",-,"0,01","0,00","0,05","0,06","0,22","0,23","0,18","0,16","0,17","0,16","0,19","0,51","0,52","0,55"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"5,31","5,31",-,"5,89","11,80","1,76","1,23","0,72","2,32","11,02","0,78","33,39","0,87","0,94","3,83","12,21","1,96"
INDICADORES DE EFICIÊNCIA,M. BRUTA,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,"59,44%","42,78%","54,42%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,"50,78%","47,84%","36,02%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,"36,42%","34,15%","27,48%"
INDICADORES DE RENTABILIDADE,ROE,"26,44%","26,44%",-%,"107,68%","13,03%","-4,22%","11,95%","26,44%","7,96%","-32,72%","1,14%","-0,53%","5,22%","23,34%","25,06%","16,41%","19,89%"
INDICADORES DE RENTABILIDADE,ROA,"26,09%","26,09%",-%,"106,96%","12,99%","-3,99%","11,19%","20,56%","6,12%","-26,72%","0,96%","-0,44%","4,39%","18,85%","12,32%","7,96%","8,60%"
INDICADORES DE RENTABILIDADE,ROIC,"25,51%","25,51%",-%,"106,86%","12,98%","-4,25%","12,06%","23,08%","8,05%","-26,87%","-0,72%","0,18%","5,33%","22,11%","19,32%","10,25%","16,76%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,00","0,00",-,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,34","0,23","0,31"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"-1,84%","-1,84%","9,87%","66,61%",-%,-%,-%,"36,80%","-20,84%",-%,"-36,23%",-%,-%,-%,-%,-%,-%
