Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,-%,-%,-%,-%,-%,-%,-%,-%,"1,58%","2,16%","1,49%","2,20%","0,27%","1,99%",-%,-%
INDICADORES DE VALUATION,P/L,"-7,55","-6,29","-2,83","43,62","12,94","96,10","-4,01","-26,42","-105,27","15,54","24,88","40,44","47,80","23,24",-,-
INDICADORES DE VALUATION,PEG RATIO,"-0,04","-0,04",-,-,-,-,"-0,01","-0,13","0,94","0,39","0,23","1,06","-1,09",-,-,-
INDICADORES DE VALUATION,P/VP,"1,97","1,65","0,80","2,16","2,09","3,62","2,56","2,66","3,31","3,58","3,55","2,93","2,53","2,26",-,-
INDICADORES DE VALUATION,EV/EBITDA,"27,27","24,09","15,05","7,72","7,43","12,02","-21,69","30,80","28,20","11,08","14,12","19,17","19,24","12,85",-,-
INDICADORES DE VALUATION,EV/EBIT,"-96,33","-85,10","-175,59","11,92","11,39","14,41","-167,72","66,26","28,20","13,58","17,35","26,14","32,19","18,53",-,-
INDICADORES DE VALUATION,P/EBITDA,"19,65","16,39","5,64","3,94","4,10","8,08","-11,17","20,84","21,60","9,33","12,96","16,62","16,18","11,00",-,-
INDICADORES DE VALUATION,P/EBIT,"-69,42","-57,89","-65,76","6,08","6,29","9,69","-86,35","44,84","21,60","11,43","15,91","22,66","27,07","15,88",-,-
INDICADORES DE VALUATION,VPA,"8,39","8,39","10,41","10,42","10,57","9,72","8,57","13,79","14,57","15,49","17,87","16,80","16,66","16,13",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,47","0,39","0,15","0,33","0,36","0,69","0,42","0,66","0,91","1,20","1,53","1,33","1,20","1,06",-,-
INDICADORES DE VALUATION,LPA,"-2,19","-2,19","-2,93","0,52","1,70","0,37","-5,47","-1,39","-0,46","3,57","2,55","1,22","0,88","1,57",-,-
INDICADORES DE VALUATION,P/SR,"0,52","0,43","0,17","0,38","0,45","0,86","0,59","1,05","1,16","1,50","1,91","1,55","1,42","1,24",-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"4,39","3,66","2,13","3,65","2,40","16,61","3,92","6,95","6,27","6,39","6,99","8,94","8,96","10,13",-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,91","-0,76","-0,29","-0,62","-0,67","-1,07","-0,76","-1,14","-1,63","-2,28","-2,97","-2,25","-1,92","-1,68",-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,77","0,77","1,33","2,08","1,69","1,77","2,41","1,27","0,98","0,67","0,32","0,45","0,48","0,38","0,28","0,37"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"7,70","7,70","9,41","3,78","3,33","3,94","-10,52","9,96","6,60","1,75","1,17","2,55","3,06","1,84","1,70","7,74"
