Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,-%,-%,"7,14%","13,08%",-%,"2,81%","3,98%","2,93%","7,34%","2,19%","3,46%",-%,"4,73%","6,51%",-%,-%
INDICADORES DE VALUATION,P/L,"-3,38","-3,70","-56,43","3,29","-2,81","-8,51","13,18","8,37","-66,36","7,34","19,49","32,85","-14,03","-20,67",-,-
INDICADORES DE VALUATION,PEG RATIO,"0,01","0,01",-,-,-,-,"-0,44","-0,01","0,58","0,02","0,48","-0,19","-0,30",-,-,-
INDICADORES DE VALUATION,P/VP,"3,18","3,47","2,59","5,84","-8,53","4,87","5,56","5,24","9,97","10,89","2,31","2,22","1,20","1,05",-,-
INDICADORES DE VALUATION,EV/EBITDA,"24,25","25,06","4,49","2,26","11,06","12,67",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"-11,05","-11,42","9,47","2,63","-611,46","-800,91","6,53","5,56","6,86","5,26","7,81","10,54","14,37","11,32",-,-
INDICADORES DE VALUATION,P/EBITDA,"9,70","10,60","2,10","1,52","4,73","6,66",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"-4,42","-4,83","4,43","1,76","-261,37","-420,60","4,55","3,65","4,59","3,20","4,02","6,11","6,45","5,33",-,-
INDICADORES DE VALUATION,VPA,"6,30","6,30","9,18","9,87","-2,76","6,13","8,51","8,18","3,44","2,54","7,57","9,46","10,68","12,18",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,17","0,19","0,22","0,50","0,22","0,35","0,64","0,64","0,53","0,37","0,28","0,36","0,25","0,27",-,-
INDICADORES DE VALUATION,LPA,"-5,91","-5,91","-0,42","17,54","-8,39","-3,51","3,60","5,12","-0,52","3,77","0,90","0,64","-0,91","-0,62",-,-
INDICADORES DE VALUATION,P/SR,"0,22","0,24","0,20","0,44","0,32","0,45","0,65","0,69","0,57","0,47","0,31","0,41","0,28","0,31",-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"1,22","1,33","1,84","3,26","3,24","3,32","-21,81","-29,84","-4,03","38,09","20,58","11,94","287,43","9,17",-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,29","-0,32","-0,35","-0,86","-0,36","-0,53","-1,00","-0,97","-0,77","-0,52","-0,40","-0,53","-0,36","-0,38",-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"4,75","4,75","2,84","2,91",-,"4,25","2,54","2,70","5,64","9,64","2,68","1,88","1,64","1,23","0,95","1,41"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"14,51","14,51","2,31","0,76","6,14","5,80",-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"-6,61","-6,61","4,88","0,88","-339,73","-366,81","2,08","1,88","2,59","2,83","4,66","5,18","8,83","6,23","3,07","5,00"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,05","0,05","0,08","0,08","-0,03","0,07","0,11","0,12","0,05","0,03","0,12","0,16","0,21","0,26","0,30","0,21"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,95","0,95","0,93","0,93","1,04","0,94","0,90","0,89","0,97","0,98","0,88","0,84","0,79","0,73","0,70","0,79"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,54","1,54","1,42","1,56","1,20","1,44","0,93","0,94","0,71","1,03","1,05","1,10","1,00","1,12","1,04","0,93"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"2,65%","2,65%","11,77%","30,35%","19,15%","12,70%","19,99%","26,11%","26,60%","21,66%","12,82%","12,57%","9,54%","11,55%","16,02%","16,15%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"2,26%","2,26%","9,33%","28,61%","6,79%","6,83%",-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"-4,95%","-4,95%","4,43%","24,66%","-0,12%","-0,11%","14,32%","19,00%","12,49%","14,70%","7,69%","6,69%","4,40%","5,82%","12,61%","8,70%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"-6,47%","-6,47%","-0,35%","13,24%","-11,43%","-5,35%","4,94%","8,29%","-0,86%","6,40%","1,59%","1,24%","-2,02%","-1,50%","7,43%","2,47%"
INDICADORES DE RENTABILIDADE,ROE,"-93,87%","-93,87%","-4,58%","177,79%","-303,85%","-57,27%","42,23%","62,64%","-15,02%","148,41%","11,86%","6,76%","-8,53%","-5,08%","18,24%","8,00%"
INDICADORES DE RENTABILIDADE,ROA,"-5,12%","-5,12%","-0,38%","15,11%","-7,77%","-4,11%","4,84%","7,65%","-0,79%","4,95%","1,45%","1,05%","-1,78%","-1,33%","5,50%","1,71%"
INDICADORES DE RENTABILIDADE,ROIC,"-11,04%","-11,04%","8,16%","53,45%","-7,20%","-5,91%","24,32%","27,50%","21,30%","18,23%","11,35%","8,69%","3,09%","6,23%","13,89%","0,29%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,79","0,79","1,10","1,14","0,68","0,77","0,98","0,92","0,91","0,77","0,91","0,85","0,88","0,88","0,74","0,69"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"14,40%","14,40%","14,40%","17,25%","4,54%","3,00%","7,20%","6,38%","7,57%","12,96%","22,84%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,-%,-%,-%,-%,-%,-%,"41,26%",-%,-%,"9,63%","12,43%",-%,-%,-%,-%,-%
