Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE VALUATION,D.Y,-%,-%,"0,65%",-%,-%,"4,93%","0,73%","0,52%",-%,"4,12%","2,86%","2,79%","0,56%","0,91%",-%,-%,-%
INDICADORES DE VALUATION,P/L,"12,72","12,72","12,00","38,81","-29,41","12,63","11,26","-9,93","32,59","1.063,03","15,50","11,42","7,03","15,63",-,-,-
INDICADORES DE VALUATION,PEG RATIO,"-15,71","-15,71",-,-,-,-,"-0,05","0,02","0,01","-10,74","-0,55","-0,19","0,03",-,-,-,-
INDICADORES DE VALUATION,P/VP,"0,60","0,60","0,62","0,67","0,80","1,43","1,09","0,78","0,58","0,56","0,83","0,88","1,50","1,11",-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"8,59","8,59","9,06","15,14","-60,94","9,57",-,"-10,59","38,79",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"8,19","8,19","8,79","17,45","-40,54","8,99","8,08","-10,40","41,97","6,78","7,04","6,65","4,72","6,94",-,-,-
INDICADORES DE VALUATION,P/EBITDA,"6,93","6,93","7,12","11,17","-47,52","8,52",-,"-8,79","21,76",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"6,61","6,61","6,91","12,87","-31,61","8,00","6,95","-8,63","23,54","3,59","4,43","4,28","3,62","5,09",-,-,-
INDICADORES DE VALUATION,VPA,"13,82","13,82","13,43","12,34","12,31","12,66","12,00","16,36","20,77","19,74","19,70","19,31","18,07","16,31",-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,38","0,38","0,38","0,37","0,45","0,84","0,63","0,44","0,29","0,25","0,38","0,41","0,69","0,52",-,-,-
INDICADORES DE VALUATION,LPA,"0,65","0,65","0,69","0,21","-0,34","1,43","1,16","-1,28","0,37","0,01","1,06","1,49","3,84","1,16",-,-,-
INDICADORES DE VALUATION,P/SR,"4,44","4,44","4,75","6,41","9,45","12,52","9,54","6,25","4,34","3,77","5,71","6,22","11,40","8,55",-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"-332,15","-332,15","17,68","5,80","6,22","23,82","32,03","5,47","39,07","50,35","21,81","-17,11","-69,25","-55,02",-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,41","-0,41","-0,41","-0,41","-0,50","-0,90","-0,68","-0,50","-0,30","-0,27","-0,41","-0,43","-0,74","-0,56",-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,14","0,14","0,17","0,24","0,23","0,18","0,18","0,16","0,45","0,48","0,49","0,49","0,45","0,40","0,24","0,08",-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"1,66","1,66","1,94","3,97","-13,42","1,05",-,"-1,80","17,03",-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"1,59","1,59","1,88","4,58","-8,93","0,98","1,13","-1,77","18,42","3,20","2,61","2,36","1,10","1,85","1,36","0,25",-
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,64","0,64","0,61","0,55","0,56","0,59","0,58","0,56","0,50","0,46","0,46","0,47","0,46","0,47","0,52","0,59",-
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,35","0,35","0,38","0,42","0,41","0,38","0,40","0,42","0,48","0,52","0,51","0,50","0,51","0,49","0,45","0,40",-
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"0,99","0,99","1,37","3,00","4,01","2,41","1,38","2,74","1,17","1,08","1,41","0,68","0,89","0,89","1,02","4,07",-
INDICADORES DE EFICIÊNCIA,M. BRUTA,"89,11%","89,11%","89,05%","90,42%","87,67%","89,56%","88,75%","90,21%","91,25%","92,82%","92,27%","91,99%","91,79%","90,23%","88,94%","91,80%","89,89%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"64,11%","64,11%","66,74%","57,44%","-19,88%","146,91%",-%,"-71,09%","19,94%",-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"67,22%","67,22%","68,85%","49,84%","-29,88%","156,52%","137,22%","-72,42%","18,43%","105,25%","128,83%","145,24%","314,98%","167,78%","177,21%","394,66%","313,72%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"34,91%","34,91%","39,63%","16,53%","-32,11%","99,13%","84,78%","-62,94%","13,31%","0,35%","36,87%","54,51%","162,27%","54,66%","90,56%","278,03%","167,51%"
INDICADORES DE RENTABILIDADE,ROE,"4,70%","4,70%","5,15%","1,74%","-2,73%","11,29%","9,67%","-7,84%","1,77%","0,05%","5,38%","7,74%","21,27%","7,11%","9,03%","21,85%",-%
INDICADORES DE RENTABILIDADE,ROA,"3,01%","3,01%","3,16%","0,96%","-1,53%","6,67%","5,59%","-4,42%","0,88%","0,02%","2,46%","3,61%","9,73%","3,34%","4,68%","12,90%",-%
INDICADORES DE RENTABILIDADE,ROIC,"6,57%","6,57%","6,74%","3,21%","-2,77%","11,12%","9,57%","-9,16%","-0,31%","6,88%","7,87%","9,39%","17,70%","10,49%","9,90%","16,88%",-%
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,09","0,09","0,08","0,06","0,05","0,07","0,07","0,07","0,07","0,07","0,07","0,07","0,06","0,06","0,05","0,05",-
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"2,70%","2,70%","2,70%","-2,54%","-7,67%","-1,04%","-0,84%","3,34%","8,35%","20,08%","27,54%","31,35%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,-%,-%,-%,"1,77%",-%,"20,61%","8,32%",-%,"-18,32%","-60,36%","-14,86%","4,94%",-%,-%,-%,-%,-%
