Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017
INDICADORES DE VALUATION,D.Y,-%,-%,-%,"1,14%",-%,-%,-%,-%
INDICADORES DE VALUATION,P/L,"-19,22","-17,71","-18,03","-68,87","96,19",-,-,-
INDICADORES DE VALUATION,PEG RATIO,"0,47","0,44",-,-,-,-,-,-
INDICADORES DE VALUATION,P/VP,"0,96","0,88","1,30","3,84","5,34",-,-,-
INDICADORES DE VALUATION,EV/EBITDA,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"-4,34","-3,56","-1,96","-30,82","55,01",-,-,-
INDICADORES DE VALUATION,P/EBITDA,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"-9,85","-9,07","-7,21","-38,38","66,63",-,-,-
INDICADORES DE VALUATION,VPA,"8,98","9,02","0,91","0,84","2,81",-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,62","0,57","0,75","2,88","5,03",-,-,-
INDICADORES DE VALUATION,LPA,"-0,45","-0,45","-0,07","-0,05","0,16",-,-,-
INDICADORES DE VALUATION,P/SR,"2,18","2,01","2,77","9,88","15,13",-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"1,27","1,17","2,26","4,57","5,66",-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-2,93","-2,70","-2,35","-11,05","-84,26",-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"-0,54","-0,54","-0,95","-0,76","-0,93",-,-,"-1,20"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"5,51","5,51","5,25","7,56","-11,62","0,00","0,00","1,08"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,65","0,65","0,58","0,75","0,94","0,00","0,00","0,65"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,34","0,34","0,41","0,23","0,05","0,00","0,00","0,35"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"2,65","2,65","1,96","6,82","18,49",-,-,"2,57"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"-22,15%","-22,15%","-38,44%","-25,75%","22,71%","10,56%","-17,34%","-65,85%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"-22,16%","-22,16%","-38,44%","-25,75%","22,71%","10,56%","-17,34%","-66,18%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"-11,35%","-11,35%","-15,37%","-14,35%","15,73%","18,45%","-16,88%","-62,83%"
INDICADORES DE RENTABILIDADE,ROE,"-4,98%","-4,98%","-7,20%","-5,57%","5,56%",-%,-%,"-105,89%"
INDICADORES DE RENTABILIDADE,ROA,"-3,24%","-3,24%","-4,17%","-4,19%","5,23%","39,76%","-35,91%","-69,25%"
INDICADORES DE RENTABILIDADE,ROIC,"-10,47%","-10,47%","-19,42%","-12,16%","5,56%",-%,-%,"-111,54%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,29","0,29","0,27","0,29","0,33","2,16","2,13","1,10"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"70,01%","70,01%","70,01%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,-%,-%,-%,-%,-%,-%,-%,-%
