Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"1,39%","1,36%","3,51%","1,43%","3,58%","4,02%","5,30%","3,94%","4,44%","4,74%","5,15%","4,15%","3,07%","14,88%",-%,-%
INDICADORES DE VALUATION,P/L,"30,11","30,67","5,29","33,66","142,43","26,66","28,90","18,15","16,44","25,34","20,17","23,22","29,17","6,00",-,-
INDICADORES DE VALUATION,PEG RATIO,"-0,39","-0,39",-,-,-,-,"-0,51","3,72","0,17","-0,72","-126,75","1,57","0,94",-,-,-
INDICADORES DE VALUATION,P/VP,"2,22","2,26","1,91","2,83","3,51","4,71","2,75","4,00","7,22","5,86","7,84","9,13","10,38","1,68",-,-
INDICADORES DE VALUATION,EV/EBITDA,-,-,"3,65","6,70","9,18","9,54","9,59","8,94",-,"9,71","10,25","11,99","14,85","4,76",-,-
INDICADORES DE VALUATION,EV/EBIT,"10,09","10,19","4,21","12,18","20,10","14,77","15,59","11,47","9,66","12,46","12,60","14,08","17,30","4,76",-,-
INDICADORES DE VALUATION,P/EBITDA,-,-,"1,87","3,53","6,11","6,98","5,93","6,52",-,"6,33","7,73","9,80","12,25","2,37",-,-
INDICADORES DE VALUATION,P/EBIT,"5,59","5,69","2,16","6,43","13,37","10,81","9,63","8,37","6,55","8,12","9,50","11,51","14,28","2,37",-,-
INDICADORES DE VALUATION,VPA,"6,28","6,28","5,68","4,09","3,83","4,03","4,08","4,04","2,21","2,14","1,96","1,95","1,87","7,26",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,53","0,54","0,43","0,57","0,81","1,15","0,73","1,07","1,15","1,02","1,58","2,24","2,70","0,42",-,-
INDICADORES DE VALUATION,LPA,"0,46","0,46","2,05","0,34","0,09","0,71","0,39","0,89","0,97","0,50","0,76","0,77","0,67","2,04",-,-
INDICADORES DE VALUATION,P/SR,"1,70","1,73","1,14","1,91","2,75","3,62","2,33","3,09","2,82","2,61","3,68","5,21","6,70","1,05",-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"21,78","22,19","11,78","11,38","54,00","62,58","-71,84","63,65","-9,61","-5,89","-13,72","-20,62","-15,70","-3,55",-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,68","-0,69","-0,58","-0,70","-1,07","-1,47","-0,87","-1,35","-1,39","-1,23","-1,85","-2,57","-2,96","-0,47",-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"1,79","1,79","1,81","2,54","1,77","1,72","1,70","1,48","3,42","3,13","2,55","2,04","2,20","1,70","1,41","0,89"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,-,-,"1,78","3,16","3,07","2,56","3,67","2,41",-,"3,38","2,52","2,19","2,60","2,39","2,22","1,67"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"4,50","4,50","2,05","5,76","6,73","3,96","5,96","3,10","3,11","4,34","3,10","2,57","3,02","2,39","2,58","1,90"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,24","0,24","0,23","0,20","0,23","0,24","0,27","0,27","0,16","0,17","0,20","0,24","0,23","0,25","0,24","0,32"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,75","0,75","0,77","0,79","0,76","0,75","0,73","0,72","0,83","0,82","0,79","0,75","0,76","0,75","0,75","0,68"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,13","1,13","1,17","1,35","1,07","1,09","0,94","1,09","0,59","0,50","0,56","0,55","0,48","0,52","0,57","1,43"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"42,94%","42,94%","58,37%","37,92%","34,64%","42,40%","39,77%","37,30%","34,31%","38,08%","43,50%","53,37%","56,42%","55,55%","47,29%","49,05%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,-%,-%,"60,90%","54,14%","45,06%","51,83%","39,29%","47,36%",-%,"41,30%","47,58%","53,20%","54,69%","44,35%","42,46%","45,68%"
INDICADORES DE EFICIÊNCIA,M. EBIT,"30,38%","30,38%","52,72%","29,75%","20,58%","33,50%","24,18%","36,90%","43,04%","32,19%","38,71%","45,29%","46,95%","44,35%","36,53%","40,14%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"5,64%","5,64%","21,55%","5,68%","1,93%","13,58%","8,06%","17,02%","17,15%","10,31%","18,23%","22,45%","22,98%","17,52%","14,42%","18,56%"
INDICADORES DE RENTABILIDADE,ROE,"7,37%","7,37%","36,05%","8,42%","2,47%","17,67%","9,51%","22,03%","43,90%","23,12%","38,88%","39,32%","35,58%","28,06%","21,61%","21,54%"
INDICADORES DE RENTABILIDADE,ROA,"1,77%","1,77%","8,18%","1,68%","0,57%","4,32%","2,54%","5,87%","6,98%","4,03%","7,83%","9,63%","8,23%","7,00%","5,26%","6,82%"
INDICADORES DE RENTABILIDADE,ROIC,"9,69%","9,69%","17,92%","7,27%","5,17%","9,71%","6,35%","11,69%","17,08%","12,75%","15,90%","17,03%","15,86%","18,04%","13,25%","13,75%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,31","0,31","0,38","0,30","0,30","0,32","0,32","0,34","0,41","0,39","0,43","0,43","0,36","0,40","0,36","0,37"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"12,68%","12,68%","12,68%","4,14%","3,13%","7,44%","10,06%","15,57%","14,25%","12,73%","14,14%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"-12,27%","-12,27%","18,12%","-16,50%","-26,23%","1,29%","-10,34%","8,83%","13,76%","5,41%","13,74%",-%,-%,-%,-%,-%
