Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE VALUATION,D.Y,"8,22%","4,63%","4,80%","7,70%","1,62%","6,14%","15,95%","3,75%","2,00%","2,29%","4,57%","3,58%","4,14%","3,43%",-%,-%,-%
INDICADORES DE VALUATION,P/L,"7,45","6,59","10,09","6,38","22,17","14,36","7,23","15,75","15,76","15,04","20,35","19,30","13,37","14,54",-,-,-
INDICADORES DE VALUATION,PEG RATIO,"0,21","0,18",-,-,-,-,"-0,41","12,46","1,12","1,66","1,00","1,29","0,47",-,-,-,-
INDICADORES DE VALUATION,P/VP,"1,20","1,06","1,30","0,91","1,70","2,41","2,58","5,46","6,83","8,10","15,20","15,55","13,66","18,67",-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"4,60","4,22","5,18","2,58","7,81","9,52","6,30","12,73","12,91","12,40","17,99","15,00","10,58","10,87",-,-,-
INDICADORES DE VALUATION,EV/EBIT,"5,86","5,37","7,08","4,39","19,36","14,67","7,86","15,50","15,60","14,97","20,18","16,86","11,79","12,06",-,-,-
INDICADORES DE VALUATION,P/EBITDA,"3,32","2,94","3,88","2,31","5,28","7,54","5,22","12,12","11,44","10,10","17,12","14,43","10,04","10,93",-,-,-
INDICADORES DE VALUATION,P/EBIT,"4,23","3,74","5,30","3,93","13,10","11,61","6,52","14,75","13,82","12,19","19,20","16,21","11,18","12,13",-,-,-
INDICADORES DE VALUATION,VPA,"4,41","4,41","4,03","2,50","2,35","3,47","3,45","4,31","4,08","4,15","2,74","4,22","4,17","2,58",-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,15","0,13","0,13","0,06","0,12","0,24","0,30","0,72","2,07","1,76","3,51","3,88","3,10","5,18",-,-,-
INDICADORES DE VALUATION,LPA,"0,71","0,71","0,52","0,36","0,18","0,58","1,23","1,49","1,77","2,23","2,05","3,40","4,26","3,32",-,-,-
INDICADORES DE VALUATION,P/SR,"1,36","1,20","1,33","0,53","0,97","2,00","2,07","5,51","5,13","4,75","8,48","7,66","5,78","6,25",-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"1,16","1,03","1,13","0,52","1,25","3,68","5,21","6,84","10,72","11,45","19,19","18,83","18,52","48,35",-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-1,29","-1,14","-1,07","-0,45","-0,74","-1,78","-1,94","-3,89","-3,76","-3,05","-13,11","-12,27","-8,34","-15,30",-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,46","0,46","0,43","0,11","0,48","0,53","0,45","0,28","0,88","1,85","0,78","0,62","0,70","-0,10","-0,21","-0,60","-1,53"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"1,28","1,28","1,30","0,27","2,53","1,99","1,08","0,61","1,47","2,30","0,87","0,58","0,54","-0,06",-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"1,63","1,63","1,77","0,46","6,26","3,06","1,35","0,74","1,78","2,78","0,98","0,65","0,60","-0,07","-0,11","-0,24","-0,55"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,12","0,12","0,10","0,07","0,12","0,12","0,14","0,13","0,30","0,22","0,23","0,25","0,24","0,28","0,31","0,29","0,28"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,85","0,85","0,87","0,90","0,84","0,84","0,82","0,83","0,58","0,66","0,77","0,75","0,76","0,72","0,68","0,71","0,72"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,17","1,17","1,15","1,16","1,13","1,13","1,16","1,15","1,75","1,57","1,33","1,43","1,41","1,19","1,26","1,21","1,26"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"46,49%","46,49%","41,38%","29,08%","27,85%","36,09%","46,58%","50,07%","51,27%","52,25%","60,51%","62,14%","66,43%","66,14%","70,42%","72,82%","70,40%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"41,00%","41,00%","34,29%","22,91%","18,40%","26,59%","39,61%","45,44%","44,88%","47,02%","49,54%","53,12%","57,54%","57,21%",-%,-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"32,18%","32,18%","25,11%","13,49%","7,42%","17,26%","31,71%","37,33%","37,15%","38,95%","44,16%","47,28%","51,66%","51,56%","59,38%","61,05%","67,49%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"18,27%","18,27%","13,20%","8,31%","4,38%","13,96%","28,60%","34,97%","32,56%","31,57%","41,68%","39,70%","43,20%","43,01%","45,82%","44,52%","46,67%"
INDICADORES DE RENTABILIDADE,ROE,"16,16%","16,16%","12,89%","14,28%","4,48%","13,90%","29,83%","34,66%","43,33%","53,85%","74,72%","80,53%","96,75%","128,43%","155,06%","178,26%","191,17%"
INDICADORES DE RENTABILIDADE,ROA,"2,00%","2,00%","1,29%","0,97%","0,54%","1,70%","4,05%","4,59%","13,11%","11,71%","17,24%","20,09%","23,18%","35,63%","48,51%","51,68%","52,99%"
INDICADORES DE RENTABILIDADE,ROIC,"12,10%","12,10%","10,27%","7,62%","2,22%","5,06%","10,18%","10,20%","11,53%","10,86%","15,71%","31,37%","35,06%","80,19%","121,96%","151,76%","175,13%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,11","0,11","0,10","0,12","0,12","0,12","0,14","0,13","0,40","0,37","0,41","0,51","0,54","0,83","1,06","1,16","1,14"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"-1,62%","-1,62%","-1,62%","-1,02%","0,11%","7,99%","11,65%","16,59%","23,92%","22,74%","17,53%","18,55%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"-13,77%","-13,77%","-19,03%","-24,69%","-32,55%","-13,23%","4,56%","11,76%","17,21%","13,93%","15,99%","14,78%",-%,-%,-%,-%,-%
