Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"8,75%","6,01%","13,75%","8,97%","4,29%","5,26%","4,65%","3,55%","8,39%","9,95%","25,14%","14,15%","25,52%","9,02%",-%,-%
INDICADORES DE VALUATION,P/L,"3,73","3,78","5,99","5,92","7,59","6,43","11,89","8,64","29,03","3,13","5,27","4,35","4,51","9,40",-,-
INDICADORES DE VALUATION,PEG RATIO,"12,77","12,95",-,-,-,-,"0,17","0,04","-0,34","-0,15","4,99","-0,16","0,06",-,-,-
INDICADORES DE VALUATION,P/VP,"1,02","1,03","1,13","1,14","1,24","1,27","1,39","0,60","0,75","0,59","1,47","1,07","1,67","1,93",-,-
INDICADORES DE VALUATION,EV/EBITDA,"3,92","4,06","5,18","4,36","6,14","8,28","9,16","5,95","8,69","3,55","4,46","3,87","7,35","7,78",-,-
INDICADORES DE VALUATION,EV/EBIT,"4,56","4,71","6,26","4,90","6,96","11,09","13,61","7,86","12,71","4,18","5,10","4,56","8,96","7,78",-,-
INDICADORES DE VALUATION,P/EBITDA,"2,82","2,86","3,57","2,84","4,07","4,83","5,45","2,48","3,68","1,39","2,59","2,62","4,55","5,28",-,-
INDICADORES DE VALUATION,P/EBIT,"3,27","3,32","4,31","3,19","4,62","6,47","8,10","3,27","5,38","1,64","2,96","3,09","5,55","5,28",-,-
INDICADORES DE VALUATION,VPA,"11,10","11,10","9,89","11,49","11,50","10,89","9,99","11,38","10,27","10,31","8,96","13,13","13,54","17,21",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,44","0,45","0,46","0,43","0,40","0,40","0,34","0,20","0,23","0,19","0,47","0,45","0,59","0,61",-,-
INDICADORES DE VALUATION,LPA,"3,04","3,04","1,86","2,22","1,89","2,14","1,17","0,80","0,27","1,96","2,49","3,22","5,01","3,54",-,-
INDICADORES DE VALUATION,P/SR,"0,69","0,70","0,71","0,66","0,86","0,79","0,91","0,40","0,52","0,35","0,85","0,92","1,36","1,44",-,-
