Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017
INDICADORES DE VALUATION,D.Y,"12,75%","8,91%","22,58%","6,95%",-%,-%,-%,-%
INDICADORES DE VALUATION,P/L,"9,74","13,94","7,59","5,92",-,-,-,-
INDICADORES DE VALUATION,PEG RATIO,"0,91","1,30",-,-,-,-,-,-
INDICADORES DE VALUATION,P/VP,"2,62","3,75","1,96","2,69",-,-,-,-
INDICADORES DE VALUATION,EV/EBITDA,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"5,21","7,63","5,06","3,32",-,-,-,-
INDICADORES DE VALUATION,P/EBITDA,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"5,62","8,04","4,71","3,98",-,-,-,-
INDICADORES DE VALUATION,VPA,"2,09","2,09","2,08","2,50",-,-,-,-
INDICADORES DE VALUATION,P/ATIVO,"1,01","1,45","0,89","1,40",-,-,-,-
INDICADORES DE VALUATION,LPA,"0,56","0,56","0,54","1,14",-,-,-,-
INDICADORES DE VALUATION,P/SR,"1,73","2,48","1,69","1,98",-,-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"3,36","4,81","4,50","6,01",-,-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-1,86","-2,66","-1,45","-2,66",-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"-0,19","-0,19","0,15","-0,44","-0,16","0,11","0,13","0,05"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"-0,41","-0,41","0,35","-0,66","-0,26","0,19","0,63","0,31"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,39","0,39","0,45","0,52","0,54","0,59","0,68","0,61"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,61","0,61","0,55","0,48","0,46","0,41","0,32","0,39"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"2,96","2,96","2,07","1,96","1,43","1,22","1,45","1,24"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"46,73%","46,73%","46,63%","57,94%","60,26%","61,90%","51,30%","46,63%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"30,79%","30,79%","35,81%","49,74%","45,70%","46,29%","29,01%","26,45%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"17,76%","17,76%","22,23%","33,46%","29,23%","31,99%","14,68%","15,94%"
INDICADORES DE RENTABILIDADE,ROE,"26,92%","26,92%","25,89%","45,51%","38,02%","39,16%","10,27%","8,87%"
INDICADORES DE RENTABILIDADE,ROA,"10,40%","10,40%","11,78%","23,60%","20,54%","23,08%","7,02%","5,38%"
INDICADORES DE RENTABILIDADE,ROIC,"22,14%","22,14%","18,81%","35,46%","38,09%","34,81%","12,10%","7,91%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,59","0,59","0,53","0,71","0,70","0,72","0,48","0,34"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"19,26%","19,26%","19,26%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"28,57%","28,57%","27,46%",-%,-%,-%,-%,-%
