Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,-%,-%,-%,-%,-%,"1,05%","4,42%","2,31%","2,62%","1,69%","11,64%","1,47%",-%,-%,-%,-%
INDICADORES DE VALUATION,P/L,"-16,44","-21,90","-7,52","-9,44","-1,50","79,89","10,39","15,90","11,62","11,09","4,16","20,42","193,05",-,-,-
INDICADORES DE VALUATION,PEG RATIO,"-1,11","-1,47",-,-,-,-,"-0,41","16,76","0,35","0,28","0,04","0,13","0,44",-,-,-
INDICADORES DE VALUATION,P/VP,"0,41","0,54","0,33","0,36","0,66","1,19","0,92","1,97","1,57","1,24","0,36","4,03","17,36",-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"11,08","12,73","13,21","20,32","-3,03","19,18","11,43","13,50","9,27","8,45","3,61","15,42","119,33",-,-,-
INDICADORES DE VALUATION,EV/EBIT,"20,13","23,11","33,15","133,71","-4,56","29,57","15,81","16,82","11,33","10,60","4,47","18,41","161,53",-,-,-
INDICADORES DE VALUATION,P/EBITDA,"4,96","6,60","5,23","8,95","-1,78","11,99","8,47","14,17","9,82","8,26","3,23","15,82","118,56",-,-,-
INDICADORES DE VALUATION,P/EBIT,"9,00","11,99","13,12","58,88","-2,68","18,48","11,72","17,66","12,00","10,36","4,00","18,88","160,47",-,-,-
INDICADORES DE VALUATION,VPA,"6,44","6,44","6,49","6,78","7,04","9,63","9,67","9,35","8,52","7,67","42,60","9,75","2,66","50,18",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,19","0,26","0,15","0,16","0,28","0,55","0,46","1,60","1,23","0,93","0,27","2,59","10,31",-,-,-
INDICADORES DE VALUATION,LPA,"-0,16","-0,16","-0,28","-0,26","-3,09","0,14","0,85","1,16","1,15","0,86","3,72","1,92","0,24","1,27",-,-
INDICADORES DE VALUATION,P/SR,"0,87","1,15","0,78","0,97","1,65","2,67","2,41","5,38","4,13","2,94","1,10","5,23","27,75",-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"6,35","8,45","4,02","1,60","2,17","10,88","4,84","13,66","15,49","33,09","8,25","29,63","226,78",-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,24","-0,31","-0,19","-0,21","-0,40","-0,63","-0,55","-1,98","-1,45","-1,03","-0,30","-3,25","-12,03",-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,50","0,50","0,50","0,46","0,46","0,71","0,32","-0,09","-0,09","0,03","0,04","-0,10","0,11","0,28","0,08","-0,50"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"6,13","6,13","7,98","11,37","-1,25","7,19","2,96","-0,67","-0,55","0,19","0,38","-0,40","0,78","5,04","26,06","93,07"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"11,13","11,13","20,03","74,83","-1,88","11,09","4,10","-0,84","-0,67","0,24","0,47","-0,47","1,06","10,96","-2,08","19,05"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,48","0,48","0,46","0,45","0,43","0,46","0,52","0,81","0,79","0,75","0,74","0,64","0,59","0,50","0,75","0,91"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,48","0,48","0,50","0,52","0,54","0,54","0,48","0,19","0,21","0,25","0,26","0,36","0,41","0,50","0,25","0,09"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,21","1,21","1,24","1,70","1,76","1,63","2,17","2,63","2,12","1,40","1,53","1,74","1,47","0,78","1,50","10,21"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"64,83%","64,83%","63,38%","60,16%","63,05%","60,02%","62,57%","62,11%","58,88%","57,44%","56,47%","54,25%","45,73%","32,82%","27,56%","32,34%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"17,46%","17,46%","14,95%","10,80%","-92,51%","22,31%","28,41%","37,99%","42,10%","35,62%","34,19%","33,08%","23,41%","11,19%","0,42%","-1,24%"
INDICADORES DE EFICIÊNCIA,M. EBIT,"9,61%","9,61%","5,96%","1,64%","-61,43%","14,47%","20,54%","30,49%","34,44%","28,40%","27,58%","27,72%","17,29%","5,14%","-5,23%","-6,05%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"-5,26%","-5,26%","-10,39%","-10,24%","-110,19%","3,35%","23,16%","33,87%","35,55%","26,52%","26,51%","25,62%","14,37%","5,09%","-4,94%","-2,37%"
INDICADORES DE RENTABILIDADE,ROE,"-2,47%","-2,47%","-4,34%","-3,84%","-43,95%","1,49%","8,83%","12,38%","13,46%","11,21%","8,74%","19,73%","8,99%","2,53%","-3,63%","-1,02%"
INDICADORES DE RENTABILIDADE,ROA,"-1,19%","-1,19%","-2,00%","-1,72%","-18,86%","0,69%","4,58%","10,08%","10,59%","8,39%","6,46%","12,66%","5,34%","1,26%","-2,71%","-0,93%"
INDICADORES DE RENTABILIDADE,ROIC,"2,42%","2,42%","1,18%","0,15%","-14,04%","3,43%","5,20%","10,68%","12,15%","10,80%","8,28%","17,10%","8,44%","1,59%","-3,72%","-3,37%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,23","0,23","0,19","0,17","0,17","0,21","0,20","0,30","0,30","0,32","0,24","0,49","0,37","0,25","0,55","0,39"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"-1,73%","-1,73%","-1,73%","-1,85%","0,02%","13,24%","24,63%","31,65%","48,16%","54,42%","61,72%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,-%,-%,-%,-%,-%,"-25,14%","22,13%","56,26%","118,58%",-%,-%,-%,-%,-%,-%,-%
