Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"8,63%","7,49%","9,77%","13,80%","5,53%","1,35%","0,95%","1,13%","0,82%",-%,"5,56%","4,46%","6,79%","6,87%",-%,-%
INDICADORES DE VALUATION,P/L,"7,18","8,27","7,50","6,51","10,29","13,39","14,27","16,70","28,48","17,43","9,74","19,60","17,51","7,96",-,-
INDICADORES DE VALUATION,PEG RATIO,"1,16","1,34",-,-,-,-,"0,19","0,54","6,85","-1,96","7,77","-0,97","-0,70",-,-,-
INDICADORES DE VALUATION,P/VP,"2,12","2,44","2,35","2,04","2,69","2,78","2,86","2,20","3,22","1,96","1,33","2,62","3,23","1,77",-,-
INDICADORES DE VALUATION,EV/EBITDA,"4,29","4,72","4,81","5,52","7,46","8,18","8,49","7,53","10,07","7,51","6,24","8,79","10,26","7,66",-,-
INDICADORES DE VALUATION,EV/EBIT,"5,13","5,65","5,77","6,82","9,89","11,10","11,84","10,98","14,66","10,87","8,92","12,51","14,35","7,66",-,-
INDICADORES DE VALUATION,P/EBITDA,"2,85","3,28","3,12","3,38","5,53","5,66","5,21","4,05","6,22","3,64","2,40","5,18","6,00","4,10",-,-
INDICADORES DE VALUATION,P/EBIT,"3,41","3,93","3,74","4,17","7,33","7,68","7,26","5,91","9,05","5,27","3,43","7,38","8,39","4,10",-,-
INDICADORES DE VALUATION,VPA,"15,77","15,77","14,11","13,14","12,09","12,77","10,08","8,80","7,83","7,73","13,89","7,30","6,63","14,69",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,52","0,60","0,54","0,47","0,76","0,82","0,70","0,48","0,61","0,37","0,26","0,59","0,71","0,46",-,-
INDICADORES DE VALUATION,LPA,"4,66","4,66","4,43","4,12","3,16","2,66","2,02","1,16","0,89","0,87","1,90","0,97","1,22","3,27",-,-
INDICADORES DE VALUATION,P/SR,"0,96","1,11","0,97","0,79","1,21","1,21","1,04","0,74","1,34","0,73","0,53","1,26","1,38","0,98",-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"-12,57","-14,47","127,15","11,72","-63,13","131,72","29,75","-10,96","10,87","5,05","5,14","7,79","35,78","14,50",-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,68","-0,78","-0,68","-0,61","-1,06","-1,07","-0,90","-0,62","-0,83","-0,54","-0,36","-0,77","-0,88","-0,57",-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"1,07","1,07","1,28","1,30","0,94","1,24","1,80","1,89","1,53","2,09","2,13","1,82","2,12","1,51","1,20","1,02"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"1,44","1,44","1,69","2,14","1,93","2,52","3,28","3,48","3,85","3,87","3,84","3,61","4,26","3,56","2,27","1,84"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"1,72","1,72","2,03","2,65","2,56","3,42","4,57","5,07","5,60","5,60","5,49","5,14","5,96","3,56","2,85","2,29"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,25","0,25","0,23","0,23","0,28","0,29","0,24","0,22","0,25","0,19","0,20","0,23","0,22","0,26","0,32","0,34"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,74","0,74","0,75","0,75","0,71","0,70","0,70","0,73","0,75","0,75","0,73","0,72","0,73","0,68","0,66","0,65"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"0,85","0,85","1,02","1,20","0,96","1,03","1,12","0,84",-,"1,31","1,24","1,48","1,13","1,24","0,88","1,07"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"33,17%","33,17%","30,08%","23,61%","22,40%","21,97%","20,58%","18,69%","22,53%","21,03%","23,78%","27,06%","26,22%","33,27%","30,63%","32,30%"
