Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE VALUATION,D.Y,"3,29%","3,23%","11,20%","20,33%","4,14%","4,12%","3,81%","11,87%","4,59%","3,82%","6,59%","5,81%","2,36%","4,16%",-%,-%,-%
INDICADORES DE VALUATION,P/L,"15,16","15,44","19,47","3,56","5,25","9,50","5,94","6,61","8,36","5,58","8,15","7,79","12,38","9,20",-,-,-
INDICADORES DE VALUATION,PEG RATIO,"0,12","0,12",-,-,-,-,"0,16","0,43","-0,34","-5,09","0,66","0,15","-0,31",-,-,-,-
INDICADORES DE VALUATION,P/VP,"1,30","1,33","1,04","0,81","1,03","1,10","0,52","0,45","0,51","0,47","0,74","0,66","0,72","0,90",-,-,-
INDICADORES DE VALUATION,EV/EBITDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"13,24","13,24","10,58","4,75",-,-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBITDA,-,-,-,-,"3,99","4,52",-,-,-,-,"4,17","4,57","5,60",-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"10,17","10,36","7,42","3,24","4,82","5,92","3,49","3,19","3,76","3,13","5,69","6,81","8,68","7,84",-,-,-
INDICADORES DE VALUATION,VPA,"7,80","7,80","7,61","7,98","72,94","63,04","58,59","55,57","53,78","52,06","48,71","46,23","44,29","43,22",-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,54","0,55","0,44","0,36","0,44","0,49","0,23","0,21","0,25","0,23","0,38","0,36","0,41","0,56",-,-,-
INDICADORES DE VALUATION,LPA,"0,67","0,67","0,41","1,81","14,27","7,27","5,14","3,78","3,27","4,36","4,41","3,92","2,56","4,23",-,-,-
INDICADORES DE VALUATION,P/SR,"1,38","1,40","0,99","0,73","1,10","1,16","0,56","0,49","0,57","0,44","0,71","0,91","1,02","1,37",-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"7,02","7,16","9,97","5,49","11,70","7,37","-484,14","-16,73","-5,28","3,10","8,45","6,27","4,69","6,48",-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,72","-0,73","-0,54","-0,46","-0,58","-0,62","-0,29","-0,25","-0,29","-0,30","-0,48","-0,45","-0,52","-0,69",-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,41","0,41","0,47","0,38","0,34","0,50","0,59","0,57","0,50","0,41","0,35","0,19","0,09","0,05","-0,04","-0,02","-0,01"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,-,-,-,-,"1,31","2,07",-,-,-,-,"2,05","1,31","0,71",-,"-0,26","-0,14","-0,05"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"3,21","3,21","3,35","1,53","1,58","2,70","3,96","4,08","3,80","2,76","2,80","1,96","1,11","0,40","-0,39","-0,20","-0,07"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,42","0,42","0,42","0,44","0,43","0,45","0,45","0,46","0,50","0,49","0,53","0,56","0,58","0,62","0,62","0,63","0,61"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,58","0,58","0,57","0,55","0,57","0,54","0,55","0,53","0,50","0,50","0,47","0,44","0,41","0,37","0,37","0,35","0,37"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,48","1,48","1,30","1,40","1,18","1,48","1,00","0,93",-,"1,45",-,-,"1,66","1,80","1,64","2,10","1,84"
