Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
INDICADORES DE VALUATION,D.Y,"1,26%","1,19%","2,34%","5,95%","1,28%","1,21%","1,94%",-%,-%,-%,-%
INDICADORES DE VALUATION,P/L,"32,12","34,18","17,88","9,63","14,41","45,72","21,60",-,-,-,-
INDICADORES DE VALUATION,PEG RATIO,"-0,45","-0,48",-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/VP,"1,25","1,33","1,53","1,77","2,45","3,43","2,75",-,-,-,-
INDICADORES DE VALUATION,EV/EBITDA,-,-,"5,87","5,10","6,90","11,73","8,44",-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"9,12","9,46","7,92","6,32","8,57","16,25","10,53",-,-,-,-
INDICADORES DE VALUATION,P/EBITDA,-,-,"4,67","4,78","6,88","12,02","9,21",-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"5,42","5,77","6,30","5,92","8,55","16,65","11,50",-,-,-,-
INDICADORES DE VALUATION,VPA,"9,38","9,38","9,64","8,60","7,91","6,81","6,58",-,-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,28","0,30","0,34","0,51","0,74","1,03","0,98",-,-,-,-
INDICADORES DE VALUATION,LPA,"0,36","0,36","0,83","1,58","1,35","0,51","0,84",-,-,-,-
INDICADORES DE VALUATION,P/SR,"0,22","0,24","0,30","0,39","0,54","0,77","0,66",-,-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"-6,33","-6,74","-8,42","17,18","55,55","22,10","31,12",-,-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,50","-0,54","-0,63","-1,08","-1,46","-2,04","-1,91",-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,85","0,85","0,39","0,12","0,01","-0,08","-0,23","-0,19","0,09","0,30","0,22"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,-,-,"1,20","0,32","0,02","-0,29","-0,78","-0,62","0,30","0,68","0,55"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"3,69","3,69","1,62","0,40","0,02","-0,40","-0,97","-0,75","0,30","0,84","0,68"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,23","0,23","0,22","0,29","0,30","0,30","0,36","0,36","0,30","0,24","0,26"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,76","0,76","0,76","0,69","0,67","0,67","0,62","0,61","0,70","0,73","0,72"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"0,91","0,91","0,91","1,06","1,03","1,10","1,07","1,03",-,"1,10","0,90"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"19,28%","19,28%","19,10%","19,13%","19,55%","20,73%","20,97%","20,40%","19,99%","20,23%","20,32%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,-%,-%,"6,47%","8,15%","7,86%","6,41%","7,17%","7,53%","5,59%","6,79%","6,04%"
INDICADORES DE EFICIÊNCIA,M. EBIT,"4,13%","4,13%","4,79%","6,58%","6,33%","4,63%","5,74%","6,17%","5,59%","5,49%","4,85%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"0,70%","0,70%","1,69%","4,04%","3,75%","1,69%","3,06%","3,18%","2,47%","1,84%","1,44%"
INDICADORES DE RENTABILIDADE,ROE,"3,88%","3,88%","8,58%","18,41%","17,00%","7,50%","12,74%","13,17%","13,90%","12,10%","9,49%"
INDICADORES DE RENTABILIDADE,ROA,"0,88%","0,88%","1,88%","5,34%","5,15%","2,26%","4,53%","4,72%","4,14%","2,94%","2,45%"
INDICADORES DE RENTABILIDADE,ROIC,"9,16%","9,16%","10,43%","15,14%","15,00%","9,54%","13,93%","15,19%","17,17%","14,26%","13,46%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"1,26","1,26","1,11","1,32","1,37","1,34","1,48","1,48","1,68","1,60","1,70"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"15,40%","15,40%","15,40%","10,34%","11,38%","10,32%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"-13,64%","-13,64%","1,69%","21,78%","28,38%","13,92%",-%,-%,-%,-%,-%
