Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"2,63%","2,21%","2,50%","6,48%","1,98%","1,44%","3,31%","4,49%","5,64%","3,91%","3,85%","1,87%","1,49%","1,82%",-%,-%
INDICADORES DE VALUATION,P/L,"-66,07","-78,52","27,28","6,64","35,05","11,44","8,26","12,87","14,99","17,69","40,23","68,83","27,14","4,22",-,-
INDICADORES DE VALUATION,PEG RATIO,"0,52","0,61",-,-,-,-,"0,32","0,48","0,19","0,18","1,63","-1,10","-0,36",-,-,-
INDICADORES DE VALUATION,P/VP,"1,65","1,96","1,55","2,76","2,75","2,63","1,37","1,79","1,73","1,17","1,33","1,66","1,75","1,23",-,-
INDICADORES DE VALUATION,EV/EBITDA,"4,99","5,36","6,92","6,74","13,35","8,39",-,-,-,"7,02","8,16","16,04","10,13",-,-,-
INDICADORES DE VALUATION,EV/EBIT,"6,34","6,81","9,58","8,46","16,77","9,75","7,59","8,18","7,40","9,16","11,88","24,44","16,42","4,06",-,-
INDICADORES DE VALUATION,P/EBITDA,"1,96","2,33","2,95","3,73","9,78","6,64",-,-,-,"4,27","5,45","10,24","8,44",-,-,-
INDICADORES DE VALUATION,P/EBIT,"2,49","2,96","4,08","4,69","12,29","7,71","4,96","5,91","5,56","5,57","7,93","15,61","13,68","2,63",-,-
INDICADORES DE VALUATION,VPA,"9,86","9,86","11,02","7,87","27,52","26,46","24,34","23,16","22,02","21,50","21,66","23,91","23,90","22,04",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,22","0,26","0,24","0,42","0,83","0,84","0,47","0,59","0,57","0,34","0,43","0,56","0,49","0,48",-,-
INDICADORES DE VALUATION,LPA,"-0,25","-0,25","0,63","3,27","2,16","6,08","4,05","3,22","2,54","1,42","0,72","0,58","1,54","6,40",-,-
INDICADORES DE VALUATION,P/SR,"0,75","0,89","0,81","1,63","2,21","2,05","1,33","2,21","2,06","1,23","1,44","2,63","3,71","0,47",-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"2,83","3,37","3,28","2,84","5,95","5,37","3,80","6,07","5,04","5,64","13,61","17,72","6,51","4,36",-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,28","-0,33","-0,29","-0,58","-1,23","-1,29","-0,64","-0,82","-0,74","-0,41","-0,50","-0,64","-0,61","-0,61",-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"2,55","2,55","2,09","2,22","1,00","0,70","0,73","0,69","0,57","0,75","0,66","0,94","0,37","0,92","0,82","0,99"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"3,03","3,03","3,97","3,01","3,57","1,76",-,-,-,"2,75","2,72","5,80","1,69",-,"1,82","2,18"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"3,85","3,85","5,50","3,77","4,48","2,04","2,64","2,28","1,84","3,59","3,95","8,84","2,74","1,42","3,63","3,55"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,13","0,13","0,15","0,15","0,30","0,32","0,34","0,33","0,33","0,29","0,33","0,29","0,42","0,34","0,37","0,31"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,65","0,65","0,64","0,70","0,68","0,66","0,62","0,64","0,60","0,59","0,54","0,60","0,57","0,64","0,62","0,69"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,62","1,62","1,62","2,11","1,78","1,84","1,90","1,56","1,96","1,54","1,34","2,49","7,77","1,41","1,59","1,15"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"26,67%","26,67%","22,61%","23,22%","27,34%","29,29%","25,29%","34,22%","39,18%","29,27%","28,77%","27,71%","29,98%","10,70%","16,13%","13,46%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"38,33%","38,33%","27,37%","43,75%","22,60%","30,83%",-%,-%,-%,"28,81%","26,47%","25,67%","43,90%",-%,"14,79%","10,81%"
INDICADORES DE EFICIÊNCIA,M. EBIT,"30,14%","30,14%","19,78%","34,83%","17,98%","26,55%","26,73%","37,37%","37,04%","22,08%","18,19%","16,85%","27,09%","17,84%","7,41%","6,64%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"-1,14%","-1,14%","2,96%","24,58%","6,31%","17,89%","16,04%","17,15%","13,74%","6,95%","3,58%","3,82%","13,66%","11,14%","4,27%","6,82%"
INDICADORES DE RENTABILIDADE,ROE,"-2,50%","-2,50%","5,69%","41,54%","7,85%","22,98%","16,64%","13,92%","11,56%","6,56%","3,31%","2,40%","6,82%","40,35%","13,04%","28,50%"
