Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE VALUATION,D.Y,"14,44%","14,13%","2,45%","7,43%","50,99%","2,54%","6,54%","4,83%","1,84%","0,57%","4,49%","3,44%","2,79%","4,95%",-%,-%,-%
INDICADORES DE VALUATION,P/L,"5,90","6,03","7,07","8,99","7,64","11,42","13,48","9,81","10,06","-160,03","9,47","10,61","10,47","8,29",-,-,-
INDICADORES DE VALUATION,PEG RATIO,"0,06","0,06",-,-,-,-,"4,14","0,34","0,00","1,54","-0,39","-0,82","2,83",-,-,-,-
INDICADORES DE VALUATION,P/VP,"0,97","0,99","0,82","0,71","0,97","1,28","1,25","0,88","0,74","0,33","0,54","0,83","1,02","0,85",-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"4,51","4,58","4,53","4,71","4,78","6,49",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"6,64","6,74","7,17","8,87","7,19","9,87","11,95","8,59","8,96","15,45","9,87","10,12","9,97","8,72",-,-,-
INDICADORES DE VALUATION,P/EBITDA,"3,14","3,21","3,01","3,03","3,24","4,90",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"4,61","4,71","4,76","5,71","4,87","7,46","8,45","5,75","5,47","5,89","4,86","6,13","6,61","5,23",-,-,-
INDICADORES DE VALUATION,VPA,"20,75","20,75","19,08","17,78","16,98","53,20","49,12","49,26","49,63","47,18","46,26","44,60","42,80","39,32",-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,54","0,56","0,45","0,38","0,53","0,75","0,70","0,51","0,40","0,17","0,30","0,47","0,56","0,47",-,-,-
INDICADORES DE VALUATION,LPA,"3,40","3,40","2,22","1,41","2,15","5,95","4,57","4,42","3,63","-0,10","2,66","3,51","4,18","4,03",-,-,-
INDICADORES DE VALUATION,P/SR,"1,09","1,11","0,97","0,82","1,17","1,67","1,65","1,27","1,08","0,48","0,73","1,19","1,46","1,19",-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"7,62","7,78","11,64","7,41","10,12","11,89","15,08","12,30","7,36","4,35","18,09","26,31","13,08","-26,39",-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,67","-0,69","-0,56","-0,48","-0,64","-0,89","-0,84","-0,60","-0,47","-0,20","-0,34","-0,54","-0,64","-0,52",-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,42","0,42","0,42","0,40","0,46","0,41","0,52","0,43","0,47","0,53","0,56","0,54","0,51","0,57","0,47","0,44","0,25"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"1,38","1,38","1,52","1,68","1,54","1,58",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"2,03","2,03","2,41","3,16","2,32","2,41","3,50","2,84","3,49","9,56","5,01","3,99","3,36","3,49","2,10","2,53","2,64"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,56","0,56","0,55","0,53","0,55","0,58","0,56","0,58","0,54","0,52","0,54","0,57","0,55","0,55","0,57","0,54","0,53"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,44","0,44","0,45","0,47","0,45","0,42","0,44","0,42","0,46","0,48","0,46","0,43","0,45","0,45","0,43","0,46","0,47"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,58","1,58","1,26","1,34","1,44","1,65","1,39","1,36","1,52","1,39","1,16","1,18","1,45","0,85","0,95","1,49","2,29"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"40,21%","40,21%","37,49%","36,46%","44,99%","41,81%","39,04%","42,42%","38,40%","29,63%","34,08%","37,27%","39,18%","40,36%","36,90%","35,51%","38,42%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"34,71%","34,71%","32,10%","27,07%","36,06%","34,10%",-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"23,61%","23,61%","20,27%","14,36%","23,96%","22,40%","19,47%","22,11%","19,82%","8,21%","15,00%","19,45%","22,13%","22,82%","29,33%","19,93%","11,52%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"18,47%","18,47%","13,65%","9,12%","15,28%","14,63%","12,22%","12,95%","10,77%","-0,30%","7,70%","11,24%","13,97%","14,40%","20,68%","15,88%","9,58%"
INDICADORES DE RENTABILIDADE,ROE,"16,38%","16,38%","11,63%","7,95%","12,65%","11,19%","9,29%","8,98%","7,31%","-0,21%","5,75%","7,87%","9,65%","10,25%","15,86%","13,75%","7,77%"
INDICADORES DE RENTABILIDADE,ROA,"9,22%","9,22%","6,39%","4,23%","6,94%","6,54%","5,18%","5,18%","3,97%","-0,11%","3,13%","4,47%","5,30%","5,62%","9,12%","7,43%","4,15%"
INDICADORES DE RENTABILIDADE,ROIC,"10,82%","10,82%","9,21%","6,79%","9,69%","8,83%","7,87%","8,09%","6,76%","3,23%","5,63%","6,83%","7,52%","7,63%","11,20%","8,91%","4,25%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,50","0,50","0,47","0,46","0,45","0,45","0,42","0,40","0,37","0,35","0,41","0,40","0,38","0,39","0,44","0,47","0,43"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"7,38%","7,38%","7,38%","7,89%","6,86%","4,54%","4,88%","4,64%","4,57%","3,44%","4,78%","5,99%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"18,19%","18,19%","8,52%","4,37%",-%,"18,85%","6,63%","3,07%","-1,34%",-%,"-9,33%","9,44%",-%,-%,-%,-%,-%
