Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"10,69%","9,97%","17,74%","7,69%","0,03%","6,73%",-%,-%,-%,"5,07%","8,85%","6,34%","6,94%","8,50%",-%,-%
INDICADORES DE VALUATION,P/L,"-27,61","-29,62","12,42","2,83","11,65","10,94","2,42","1.131,96","-16,11","-4,57","-77,32","41,19","-41,16","6,11",-,-
INDICADORES DE VALUATION,PEG RATIO,"0,20","0,22",-,-,-,-,"0,00","-11,20","0,70","0,00","0,64","-0,19","0,37",-,-,-
INDICADORES DE VALUATION,P/VP,"1,37","1,47","0,99","1,71","4,46","1,92","1,41","1,65","2,43","0,93","1,43","2,59","2,01","2,83",-,-
INDICADORES DE VALUATION,EV/EBITDA,"6,81","7,04","4,55","2,12","8,05","8,88",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"11,29","11,67","6,12","2,33","11,50","12,37","5,46","12,40","20,49","6,18","10,58","12,41","45,92","6,10",-,-
INDICADORES DE VALUATION,P/EBITDA,"3,22","3,45","1,88","1,54","5,41","3,97",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"5,33","5,72","2,53","1,69","7,73","5,53","1,77","3,90","7,74","1,10","2,89","6,72","24,06","3,93",-,-
INDICADORES DE VALUATION,VPA,"13,39","13,39","14,70","14,64","7,14","7,33","6,27","5,06","4,46","4,30","3,91","5,55","5,91","5,29",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,27","0,29","0,23","0,44","0,70","0,38","0,26","0,26","0,34","0,12","0,16","0,42","0,32","0,48",-,-
INDICADORES DE VALUATION,LPA,"-0,66","-0,66","1,17","8,83","2,73","1,29","3,66","0,01","-0,67","-0,88","-0,07","0,35","-0,29","2,45",-,-
INDICADORES DE VALUATION,P/SR,"0,55","0,59","0,43","0,72","1,47","0,77","0,53","0,63","0,88","0,36","0,50","1,21","1,14","1,37",-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"2,20","2,36","2,37","3,32","5,10","17,70","21,30","9,60","2,17","0,49","0,85","1,93","1,38","1,46",-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,43","-0,46","-0,35","-0,78","-1,12","-0,51","-0,35","-0,35","-0,47","-0,18","-0,24","-0,62","-0,51","-0,91",-,-

Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"1,53","1,53","1,41","0,65","2,17","2,38","2,95","3,61","3,36","2,94","3,78","2,20","1,74","1,56","1,26","0,74"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"3,59","3,59","2,67","0,59","2,64","4,91",-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"5,95","5,95","3,59","0,64","3,77","6,85","3,70","8,50","12,75","5,08","7,69","5,69","21,86","2,17","1,97","1,44"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,20","0,20","0,23","0,26","0,16","0,20","0,18","0,16","0,17","0,18","0,12","0,16","0,17","0,16","0,21","0,21"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,77","0,77","0,74","0,71","0,82","0,78","0,79","0,82","0,83","0,82","0,88","0,84","0,83","0,83","0,79","0,79"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,53","1,53","1,36","1,43","1,59","1,10","1,05","1,11",-,-,-,-,-,"3,43",-,-

Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE EFICIÊNCIA,M. BRUTA,"25,98%","25,98%","30,00%","46,07%","36,39%","32,13%","29,88%","26,60%","26,29%","23,07%","28,11%","28,24%","26,07%","40,67%","45,45%","36,04%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"16,96%","16,96%","23,18%","47,12%","27,16%","19,40%",-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"10,23%","10,23%","17,23%","42,87%","19,01%","13,92%","30,24%","16,11%","11,34%","33,09%","17,47%","18,02%","4,72%","34,85%","34,59%","32,44%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"-1,98%","-1,98%","3,50%","25,59%","12,62%","7,03%","22,09%","0,06%","-5,45%","-7,96%","-0,65%","2,94%","-2,76%","22,43%","17,41%","23,86%"

Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE RENTABILIDADE,ROE,"-4,96%","-4,96%","7,97%","60,34%","38,27%","17,58%","58,31%","0,15%","-12,66%","-13,90%","-1,83%","6,31%","-4,66%","46,41%","32,17%","37,70%"
INDICADORES DE RENTABILIDADE,ROA,"-1,00%","-1,00%","1,82%","15,44%","6,02%","3,52%","10,72%","0,02%","-2,12%","-2,50%","-0,21%","1,01%","-0,79%","7,31%","6,61%","7,88%"
INDICADORES DE RENTABILIDADE,ROIC,"7,11%","7,11%","9,06%","27,81%","10,94%","6,89%","17,24%","6,81%","4,44%","4,99%","7,39%","8,50%","-0,60%","15,63%","15,86%","13,49%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,50","0,50","0,52","0,60","0,48","0,50","0,49","0,41","0,39","0,31","0,32","0,34","0,29","0,33","0,38","0,33"

Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
