Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE VALUATION,D.Y,"3,41%","3,51%","4,32%","6,89%","6,16%","6,13%","7,24%","0,71%","2,72%","5,53%","3,83%","3,50%","1,61%","2,27%",-%,-%,-%
INDICADORES DE VALUATION,P/L,"10,97","10,67","6,46","6,90","6,69","28,54","-73,30","-55,63","27,12","6,70","6,97","8,47","11,46","12,60",-,-,-
INDICADORES DE VALUATION,PEG RATIO,"1,08","1,05",-,-,-,-,"6,54","0,34","-0,41","-0,21","-0,87","0,95","0,35",-,-,-,-
INDICADORES DE VALUATION,P/VP,"1,27","1,24","0,73","1,02","2,14","2,49","1,20","0,89","0,68","0,51","0,81","1,12","1,42","1,38",-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"13,39","13,14","9,54","9,24","6,83","26,73",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"11,69","11,47","7,94","7,00","5,74","22,05","136,35","393,36","25,08","6,82","7,51","8,73","10,25","13,69",-,-,-
INDICADORES DE VALUATION,P/EBITDA,"10,93","10,63","6,88","7,83","6,37","24,39",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"9,54","9,28","5,72","5,93","5,34","20,12","117,92","314,22","17,16","4,46","4,80","6,08","7,74","8,59",-,-,-
INDICADORES DE VALUATION,VPA,"19,47","19,47","17,82","15,51","13,77","11,91","12,88","14,82","15,04","14,73","13,58","12,91","12,59","10,74",-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,58","0,57","0,32","0,46","1,03","1,19","0,63","0,51","0,35","0,24","0,34","0,42","0,54","0,46",-,-,-
INDICADORES DE VALUATION,LPA,"2,26","2,26","2,02","2,29","4,40","1,04","-0,21","-0,24","0,38","1,12","1,59","1,70","1,56","1,18",-,-,-
INDICADORES DE VALUATION,P/SR,"1,67","1,63","0,97","1,32","3,08","3,02","1,97","1,98","1,28","0,69","0,79","1,13","1,34","1,02",-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"1,71","1,66","0,96","1,17","2,98","3,75","1,46","1,19","0,73","0,56","1,01","1,27","1,47","1,43",-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-1,20","-1,17","-0,71","-1,07","-2,19","-2,56","-1,58","-1,41","-1,04","-0,70","-0,96","-1,07","-1,59","-1,29",-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,29","0,29","0,28","0,18","0,16","0,24","0,19","0,22","0,31","0,27","0,46","0,49","0,48","0,82","0,60","0,27","0,58"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"2,51","2,51","2,66","1,41","0,47","2,34",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"2,19","2,19","2,21","1,07","0,39","1,93","18,43","79,14","7,92","2,36","2,71","2,65","2,51","5,10","3,45","1,10","2,74"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,46","0,46","0,43","0,45","0,48","0,48","0,52","0,57","0,51","0,46","0,42","0,38","0,37","0,33","0,36","0,37","0,28"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,50","0,50","0,54","0,51","0,49","0,48","0,44","0,39","0,43","0,48","0,53","0,57","0,59","0,63","0,61","0,61","0,68"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"2,93","2,93","2,48","3,11","2,88","2,44","3,52","3,01","3,48","2,78","2,13","2,24","2,42","2,11","2,09","2,27","1,73"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"32,09%","32,09%","32,04%","34,77%","32,70%","30,93%","26,54%","27,47%","33,25%","34,62%","32,12%","32,75%","32,29%","28,29%","31,42%","34,47%","38,02%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"15,32%","15,32%","14,03%","16,82%","48,40%","12,38%",-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"17,55%","17,55%","16,87%","22,19%","57,66%","15,01%","1,67%","0,63%","7,49%","15,50%","16,51%","18,65%","17,36%","11,93%","15,31%","23,38%","15,76%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"15,25%","15,25%","14,95%","19,09%","46,04%","10,58%","-2,68%","-3,55%","4,74%","10,32%","11,37%","13,38%","11,72%","8,13%","12,27%","17,84%","9,75%"
INDICADORES DE RENTABILIDADE,ROE,"11,59%","11,59%","11,36%","14,75%","31,98%","8,73%","-1,64%","-1,60%","2,52%","7,61%","11,69%","13,16%","13,04%","10,96%","13,87%","18,93%","13,09%"
INDICADORES DE RENTABILIDADE,ROA,"5,30%","5,30%","4,88%","6,61%","15,40%","4,16%","-0,86%","-0,91%","1,27%","3,52%","4,93%","5,00%","4,77%","3,65%","4,98%","6,91%","3,67%"
INDICADORES DE RENTABILIDADE,ROIC,"6,62%","6,62%","6,28%","9,33%","20,53%","6,56%","-0,20%","-0,54%","1,62%","5,52%","7,96%","8,32%","8,38%","5,63%","7,64%","12,51%","7,51%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,35","0,35","0,33","0,35","0,33","0,39","0,32","0,26","0,27","0,34","0,43","0,37","0,41","0,45","0,41","0,39","0,38"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"15,15%","15,15%","15,15%","8,44%","-2,51%","-7,54%","-10,15%","-13,84%","-12,21%","-2,35%","7,31%","13,54%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,-%,-%,-%,"43,29%","31,49%","-8,87%",-%,-%,"-21,20%","-5,69%","-1,93%","20,95%",-%,-%,-%,-%,-%
