Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE VALUATION,D.Y,"1,89%",-%,"7,48%","5,43%","6,19%","5,87%","8,16%",-%,"5,94%","12,71%","7,51%","3,03%","1,91%","3,18%",-%,-%,-%
INDICADORES DE VALUATION,P/L,"13,97","12,58","12,35","13,00","17,76","22,90","-14,85","-6,03","-58,97","4,35","6,12","8,17","9,76","7,23",-,-,-
INDICADORES DE VALUATION,PEG RATIO,"0,14","0,13",-,-,-,-,"0,32","-0,01","0,54","-0,11","-0,63","5,82","0,34",-,-,-,-
INDICADORES DE VALUATION,P/VP,"2,23","2,01","1,82","1,47","1,64","1,83","0,90","0,60","0,44","0,33","0,78","1,27","1,65","1,10",-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"8,13","7,31","6,02","5,98","8,19","10,68",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"9,18","8,25","6,87","6,98","9,72","12,67","-41,82","-9,68","351,07","5,36","6,33","8,55","10,01","7,80",-,-,-
INDICADORES DE VALUATION,P/EBITDA,"8,17","7,36","5,47","5,34","7,64","10,05",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"9,21","8,30","6,25","6,23","9,07","11,92","-37,33","-6,57","236,40","3,30","5,17","7,20","8,65","7,13",-,-,-
INDICADORES DE VALUATION,VPA,"11,15","11,15","8,60","8,67","7,99","8,19","8,36","9,48","10,39","10,73","10,41","9,48","8,55","8,67",-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,60","0,54","0,36","0,34","0,39","0,49","0,25","0,21","0,17","0,14","0,32","0,54","0,69","0,52",-,-,-
INDICADORES DE VALUATION,LPA,"1,78","1,78","1,27","0,98","0,74","0,66","-0,51","-0,94","-0,08","0,81","1,33","1,47","1,45","1,31",-,-,-
INDICADORES DE VALUATION,P/SR,"1,91","1,72","1,08","1,07","1,34","1,58","0,99","1,15","0,52","0,34","0,69","1,07","1,52","1,18",-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"1,78","1,61","1,26","0,81","0,96","1,27","0,77","0,53","0,40","0,30","0,68","1,10","1,22","1,02",-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-1,13","-1,01","-0,63","-0,68","-0,82","-0,99","-0,48","-0,48","-0,45","-0,37","-1,02","-1,88","-3,57","-2,35",-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"-0,01","-0,01","0,18","0,18","0,12","0,11","0,11","0,28","0,21","0,20","0,18","0,24","0,26","0,10","0,14","-0,29","-0,01"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"-0,05","-0,05","0,54","0,64","0,55","0,63",-,-,-,-,-,-,-,-,"0,62","-2,21","-0,04"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"-0,05","-0,05","0,62","0,74","0,65","0,74","-4,49","-3,11","114,67","2,07","1,16","1,34","1,35","0,67","0,65","-2,38","-0,05"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,27","0,27","0,20","0,23","0,24","0,27","0,28","0,35","0,39","0,42","0,41","0,43","0,42","0,45","0,47","0,60","0,53"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,71","0,71","0,77","0,74","0,74","0,71","0,70","0,61","0,57","0,54","0,56","0,53","0,52","0,49","0,51","0,38","0,45"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"3,56","3,56","3,02","5,70","4,66","4,52","2,95","3,35","3,34","3,64","3,17","3,30","3,37","2,90","3,18","5,07","3,94"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"34,87%","34,87%","33,93%","35,47%","34,82%","33,68%","27,17%","4,98%","11,51%","21,06%","23,26%","23,14%","27,53%","28,03%","31,73%","33,71%","40,51%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"23,43%","23,43%","19,83%","20,10%","17,51%","15,70%",-%,-%,-%,-%,-%,-%,-%,-%,"22,88%","22,81%","26,17%"
INDICADORES DE EFICIÊNCIA,M. EBIT,"20,76%","20,76%","17,36%","17,22%","14,75%","13,24%","-2,64%","-17,54%","0,22%","10,40%","13,27%","14,84%","17,53%","16,58%","22,08%","21,20%","25,15%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"13,70%","13,70%","8,79%","8,25%","7,53%","6,89%","-6,65%","-19,12%","-0,87%","7,88%","11,22%","13,09%","15,53%","16,34%","21,30%","20,95%","24,48%"
INDICADORES DE RENTABILIDADE,ROE,"15,96%","15,96%","14,73%","11,46%","9,22%","7,99%","-6,04%","-9,88%","-0,74%","7,51%","12,74%","15,49%","16,95%","15,15%","20,99%","12,05%","20,95%"
INDICADORES DE RENTABILIDADE,ROA,"4,30%","4,30%","2,91%","2,58%","2,22%","2,16%","-1,67%","-3,47%","-0,29%","3,18%","5,20%","6,65%","7,07%","6,83%","9,92%","7,27%","11,13%"
INDICADORES DE RENTABILIDADE,ROIC,"12,34%","12,34%","11,48%","9,97%","7,89%","7,14%","-2,23%","-5,95%","-0,70%","5,36%","8,21%","9,43%","10,12%","8,50%","13,43%","8,58%","15,43%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,31","0,31","0,33","0,31","0,29","0,31","0,25","0,18","0,33","0,40","0,46","0,51","0,46","0,42","0,47","0,35","0,45"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"23,53%","23,53%","23,53%","5,52%","-0,89%","-4,50%","-7,73%","-12,29%","4,84%","14,95%","37,20%","45,97%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,-%,-%,-%,-%,"-1,77%","-13,36%",-%,-%,-%,"-5,78%","21,08%","28,78%",-%,-%,-%,-%,-%
