Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"2,69%",-%,"5,00%","11,46%","1,64%","2,23%","6,70%","1,05%",-%,"6,50%","3,74%","2,22%","1,92%","3,20%",-%,-%
INDICADORES DE VALUATION,P/L,"8,10","8,16","7,51","6,60","29,18","28,52","18,96","34,43","198,94","21,40","13,69","15,30","17,79","13,11",-,-
INDICADORES DE VALUATION,PEG RATIO,"-0,29","-0,29",-,-,-,-,"0,14","0,05","-2,28","-0,40","-0,55","1,16","0,78",-,-,-
INDICADORES DE VALUATION,P/VP,"1,03","1,03","0,97","1,99","2,55","2,35","1,77","1,35","1,03","0,87","1,18","1,82","2,03","1,33",-,-
INDICADORES DE VALUATION,EV/EBITDA,"5,12","5,14","4,24","5,18","10,83","9,76",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"8,09","8,13","6,56","7,31","21,91","20,76","13,49","20,09","21,27","17,95","11,40","11,45","13,66","10,55",-,-
INDICADORES DE VALUATION,P/EBITDA,"3,05","3,07","2,53","4,26","9,74","8,51",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"4,82","4,86","3,92","6,02","19,71","18,09","11,17","15,11","14,83","12,07","8,62","9,68","11,70","8,50",-,-
INDICADORES DE VALUATION,VPA,"7,81","7,81","7,02","7,53","7,50","7,13","6,70","6,82","6,61","6,81","6,83","7,21","7,31","6,71",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,40","0,40","0,36","0,85","1,15","1,08","0,85","0,67","0,50","0,44","0,61","0,97","1,05","0,72",-,-
INDICADORES DE VALUATION,LPA,"0,99","0,99","0,90","2,27","0,66","0,59","0,62","0,27","0,03","0,28","0,59","0,86","0,84","0,68",-,-
INDICADORES DE VALUATION,P/SR,"0,89","0,89","0,67","1,39","2,25","2,31","1,65","1,59","1,20","0,99","1,34","2,05","2,42","1,66",-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"5,46","5,50","2,97","8,83","7,32","8,48","5,18","4,32","2,33","2,67","4,33","6,20","7,45","6,20",-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,56","-0,56","-0,54","-1,30","-1,82","-1,61","-1,37","-0,99","-0,77","-0,63","-0,89","-1,42","-1,51","-1,01",-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,70","0,70","0,65","0,43","0,28","0,35","0,37","0,45","0,45","0,42","0,38","0,33","0,34","0,32","0,28","0,36"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"2,07","2,07","1,71","0,92","1,09","1,25",-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"3,27","3,27","2,64","1,29","2,20","2,67","2,32","4,99","6,44","5,88","2,78","1,77","1,96","2,06","1,37","4,32"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,39","0,39","0,38","0,43","0,45","0,46","0,48","0,50","0,49","0,50","0,52","0,53","0,52","0,54","0,56","0,57"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,61","0,61","0,62","0,57","0,55","0,54","0,52","0,50","0,51","0,49","0,48","0,47","0,48","0,46","0,44","0,43"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,34","1,34","1,58","1,38","1,75","1,63","1,76","1,95","2,69","2,13","1,79","1,98","1,86","1,69","1,96","1,29"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"33,51%","33,51%","33,84%","35,13%","31,50%","25,82%","26,24%","28,66%","25,81%","27,75%","30,55%","37,28%","35,09%","34,22%","40,76%","34,42%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"29,05%","29,05%","26,40%","32,71%","23,11%","27,12%",-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"18,39%","18,39%","17,08%","23,15%","11,43%","12,76%","14,80%","10,56%","8,11%","8,21%","15,57%","21,22%","20,70%","19,55%","26,10%","13,41%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"10,95%","10,95%","8,91%","21,12%","7,72%","8,09%","8,72%","4,63%","0,60%","4,63%","9,80%","13,43%","13,62%","12,67%","17,03%","9,30%"
INDICADORES DE RENTABILIDADE,ROE,"12,66%","12,66%","12,87%","30,09%","8,75%","8,23%","9,31%","3,92%","0,52%","4,05%","8,59%","11,91%","11,42%","10,14%","13,53%","5,71%"
INDICADORES DE RENTABILIDADE,ROA,"4,91%","4,91%","4,84%","12,86%","3,95%","3,79%","4,49%","1,95%","0,25%","2,04%","4,44%","6,36%","5,92%","5,49%","7,57%","3,28%"
INDICADORES DE RENTABILIDADE,ROIC,"10,71%","10,71%","11,22%","16,95%","7,04%","7,18%","7,76%","4,96%","3,85%","3,22%","7,67%","9,56%","9,11%","8,88%","11,20%","5,05%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,45","0,45","0,54","0,61","0,51","0,47","0,51","0,42","0,42","0,44","0,45","0,47","0,43","0,43","0,44","0,35"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"16,29%","16,29%","16,29%","15,88%","8,21%","4,69%","5,03%","3,42%","5,77%","7,65%","15,60%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"34,44%","34,44%","32,53%","135,85%","19,85%","0,77%","-3,66%","-16,64%","-42,44%","-17,04%","16,81%",-%,-%,-%,-%,-%
