Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"0,93%","0,89%","0,17%",-%,-%,-%,"7,70%","3,43%","3,20%","8,33%","12,42%","5,27%","2,04%","1,84%",-%,-%
INDICADORES DE VALUATION,P/L,"11,23","11,70","12,61","13,70","-17,62","-49,10","13,99","17,51","-4,77","26,10","12,62","20,78","22,90","20,35",-,-
INDICADORES DE VALUATION,PEG RATIO,"0,04","0,04",-,-,-,-,"-3,06","-0,12","0,00","-0,34","0,68","-3,62","2,25",-,-,-
INDICADORES DE VALUATION,P/VP,"2,28","2,38","1,35","2,40","132,96","20,00","8,18","10,43","9,21","1,80","3,44","3,99","4,59","4,14",-,-
INDICADORES DE VALUATION,EV/EBITDA,"5,69","5,76","6,26","5,69","10,32","11,57",-,-,-,-,-,-,-,"9,24",-,-
INDICADORES DE VALUATION,EV/EBIT,"7,25","7,34","8,59","8,19","16,76","19,82","8,48","9,25","11,47","7,65","8,55","11,28","13,16","11,21",-,-
INDICADORES DE VALUATION,P/EBITDA,"1,86","1,94","1,46","2,26","5,31","6,68",-,-,-,-,-,-,-,"8,15",-,-
INDICADORES DE VALUATION,P/EBIT,"2,37","2,47","2,01","3,25","8,63","11,45","4,43","5,67","5,94","2,98","5,37","8,62","10,66","9,89",-,-
INDICADORES DE VALUATION,VPA,"3,96","3,96","3,31","3,05","0,10","0,82","1,15","1,18","0,89","2,83","3,10","3,71","3,77","3,37",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,27","0,28","0,17","0,31","0,67","0,79","0,52","0,88","0,70","0,36","0,89","1,27","1,66","1,88",-,-
INDICADORES DE VALUATION,LPA,"0,80","0,80","0,35","0,53","-0,76","-0,33","0,67","0,70","-1,73","0,20","0,84","0,71","0,76","0,69",-,-
INDICADORES DE VALUATION,P/SR,"0,78","0,81","0,51","1,10","1,87","2,30","1,65","2,24","1,63","1,04","2,03","3,13","4,63","4,27",-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"-6,52","-6,79","-2,51","-3,43","-9,72","-5,42","4,90","18,09","-9,10","-4,67","-16,91","41,13","-41,20","496,36",-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,32","-0,33","-0,19","-0,37","-0,80","-0,99","-0,75","-1,21","-0,84","-0,42","-1,03","-1,61","-2,03","-2,38",-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"4,68","4,68","4,40","3,65","125,34","14,63","7,49","6,57","8,56","2,82","2,04","1,23","1,08","0,55","0,49","2,12"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"3,82","3,82","4,79","3,43","5,01","4,89",-,-,-,-,-,-,-,"1,09",-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"4,86","4,86","6,58","4,94","8,13","8,37","4,05","3,57","5,53","4,67","3,18","2,67","2,50","1,32","0,90","2,47"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,12","0,12","0,13","0,13","0,01","0,04","0,06","0,08","0,08","0,20","0,26","0,32","0,34","0,45","0,43","0,20"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,87","0,87","0,86","0,86","0,99","0,96","0,94","0,90","0,91","0,79","0,73","0,68","0,66","0,55","0,57","0,80"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"0,81","0,81","0,63","0,64","0,69","0,58","1,54","1,22","0,69","0,65","0,72","1,17","1,02","1,24","0,97","0,47"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"37,28%","37,28%","31,79%","39,55%","41,08%","38,05%","43,84%","46,41%","45,37%","45,83%","41,40%","48,97%","54,51%","55,63%","56,32%","56,46%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"41,75%","41,75%","34,91%","48,56%","35,17%","34,48%",-%,-%,-%,-%,-%,-%,-%,"52,34%",-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"32,78%","32,78%","25,45%","33,71%","21,64%","20,13%","37,37%","39,52%","27,38%","34,87%","37,77%","36,36%","43,45%","43,14%","67,91%","47,04%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"6,92%","6,92%","4,05%","8,00%","-10,60%","-4,69%","11,82%","12,80%","-34,10%","3,98%","16,07%","15,08%","20,22%","20,96%","41,35%","18,83%"
INDICADORES DE RENTABILIDADE,ROE,"20,34%","20,34%","10,67%","17,55%","-754,68%","-40,73%","58,49%","59,59%","-192,94%","6,89%","27,27%","19,20%","20,03%","20,35%","33,14%","34,32%"
INDICADORES DE RENTABILIDADE,ROA,"2,36%","2,36%","1,36%","2,27%","-3,82%","-1,61%","3,74%","5,02%","-14,61%","1,39%","7,04%","6,12%","6,81%","9,22%","14,17%","6,91%"
INDICADORES DE RENTABILIDADE,ROIC,"10,51%","10,51%","8,99%","10,42%","4,31%","5,64%","10,57%","12,96%","5,35%","11,49%","14,52%","12,50%","12,36%","16,02%","22,29%","16,77%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,34","0,34","0,33","0,28","0,36","0,34","0,32","0,39","0,43","0,35","0,44","0,41","0,34","0,44","0,34","0,37"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"14,60%","14,60%","14,60%","10,46%","7,89%","6,12%","3,73%","7,99%","9,13%","13,89%","21,10%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"7,38%","7,38%","-8,94%",-%,-%,-%,"-1,20%","-1,44%",-%,"-28,67%","17,32%",-%,-%,-%,-%,-%
