Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE VALUATION,D.Y,"7,09%","6,40%","7,89%","4,66%","3,92%","3,19%","12,77%","7,65%","5,63%",-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE VALUATION,P/L,"9,90","10,97","11,61","20,04","12,82","17,94","9,31","11,57","14,77",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,PEG RATIO,"0,12","0,13",-,-,-,-,"0,60","0,39","4,72",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/VP,"3,96","4,38","3,66","3,95","4,63","5,93","3,41","3,39","3,46",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"6,70","7,19","6,78","7,80","7,41","10,15",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"7,67","8,25","7,94","9,46","8,63","12,19","7,87","9,83","9,96",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBITDA,"4,64","5,14","4,55","5,28","5,53","8,04",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"5,32","5,89","5,33","6,40","6,44","9,65","5,88","8,13","9,43",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,VPA,"10,34","10,34","10,34","9,72","9,49","8,57","9,68","10,46","10,13",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,85","0,94","0,81","0,82","1,02","1,38","0,91","1,18","1,58",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,LPA,"4,13","4,13","3,26","1,92","3,43","2,83","3,55","3,07","2,37",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/SR,"3,00","3,32","2,60","2,50","2,92","4,23","2,45","3,31","3,55",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"64,58","71,54","20,77","11,43","15,24","54,11","55,78","-11,94","14,70",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-1,01","-1,12","-1,00","-1,06","-1,31","-1,77","-1,12","-1,46","-2,06",-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"1,75","1,75","1,79","1,89","1,58","1,56","1,16","0,71","0,19","0,28","0,43","0,42","0,43","0,53","0,65","0,48","0,66"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"2,05","2,05","2,23","2,52","1,89","2,11",-,-,-,"0,74","1,06","0,95","0,93",-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"2,35","2,35","2,61","3,06","2,19","2,54","1,99","1,69","0,53","0,74","1,06","0,95","0,93","1,19","1,53","1,20","1,34"
