Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"0,51%","0,52%","1,84%","7,18%","4,43%","2,14%",-%,-%,-%,-%,"20,88%","13,76%","39,68%","4,90%",-%,-%
INDICADORES DE VALUATION,P/L,"31,40","30,57","26,66","9,28","9,08","4,78","2,47","-14,83","9,01","-0,54","-2,59","-1,28","-1,24","6,47",-,-
INDICADORES DE VALUATION,PEG RATIO,"-0,99","-0,96",-,-,-,-,"0,00","0,10","-0,07","0,00","0,05","0,13","0,00",-,-,-
INDICADORES DE VALUATION,P/VP,"0,89","0,87","0,88","0,69","0,78","0,72","0,59","0,62","0,70","0,19","0,14","0,13","0,13","0,31",-,-
INDICADORES DE VALUATION,EV/EBITDA,"9,31","9,13","14,52","6,38","9,96","6,96","4,48","18,15","4,03","-4,52","-241,04","-9,00",-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"10,20","10,00","16,98","6,31","10,18","10,22","4,43","10,40","4,43","-3,86","-22,09","-6,39","-5,22","12,23",-,-
INDICADORES DE VALUATION,P/EBITDA,"6,63","6,46","10,74","4,24","6,53","4,12","1,81","7,34","1,76","-0,73","-43,75","-2,15",-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"7,27","7,08","12,55","4,19","6,67","6,05","1,79","4,21","1,93","-0,62","-4,01","-1,53","-0,94","5,61",-,-
INDICADORES DE VALUATION,VPA,"49,03","49,03","48,02","48,52","46,83","52,42","41,06","31,30","32,68","31,12","41,80","44,72","49,60","56,81",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,36","0,35","0,36","0,28","0,32","0,29","0,18","0,15","0,18","0,05","0,05","0,06","0,06","0,15",-,-
INDICADORES DE VALUATION,LPA,"1,39","1,39","1,58","3,60","4,04","7,91","9,80","-1,30","2,53","-10,68","-2,24","-4,57","-5,09","2,76",-,-
INDICADORES DE VALUATION,P/SR,"2,85","2,78","2,84","1,51","1,98","1,84","1,31","0,89","0,51","0,24","0,26","0,33","0,31","0,71",-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"3,71","3,61","4,18","3,30","3,06","3,39","3,18","8,25","-16,54","5,82","0,70","0,60","0,52","2,29",-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,46","-0,45","-0,44","-0,35","-0,43","-0,37","-0,24","-0,19","-0,22","-0,06","-0,07","-0,08","-0,09","-0,19",-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,35","0,35","0,31","0,35","0,41","0,50","0,85","0,89","0,88","0,93","0,61","0,39","0,56","0,34","0,25","0,20"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"2,58","2,58","3,75","2,15","3,42","2,83","2,61","10,56","2,22","-3,67","-193,77","-6,56",-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"2,83","2,83","4,38","2,12","3,50","4,16","2,58","6,05","2,44","-3,14","-17,76","-4,65","-4,16","6,06","3,99","3,37"
