Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,-%,-%,-%,-%,-%,-%,"0,61%","1,56%","0,63%","0,60%","1,38%","1,33%","1,45%","2,13%",-%,-%
INDICADORES DE VALUATION,P/L,"-492,77","-405,93","-11,11","-66,87","-1,81","-11,09","-24,00","17,41","20,24","92,53","22,73","17,99","15,33","55,71",-,-
INDICADORES DE VALUATION,PEG RATIO,"5,12","4,22",-,-,-,-,"0,13","0,38","0,14","-1,33","9,61","1,57","0,04",-,-,-
INDICADORES DE VALUATION,P/VP,"1,58","1,30","0,79","1,23","0,45","1,03","1,08","1,10","0,94","1,53","1,81","1,69","1,61","1,54",-,-
INDICADORES DE VALUATION,EV/EBITDA,"14,09","12,20","-744,56","18,83","-144,23","64,02",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"21,34","18,49","-27,45","25,14","-9,30","-15,35","179,16","15,17","19,88","22,89","14,05","8,08","8,27","15,08",-,-
INDICADORES DE VALUATION,P/EBITDA,"10,68","8,80","-517,34","13,06","-60,46","94,70",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"16,18","13,33","-19,07","17,42","-3,90","-22,70","155,73","13,48","16,51","20,27","13,88","8,71","8,79","16,69",-,-
INDICADORES DE VALUATION,VPA,"17,23","17,23","18,09","20,11","19,84","19,15","20,12","18,22","16,94","19,73","13,51","11,18","8,99","7,62",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,39","0,32","0,20","0,32","0,12","0,34","0,37","0,37","0,31","0,49","0,65","0,59","0,55","0,52",-,-
INDICADORES DE VALUATION,LPA,"-0,06","-0,06","-1,29","-0,37","-4,88","-1,78","-0,90","1,15","0,79","0,33","1,08","1,05","0,94","0,21",-,-
