Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"1,12%","5,90%","10,55%","4,78%","0,99%","2,04%","8,20%","0,86%","8,59%","1,36%","11,11%","7,40%","4,03%","1,91%",-%,-%
INDICADORES DE VALUATION,P/L,"11,69","11,69","11,83","5,63","7,91","10,02","7,03","13,89","9,58","4,53","5,75","14,39","17,32","13,38",-,-
INDICADORES DE VALUATION,PEG RATIO,"-0,25","-0,25",-,-,-,-,"0,07","-1,69","-0,20","0,06","0,06","1,53","-0,57",-,-,-
INDICADORES DE VALUATION,P/VP,"1,29","1,29","1,13","1,09","1,18","1,45","1,05","1,08","0,85","0,99","0,87","1,18","1,34","1,43",-,-
INDICADORES DE VALUATION,EV/EBITDA,-,-,"5,22","4,40","5,22","6,40",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"6,40","6,40","6,42","5,25","6,42","8,09","6,49","8,06","6,05","4,51","4,56","6,96","9,89","8,01",-,-
INDICADORES DE VALUATION,P/EBITDA,-,-,"2,88","2,67","3,44","4,50",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"3,81","3,81","3,54","3,19","4,24","5,68","4,14","5,34","3,89","2,40","2,87","4,86","6,10","5,67",-,-
INDICADORES DE VALUATION,VPA,"18,65","18,65","18,46","19,19","16,68","15,21","14,05","12,99","15,79","12,20","10,27","9,60","9,33","29,00",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,38","0,38","0,33","0,36","0,39","0,49","0,39","0,41","0,33","0,31","0,32","0,38","0,46","0,48",-,-
INDICADORES DE VALUATION,LPA,"2,06","2,06","1,76","3,72","2,49","2,20","2,10","1,01","1,40","2,66","1,56","0,79","0,72","3,10",-,-
INDICADORES DE VALUATION,P/SR,"0,77","0,77","0,70","0,64","0,80","0,88","0,65","0,69","0,68","0,56","0,48","0,76","0,92","1,16",-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"-9,12","-9,12","10,49","4,22","-20,21","8,43","3,65","9,16","9,28","6,11","-9,88","49,65","-17,84","250,24",-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,57","-0,57","-0,45","-0,52","-0,52","-0,67","-0,57","-0,56","-0,44","-0,42","-0,43","-0,57","-0,56","-0,60",-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,88","0,88","0,92","0,71","0,61","0,62","0,60","0,55","0,47","0,87","0,52","0,51","0,83","0,59","0,50","0,48"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,-,-,"2,34","1,73","1,78","1,91",-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"2,60","2,60","2,88","2,07","2,18","2,41","2,35","2,73","2,16","2,11","1,70","2,10","3,80","2,34","1,91","1,76"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,30","0,30","0,29","0,33","0,33","0,34","0,37","0,38","0,39","0,32","0,37","0,32","0,31","0,34","0,36","0,37"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,67","0,67","0,68","0,63","0,63","0,62","0,58","0,56","0,53","0,59","0,50","0,56","0,56","0,52","0,50","0,48"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"0,89","0,89","1,13","1,41","0,93","1,28","1,54","1,21","1,17","1,24","0,88","1,02","1,08","1,30","1,14","1,17"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"30,72%","30,72%","30,27%","21,81%","24,10%","19,38%","18,80%","18,83%","23,12%","21,75%","20,25%","26,05%","22,78%","30,74%","31,61%","36,35%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,-%,-%,"24,31%","24,14%","23,10%","19,59%",-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"20,25%","20,25%","19,77%","20,22%","18,78%","15,50%","15,64%","12,90%","17,53%","23,28%","16,77%","15,68%","15,13%","20,36%","21,92%","25,73%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"6,59%","6,59%","5,91%","11,44%","10,06%","8,79%","9,20%","4,96%","7,12%","12,34%","8,36%","5,30%","5,32%","8,63%","10,79%","15,05%"
INDICADORES DE RENTABILIDADE,ROE,"11,05%","11,05%","9,52%","19,37%","14,90%","14,50%","14,93%","7,76%","8,86%","21,78%","15,20%","8,22%","7,69%","10,69%","12,79%","15,95%"
INDICADORES DE RENTABILIDADE,ROA,"3,27%","3,27%","2,76%","6,47%","4,98%","4,87%","5,59%","2,97%","3,46%","6,88%","5,64%","2,66%","2,38%","3,60%","4,55%","5,84%"
INDICADORES DE RENTABILIDADE,ROIC,"12,29%","12,29%","10,33%","13,84%","10,67%","10,19%","10,40%","8,19%","10,19%","14,86%","11,52%","8,97%","6,89%","9,14%","9,49%","9,99%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,50","0,50","0,47","0,57","0,49","0,55","0,61","0,60","0,49","0,56","0,68","0,50","0,45","0,42","0,42","0,39"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"6,98%","6,98%","6,98%","15,05%","7,87%","11,35%","14,28%","13,83%","10,42%","13,71%","13,99%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"14,37%","14,37%","10,79%","26,51%","3,56%","12,47%","27,64%","12,24%","6,24%","16,79%","1,34%",-%,-%,-%,-%,-%
