Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE VALUATION,P/L,"60,18","65,00","50,30","15,27","19,47","22,91","5,71","34,81","-17,81","0,82","-0,38","-1,84",-,-,-,-
INDICADORES DE VALUATION,PEG RATIO,"-0,88","-0,95",-,-,-,-,"0,01","-0,18","0,10","-0,01","-0,01","-0,02",-,-,-,-
INDICADORES DE VALUATION,P/VP,"1,54","1,67","1,38","1,99","2,47","1,99","0,80","0,62","0,43","0,03","0,51","0,71",-,-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"9,45","9,87","16,65","10,90","15,49","12,03",-,-,-,"16,96","-6,40","-27,34",-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"16,14","16,86","27,53","15,07","22,17","18,14","7,94","9,49","11,14","31,42","-11,56","-17,96",-,-,-,-
INDICADORES DE VALUATION,P/EBITDA,"5,24","5,66","8,91","8,14","12,27","9,45",-,-,-,"0,49","-0,67","-6,18",-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"8,95","9,66","14,72","11,26","17,56","14,24","4,53","4,71","3,44","0,91","-1,21","-4,06",-,-,-,-
INDICADORES DE VALUATION,VPA,"8,17","8,17","8,63","7,11","25,12","21,91","19,99","22,54","27,78","4,27","0,78","4,24","18,63","9,24",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,41","0,44","0,45","0,98","1,21","0,99","0,41","0,30","0,19","0,01","0,08","0,18",-,-,-,-
INDICADORES DE VALUATION,LPA,"0,21","0,21","0,24","0,93","3,19","1,91","2,82","0,40","-0,67","0,17","-1,04","-1,63","-3,18","-2,99",-,-
INDICADORES DE VALUATION,P/SR,"2,06","2,23","3,08","3,50","6,05","4,39","1,62","1,22","0,89","0,08","0,32","1,21",-,-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"11,35","12,26","33,95","10,22","10,52","9,34","4,34","4,58","-3,92","-0,23","-0,22","-0,78",-,-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,53","-0,57","-0,52","-1,19","-1,48","-1,25","-0,50","-0,37","-0,21","-0,02","-0,10","-0,19",-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"1,24","1,24","1,20","0,67","0,65","0,55","0,60","0,63","0,96","1,10","4,41","2,42","2,15","3,47","1,27","-0,15"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"4,22","4,22","7,75","2,76","3,22","2,59",-,-,-,"16,47","-5,73","-21,16","-13,60","-13,39","-7,94","1,40"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"7,20","7,20","12,80","3,81","4,61","3,90","3,40","4,78","7,71","30,52","-10,35","-13,90","-13,46","-13,01","-7,88","1,34"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,26","0,26","0,33","0,49","0,49","0,50","0,51","0,49","0,43","0,42","0,16","0,25","0,27","0,16","0,26","0,42"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,69","0,69","0,67","0,51","0,51","0,50","0,49","0,51","0,57","0,58","0,83","0,73","0,71","0,83","0,73","0,57"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,18","1,18","1,11","2,22","2,75","2,09","2,19","1,63","0,72","0,64","0,26","0,25","0,52","1,05","2,46","2,12"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"35,96%","35,96%","30,63%","37,91%","46,19%","39,45%","40,08%","40,79%","33,87%","26,33%","12,17%","-4,74%","-4,43%","2,67%","-18,31%","34,15%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"39,37%","39,37%","34,63%","42,94%","49,30%","46,43%",-%,-%,-%,"15,84%","-48,61%","-19,50%","-825,84%","-194,63%","-270,05%","-346,86%"
INDICADORES DE EFICIÊNCIA,M. EBIT,"23,06%","23,06%","20,95%","31,06%","34,43%","30,81%","35,73%","25,93%","25,92%","8,55%","-26,90%","-29,69%","-833,99%","-200,31%","-272,10%","-362,10%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"3,43%","3,43%","6,13%","22,90%","31,07%","19,15%","28,37%","3,51%","-5,00%","9,39%","-84,38%","-65,50%","-892,06%","-242,78%","-260,27%","-328,56%"
INDICADORES DE RENTABILIDADE,ROE,"2,56%","2,56%","2,75%","13,04%","12,70%","8,70%","14,10%","1,77%","-2,41%","3,98%","-133,64%","-38,46%","-17,05%","-32,36%","-15,45%","-10,43%"
INDICADORES DE RENTABILIDADE,ROA,"0,68%","0,68%","0,90%","6,43%","6,21%","4,33%","7,22%","0,88%","-1,04%","1,68%","-21,54%","-9,73%","-4,60%","-5,14%","-4,08%","-4,36%"
INDICADORES DE RENTABILIDADE,ROIC,"5,45%","5,45%","3,55%","8,12%","6,19%","7,42%","7,37%","6,32%","4,64%","1,33%","-7,62%","-4,99%","-5,35%","-6,59%","-7,59%","-7,75%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,20","0,20","0,15","0,28","0,20","0,23","0,25","0,25","0,21","0,18","0,26","0,15","0,01","0,02","0,02","0,01"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"17,63%","17,63%","17,63%","18,85%","16,39%","11,78%","16,81%","123,52%","66,62%","72,84%","94,92%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"28,28%","28,28%","31,52%",-%,"47,85%",-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
