Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"4,91%","2,79%","2,62%","8,90%","1,15%","2,02%","2,10%","2,07%","2,16%","6,75%","5,02%","0,93%",-%,-%,-%,-%
INDICADORES DE VALUATION,P/L,"13,80","13,00","8,44","6,21","12,94","42,66","11,18","16,91","32,10","10,73","12,21","15,47","9,74","12,10",-,-
INDICADORES DE VALUATION,PEG RATIO,"-0,55","-0,52",-,-,-,-,"0,11","0,06","-0,61","0,68","0,31","-0,50","0,26",-,-,-
INDICADORES DE VALUATION,P/VP,"1,94","1,82","1,64","1,91","2,86","3,41","2,38","2,46","1,35","1,58","1,82","1,72","1,97","1,97",-,-
INDICADORES DE VALUATION,EV/EBITDA,"6,76","6,57","5,79","5,64","8,25","9,68",-,-,-,-,"5,74","9,01","7,48","9,74",-,-
INDICADORES DE VALUATION,EV/EBIT,"8,50","8,26","7,08","7,21","12,28","14,46","8,47","12,58","8,96","8,68","9,15","12,77","9,55","9,74",-,-
INDICADORES DE VALUATION,P/EBITDA,"3,23","3,04","2,58","2,72","4,73","5,55",-,-,-,-,"2,16","5,33","4,42","6,06",-,-
INDICADORES DE VALUATION,P/EBIT,"4,06","3,83","3,15","3,48","7,03","8,29","4,48","7,59","4,45","3,15","3,44","7,56","5,64","6,06",-,-
INDICADORES DE VALUATION,VPA,"26,31","29,54","27,02","23,24","18,32","15,70","15,57","11,11","13,77","8,88","7,56","7,26","6,54","5,93",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,36","0,34","0,30","0,29","0,42","0,49","0,35","0,43","0,25","0,19","0,18","0,56","0,56","0,60",-,-
INDICADORES DE VALUATION,LPA,"3,69","4,14","5,24","7,14","4,05","1,25","3,32","1,61","0,58","1,30","1,13","0,81","1,32","0,96",-,-
INDICADORES DE VALUATION,P/SR,"0,86","0,81","0,68","0,61","0,93","0,98","0,81","0,69","0,42","0,29","0,41","1,11","0,97","1,06",-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"-62,17","-58,53","12,02","5,73","15,93","8,36","3,67","6,98","3,72","3,00","2,72","14,58","6,92","3,77",-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,47","-0,44","-0,40","-0,41","-0,59","-0,66","-0,51","-0,63","-0,36","-0,28","-0,30","-0,75","-0,81","-0,90",-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"2,11","2,11","2,04","2,15","2,13","2,53","2,13","1,62","1,37","2,77","3,01","1,19","1,32","1,20","1,06","0,94"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"3,53","3,53","3,21","2,92","3,53","4,13",-,-,-,-,"3,58","3,67","3,06","3,68",-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"4,44","4,44","3,93","3,73","5,25","6,16","3,99","4,99","4,52","5,53","5,70","5,21","3,91","3,68","3,48","2,65"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,18","0,18","0,18","0,15","0,15","0,14","0,15","0,17","0,18","0,12","0,10","0,33","0,29","0,31","0,33","0,32"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,77","0,77","0,79","0,82","0,84","0,84","0,83","0,78","0,76","0,82","0,84","0,67","0,70","0,69","0,67","0,68"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"0,98","0,98","1,11","1,27","1,10","1,31","1,46","1,24","1,27","1,25","1,21","1,18","1,35","1,92","1,58","0,68"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"27,18%","27,18%","27,13%","21,52%","17,99%","16,34%","15,87%","13,84%","15,47%","15,53%","21,09%","30,08%","31,15%","31,38%","30,76%","32,41%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"26,60%","26,60%","26,40%","22,35%","19,77%","17,58%",-%,-%,-%,-%,"19,08%","20,82%","21,95%","17,45%",-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"21,15%","21,15%","21,59%","17,47%","13,29%","11,77%","18,17%","9,13%","9,45%","9,10%","11,97%","14,69%","17,19%","17,45%","16,89%","19,99%"
