Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"0,98%","0,98%","2,37%","3,18%","1,38%","4,17%","1,62%","0,88%","1,71%","3,45%","1,41%","1,47%","2,46%","14,21%",-%,-%
INDICADORES DE VALUATION,P/L,"22,05","21,98","22,20","6,18","7,87","1,90","16,14","13,08","15,17","8,40","8,62","66,93","15,06","8,65",-,-
INDICADORES DE VALUATION,PEG RATIO,"-1,09","-1,08",-,-,-,-,"-2,03","0,33","-1,27","0,31","0,01","-1,35","-1,02",-,-,-
INDICADORES DE VALUATION,P/VP,"2,10","2,09","1,84","1,79","2,24","0,57","2,65","2,73","2,68","1,95","1,94","1,95","0,95","1,10",-,-
INDICADORES DE VALUATION,EV/EBITDA,"8,38","8,36",-,"6,56","6,15","3,15",-,-,-,"7,28","6,33","11,47","6,81","5,31",-,-
INDICADORES DE VALUATION,EV/EBIT,"10,29","10,27","5,78","7,60","7,02","3,62","10,40","11,23","10,67","10,16","8,29","21,51","8,69","6,98",-,-
INDICADORES DE VALUATION,P/EBITDA,"4,47","4,46",-,"3,96","4,28","0,93",-,-,-,"6,00","4,40","8,49","3,99","3,06",-,-
INDICADORES DE VALUATION,P/EBIT,"5,49","5,47","5,78","4,58","4,89","1,07","7,13","9,25","9,16","8,37","5,76","15,92","5,09","4,02",-,-
INDICADORES DE VALUATION,VPA,"17,06","17,09","14,72","12,62","10,35","40,20","28,16","24,09","20,26","17,53","14,29","11,86","19,74","11,52",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,42","0,41","0,34","0,37","0,53","0,12","0,58","0,75","0,76","0,54","0,49","0,50","0,22","0,41",-,-
INDICADORES DE VALUATION,LPA,"1,62","1,63","1,22","3,66","2,94","11,97","4,62","5,02","3,59","4,07","3,21","0,35","1,24","1,46",-,-
INDICADORES DE VALUATION,P/SR,"1,09","1,09","1,12","0,94","1,31","0,24","1,32","1,44","1,36","0,94","0,81","0,97","0,71","0,71",-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"10,82","10,78","-74,30","2,63","3,94","0,87","4,96","3,81","4,30","3,35","4,45","3,30","2,84","5,19",-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,55","-0,55","-0,44","-0,57","-0,79","-0,18","-0,92","-1,31","-1,30","-0,91","-0,80","-0,76","-0,34","-0,59",-,-

Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"1,83","1,83",-,"1,18","0,97","1,35","1,21","0,58","0,44","0,42","0,85","0,69","0,67","1,11","0,62","0,57"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"3,91","3,91",-,"2,60","1,86","2,22",-,-,-,"1,28","1,93","2,98","2,82","2,25","1,54","1,53"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"4,80","4,80",-,"3,01","2,13","2,55","3,27","1,98","1,51","1,79","2,53","5,59","3,60","2,96","1,94","1,86"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,20","0,20",-,"0,21","0,24","0,22","0,22","0,27","0,28","0,28","0,25","0,26","0,23","0,27","0,39","0,44"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,77","0,77",-,"0,76","0,72","0,74","0,74","0,67","0,66","0,66","0,69","0,69","0,73","0,63","0,61","0,56"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,19","1,19",-,"1,67","1,68","1,86","1,46","1,84","1,74","1,65","1,39","1,82","1,30","1,45","1,65","1,43"

Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE EFICIÊNCIA,M. BRUTA,"30,07%","30,07%","31,57%","28,45%","33,46%","30,48%","25,91%","28,94%","27,02%","24,87%","25,46%","22,10%","28,72%","34,68%","38,52%","35,81%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"24,39%","24,39%",-%,"23,81%","30,53%","26,31%",-%,-%,-%,"15,61%","18,36%","11,48%","17,83%","23,32%","28,52%","33,70%"
INDICADORES DE EFICIÊNCIA,M. EBIT,"19,86%","19,86%","19,45%","20,57%","26,73%","22,92%","18,47%","15,55%","14,83%","11,19%","14,02%","6,12%","13,97%","17,74%","22,70%","27,67%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"4,94%","4,94%","5,06%","15,24%","16,63%","12,85%","8,16%","10,99%","8,96%","11,15%","9,37%","1,46%","4,73%","8,24%","10,50%","13,75%"

Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE RENTABILIDADE,ROE,"9,51%","9,51%",-%,"28,96%","28,44%","29,78%","16,40%","20,84%","17,70%","23,24%","22,48%","2,92%","6,27%","17,35%","14,86%","15,18%"
INDICADORES DE RENTABILIDADE,ROA,"1,88%","1,88%",-%,"5,99%","6,74%","6,44%","3,60%","5,70%","5,01%","6,42%","5,66%","0,75%","1,45%","4,71%","5,76%","6,67%"
INDICADORES DE RENTABILIDADE,ROIC,"10,16%","10,16%",-%,"12,13%","12,88%","12,58%","10,74%","10,81%","10,32%","7,97%","11,32%","4,60%","5,23%","10,58%","13,40%","13,58%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,38","0,38",-,"0,39","0,41","0,50","0,44","0,52","0,56","0,58","0,60","0,52","0,31","0,57","0,55","0,49"

Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"24,50%","24,50%","24,50%","24,97%","19,79%","22,53%","19,00%","25,75%","32,57%","32,16%","33,25%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"13,29%","13,29%","6,62%","38,99%","29,77%","30,52%","67,98%","48,88%","34,80%","33,75%","23,43%",-%,-%,-%,-%,-%

