Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"1,29%","1,10%","5,80%","2,07%","0,69%","0,27%","2,06%","17,38%","6,32%","8,69%","4,31%","1,87%","2,07%","2,50%",-%,-%
INDICADORES DE VALUATION,P/L,"18,66","21,96","9,14","10,79","24,03","36,93","42,32","9,96","11,22","4,51","6,81","7,30","11,22","7,04",-,-
INDICADORES DE VALUATION,PEG RATIO,"-0,38","-0,45",-,-,-,-,"-0,58","0,18","-0,23","-0,71","-0,36","0,10","5,13",-,-,-
INDICADORES DE VALUATION,P/VP,"0,76","0,90","0,66","1,08","2,39","2,76","1,58","1,41","0,91","0,74","1,34","2,03","2,28","1,66",-,-
INDICADORES DE VALUATION,EV/EBITDA,"22,00","25,81","10,84","12,04","32,10","40,76",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"24,61","28,86","11,37","12,18","32,56","41,41","1.406,27","10,25","14,14","4,70","8,02","7,69","12,12","7,19",-,-
INDICADORES DE VALUATION,P/EBITDA,"21,83","25,69","11,79","14,81","36,07","46,42",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"24,42","28,74","12,38","14,99","36,59","47,16","1.558,45","11,28","15,39","5,12","7,40","7,52","12,23","8,03",-,-
INDICADORES DE VALUATION,VPA,"20,81","20,81","20,23","18,87","17,93","18,81","15,82","15,37","17,14","17,21","16,45","14,32","11,28","9,53",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,60","0,71","0,54","0,91","2,06","2,43","1,39","1,15","0,73","0,61","0,95","1,50","1,85","1,31",-,-
INDICADORES DE VALUATION,LPA,"0,85","0,85","1,47","1,89","1,79","1,41","0,59","2,17","1,40","2,83","3,23","3,99","2,29","2,24",-,-
INDICADORES DE VALUATION,P/SR,"3,32","3,91","2,65","4,85","10,40","12,90","10,56","3,64","4,51","2,46","3,39","3,75","5,96","3,11",-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"1,67","1,96","1,59","2,68","5,54","4,91","2,87","2,70","1,42","1,37","2,87","3,59","4,68","3,55",-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-1,09","-1,28","-0,93","-1,62","-3,79","-5,67","-3,11","-2,57","-2,06","-1,33","-2,27","-3,41","-4,01","-2,65",-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,00","0,00","-0,05","-0,20","-0,26","-0,34","-0,15","-0,13","-0,07","-0,06","0,11","0,04","-0,02","-0,17","-0,12","-0,13"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"0,12","0,12","-0,96","-2,77","-3,97","-5,66",-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"0,13","0,13","-1,01","-2,80","-4,03","-5,75","-152,18","-1,03","-1,25","-0,42","0,62","0,16","-0,11","-0,84","-0,59","-0,77"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,79","0,79","0,81","0,84","0,86","0,88","0,88","0,82","0,80","0,82","0,71","0,74","0,78","0,79","0,80","0,81"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,20","0,20","0,18","0,14","0,12","0,11","0,11","0,17","0,19","0,18","0,29","0,26","0,22","0,20","0,19","0,18"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"5,19","5,19","4,91","4,69","5,50","7,41","8,05","4,41","5,09","5,58","2,30","3,95","4,49","4,21","4,14","4,76"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"29,18%","29,18%","34,27%","46,12%","43,04%","40,80%","36,30%","44,34%","47,20%","51,20%","52,57%","52,34%","53,68%","50,48%","46,77%","40,25%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"15,23%","15,23%","22,44%","32,72%","28,83%","27,80%",-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"13,62%","13,62%","21,38%","32,34%","28,41%","27,36%","0,68%","32,31%","29,32%","48,05%","45,86%","49,91%","48,77%","38,77%","35,70%","31,54%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"17,82%","17,82%","28,96%","44,90%","43,26%","34,94%","24,96%","36,60%","40,23%","54,52%","49,85%","51,45%","53,16%","44,21%","38,30%","32,20%"
INDICADORES DE RENTABILIDADE,ROE,"4,09%","4,09%","7,26%","10,04%","9,95%","7,47%","3,74%","14,15%","8,14%","16,43%","19,65%","27,88%","20,15%","23,32%","22,19%","17,85%"
INDICADORES DE RENTABILIDADE,ROA,"3,22%","3,22%","5,87%","8,47%","8,59%","6,57%","3,28%","11,56%","6,55%","13,49%","13,89%","20,57%","15,69%","18,54%","17,64%","14,38%"
INDICADORES DE RENTABILIDADE,ROIC,"2,08%","2,08%","4,03%","6,45%","5,96%","5,13%","-0,27%","10,50%","4,74%","12,36%","14,13%","22,56%","16,31%","18,00%","17,42%","14,40%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,18","0,18","0,20","0,19","0,20","0,19","0,13","0,32","0,16","0,25","0,28","0,40","0,30","0,42","0,46","0,45"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"2,72%","2,72%","2,72%","10,85%","2,84%","-3,30%","-19,26%","9,16%","-5,12%","5,06%","13,46%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"-12,11%","-12,11%","-1,98%","13,32%","-1,81%","-9,94%","-30,13%","1,31%","-6,89%","12,74%","23,83%",-%,-%,-%,-%,-%
