Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"2,91%","2,41%","6,50%","5,32%","2,73%","3,32%","4,86%","2,16%","6,87%","0,39%","7,86%","1,33%","1,00%","0,94%",-%,-%
INDICADORES DE VALUATION,P/L,"21,86","26,43","18,43","16,35","33,37","30,90","18,81","14,54","24,36","23,30","29,66","47,03","33,80","31,89",-,-
INDICADORES DE VALUATION,PEG RATIO,"2,96","3,58",-,-,-,-,"5,50","0,36","0,22","0,93","0,74","-1,10","5,73",-,-,-
INDICADORES DE VALUATION,P/VP,"1,58","1,91","2,12","3,10","4,90","5,49","3,56","2,73","3,63","1,51","1,62","1,70","2,11","1,97",-,-
INDICADORES DE VALUATION,EV/EBITDA,"7,77","8,96","6,76","7,45","11,27","11,81",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"13,42","15,47","10,94","11,80","19,72","18,57","13,29","10,58","17,70","11,68","15,33","19,59","18,56","23,49",-,-
INDICADORES DE VALUATION,P/EBITDA,"5,64","6,82","4,77","5,42","10,24","10,95",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"9,74","11,77","7,72","8,57","17,91","17,23","12,39","9,77","16,44","10,61","13,11","16,97","16,79","22,76",-,-
INDICADORES DE VALUATION,VPA,"9,46","9,46","7,30","5,80","5,52","5,56","5,55","10,84","9,83","10,59","10,06","10,81","10,91","10,88",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,71","0,86","0,73","0,94","1,55","1,89","1,59","1,32","1,85","0,78","0,79","0,90","1,32","1,13",-,-
INDICADORES DE VALUATION,LPA,"0,68","0,68","0,84","1,10","0,81","0,99","1,05","2,04","1,46","0,69","0,55","0,39","0,68","0,67",-,-
INDICADORES DE VALUATION,P/SR,"1,39","1,68","1,27","1,48","2,89","3,32","2,34","1,96","2,66","1,32","1,52","1,74","2,40","2,85",-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"8,87","10,72","4,90","10,68","11,13","13,07","7,70","7,42","10,63","3,50","3,38","3,62","8,59","6,99",-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,94","-1,14","-1,05","-1,32","-2,35","-2,67","-2,52","-2,06","-2,69","-1,21","-1,16","-1,33","-1,74","-1,60",-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,60","0,60","0,88","1,17","0,49","0,43","0,26","0,22","0,28","0,15","0,27","0,26","0,22","0,06","-0,45","-0,47"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"2,14","2,14","1,99","2,04","1,03","0,85",-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"3,70","3,70","3,22","3,22","1,80","1,34","0,89","0,80","1,25","1,06","2,22","2,62","1,77","0,73","-2,69","-2,67"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,45","0,45","0,34","0,30","0,32","0,35","0,45","0,48","0,51","0,52","0,49","0,53","0,62","0,57","0,76","0,67"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,55","0,55","0,65","0,69","0,68","0,65","0,55","0,52","0,49","0,48","0,51","0,47","0,38","0,43","0,24","0,33"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,48","1,48","1,94","1,44","1,69","1,99","2,30","1,98","2,28","2,71","3,84","4,05","2,72","2,30","5,89","3,87"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"27,02%","27,02%","27,11%","29,10%","27,25%","30,58%","30,34%","30,89%","28,67%","26,54%","23,82%","22,45%","26,85%","31,99%","36,67%","41,35%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"24,62%","24,62%","26,66%","27,27%","28,18%","30,33%",-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"14,26%","14,26%","16,47%","17,23%","16,11%","19,28%","18,89%","20,01%","16,17%","12,44%","11,56%","10,23%","14,28%","12,53%","19,35%","19,26%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"6,35%","6,35%","6,90%","9,04%","8,65%","10,75%","12,44%","13,45%","10,91%","5,66%","5,11%","3,69%","7,10%","8,94%","14,92%","10,85%"
INDICADORES DE RENTABILIDADE,ROE,"7,21%","7,21%","11,48%","18,96%","14,68%","17,76%","18,95%","18,79%","14,90%","6,48%","5,45%","3,62%","6,25%","6,17%","12,85%","9,96%"
INDICADORES DE RENTABILIDADE,ROA,"3,24%","3,24%","3,95%","5,76%","4,65%","6,13%","8,48%","9,09%","7,61%","3,35%","2,67%","1,90%","3,89%","3,54%","9,79%","6,65%"
INDICADORES DE RENTABILIDADE,ROIC,"7,99%","7,99%","10,01%","10,88%","10,81%","13,46%","12,75%","13,39%","11,54%","6,45%","5,22%","4,47%","7,29%","4,88%","9,37%","10,79%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,51","0,51","0,57","0,64","0,54","0,57","0,68","0,68","0,70","0,59","0,52","0,52","0,55","0,40","0,66","0,61"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"13,37%","13,37%","13,37%","13,06%","9,42%","11,59%","9,97%","9,67%","13,24%","16,81%","16,87%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"3,10%","3,10%","-0,81%","8,87%","19,07%","29,49%","40,23%","24,64%","17,85%","-3,76%","0,53%",-%,-%,-%,-%,-%
