Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"7,29%","6,78%","12,36%","11,26%","1,31%","1,40%","2,56%","0,40%","0,46%","4,73%","3,05%","1,25%","1,67%","2,28%",-%,-%
INDICADORES DE VALUATION,P/L,"4,48","5,13","4,30","3,03","17,77","28,57","11,06","-59,24","-6,42","-1,76","11,74","19,91","21,63","2,98",-,-
INDICADORES DE VALUATION,PEG RATIO,"-0,11","-0,13",-,-,-,-,"-0,01","0,68","0,18","0,00","-1,03","1,80","-0,75",-,-,-
INDICADORES DE VALUATION,P/VP,"0,72","0,83","1,07","1,10","1,36","1,28","0,99","0,90","0,77","0,25","0,51","1,04","1,13","0,24",-,-
INDICADORES DE VALUATION,EV/EBITDA,"2,88","3,24","2,75","2,22","6,57","8,05","6,00","10,31","34,42","-44,22","5,71","8,91","9,97","3,22",-,-
INDICADORES DE VALUATION,EV/EBIT,"3,38","3,80","3,02","2,44","9,53","13,35","8,79","30,24","-19,19","-8,36","10,09","15,31","17,70","5,13",-,-
INDICADORES DE VALUATION,P/EBITDA,"2,58","2,96","2,52","2,03","5,58","6,52","4,30","6,60","20,36","-13,16","3,21","6,67","7,40","1,30",-,-
INDICADORES DE VALUATION,P/EBIT,"3,02","3,47","2,77","2,23","8,09","10,80","6,30","19,35","-11,35","-2,49","5,68","11,45","13,13","2,08",-,-
INDICADORES DE VALUATION,VPA,"28,80","28,80","27,56","24,77","17,95","15,68","14,96","13,75","13,97","18,43","18,73","17,64","15,84","60,57",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,48","0,55","0,67","0,64","0,67","0,64","0,50","0,42","0,34","0,11","0,26","0,54","0,58","0,12",-,-
INDICADORES DE VALUATION,LPA,"4,63","4,63","6,83","9,01","1,38","0,70","1,34","-0,21","-1,68","-2,65","0,82","0,92","0,83","4,86",-,-
INDICADORES DE VALUATION,P/SR,"0,50","0,58","0,60","0,60","0,96","0,87","0,55","0,58","0,49","0,18","0,39","0,79","0,81","0,17",-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"1,79","2,05","2,76","2,52","3,53","3,18","2,83","2,07","2,02","0,56","1,28","2,88","3,59","0,57",-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,80","-0,92","-1,16","-1,14","-1,06","-0,96","-0,75","-0,66","-0,50","-0,17","-0,39","-0,79","-0,84","-0,18",-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,11","0,11","0,16","0,17","0,32","0,36","0,45","0,56","0,60","0,62","0,42","0,41","0,45","0,36","0,64","0,53"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"0,39","0,39","0,37","0,31","1,31","1,85","1,95","4,07","15,89","-32,16","2,67","2,64","2,92","1,98","2,27","3,61"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"0,45","0,45","0,40","0,34","1,90","3,06","2,86","11,94","-8,86","-6,08","4,72","4,53","5,18","3,16","3,43","11,51"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,66","0,66","0,62","0,58","0,49","0,50","0,50","0,47","0,44","0,45","0,51","0,52","0,51","0,50","0,45","0,42"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,34","0,34","0,37","0,42","0,51","0,50","0,49","0,52","0,56","0,54","0,47","0,45","0,46","0,47","0,53","0,51"
