Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017
INDICADORES DE VALUATION,D.Y,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE VALUATION,P/L,"15,81","13,88","13,27","17,55","25,45",-,-,-
INDICADORES DE VALUATION,PEG RATIO,"0,77","0,67",-,-,-,-,-,-
INDICADORES DE VALUATION,P/VP,"2,18","1,91","1,87","2,08","3,27",-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"10,55","9,49","9,05","12,22",-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"13,10","11,78","11,23","15,76","20,17",-,-,-
INDICADORES DE VALUATION,P/EBITDA,"9,32","8,18","8,24","11,28",-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"11,57","10,16","10,23","14,54","21,24",-,-,-
INDICADORES DE VALUATION,VPA,"3,75","3,75","3,37","2,90","2,55",-,-,-
INDICADORES DE VALUATION,P/ATIVO,"1,20","1,05","1,05","1,34","2,25",-,-,-
INDICADORES DE VALUATION,LPA,"0,52","0,52","0,48","0,34","0,33",-,-,-
INDICADORES DE VALUATION,P/SR,"0,71","0,63","0,64","0,84","1,49",-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"2,96","2,60","2,31","2,88","3,93",-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-3,14","-2,76","-3,13","-3,62","-8,66",-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,31","0,31","0,18","0,17","-0,16","0,47","0,34","0,36"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"1,31","1,31","0,81","0,95",-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"1,62","1,62","1,01","1,22","-1,07","1,93","1,25","1,55"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,55","0,55","0,56","0,64","0,69","0,46","0,45","0,45"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,44","0,44","0,43","0,35","0,30","0,53","0,53","0,55"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"2,90","2,90","3,20","3,80","4,46","2,75","2,31","2,22"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"21,56%","21,56%","22,05%","23,32%","24,11%","25,91%","26,42%","26,43%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"7,67%","7,67%","7,78%","7,44%",-%,-%,-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"6,17%","6,17%","6,27%","5,77%","7,02%","5,74%","6,15%","4,97%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"4,52%","4,52%","4,83%","4,78%","5,85%","4,20%","4,34%","2,79%"
INDICADORES DE RENTABILIDADE,ROE,"13,80%","13,80%","14,12%","11,85%","12,86%","17,87%","19,37%","13,17%"
INDICADORES DE RENTABILIDADE,ROA,"7,59%","7,59%","7,93%","7,62%","8,85%","8,19%","8,80%","5,98%"
INDICADORES DE RENTABILIDADE,ROIC,"12,73%","12,73%","12,53%","10,59%","12,60%","13,87%","17,70%","15,62%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"1,68","1,68","1,64","1,59","1,51","1,95","2,03","2,14"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"30,71%","30,71%","30,71%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"48,33%","48,33%","45,89%",-%,-%,-%,-%,-%
