Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"15,98%","14,64%","9,64%","20,39%","1,60%","1,62%","2,88%","0,35%",-%,"6,63%","2,65%","0,64%","1,79%","2,96%",-%,-%
INDICADORES DE VALUATION,P/L,"3,63","4,09","3,58","2,44","14,02","21,54","8,54","-27,93","-3,18","-0,29","23,07","19,12","20,69","9,72",-,-
INDICADORES DE VALUATION,PEG RATIO,"-0,09","-0,10",-,-,-,-,"-0,02","0,33","0,08","0,00","-0,38","1,80","-0,52",-,-,-
INDICADORES DE VALUATION,P/VP,"0,55","0,62","0,81","0,84","1,05","0,91","0,73","0,67","0,51","0,06","0,40","0,87","0,95","0,82",-,-
INDICADORES DE VALUATION,EV/EBITDA,"1,04","1,12","1,00","0,81","2,67","3,55","3,25","5,99","21,53","-30,66","3,97","4,87","5,37","3,81",-,-
INDICADORES DE VALUATION,EV/EBIT,"1,22","1,32","1,09","0,89","3,88","5,89","4,77","17,67","-11,83","-6,47","6,92","8,40","9,59","6,08",-,-
INDICADORES DE VALUATION,P/EBITDA,"0,71","0,80","0,69","0,54","1,63","1,74","1,16","1,76","4,85","-0,97","0,93","2,06","2,28","1,61",-,-
INDICADORES DE VALUATION,P/EBIT,"0,83","0,94","0,76","0,59","2,36","2,88","1,70","5,20","-2,66","-0,21","1,62","3,55","4,07","2,58",-,-
INDICADORES DE VALUATION,VPA,"17,38","17,38","15,92","13,56","10,76","10,15","9,50","8,66","9,41","29,15","28,10","26,94","24,15","21,91",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,13","0,14","0,18","0,17","0,19","0,17","0,13","0,11","0,08","0,01","0,07","0,17","0,18","0,15",-,-
INDICADORES DE VALUATION,LPA,"2,66","2,66","3,62","4,66","0,80","0,43","0,81","-0,21","-1,51","-5,64","0,49","1,22","1,11","1,84",-,-
INDICADORES DE VALUATION,P/SR,"0,14","0,16","0,16","0,16","0,28","0,23","0,15","0,15","0,12","0,02","0,11","0,24","0,25","0,21",-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"0,47","0,53","0,72","0,64","0,91","0,84","0,81","0,55","0,49","0,05","0,38","0,89","1,29","0,70",-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,22","-0,25","-0,32","-0,30","-0,31","-0,26","-0,20","-0,18","-0,12","-0,01","-0,11","-0,24","-0,26","-0,23",-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,25","0,25","0,38","0,44","0,72","0,97","1,31","1,63","1,77","1,74","1,34","1,24","1,35","1,15","1,76","1,29"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"0,32","0,32","0,32","0,28","1,12","1,85","2,07","4,30","16,85","-29,71","3,11","2,94","3,25","2,27","2,52","4,09"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"0,38","0,38","0,35","0,31","1,62","3,07","3,03","12,68","-9,26","-6,27","5,42","5,07","5,80","3,63","3,82","13,51"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,23","0,23","0,22","0,20","0,18","0,19","0,18","0,17","0,16","0,17","0,18","0,19","0,19","0,18","0,18","0,18"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,33","0,33","0,37","0,42","0,50","0,50","0,51","0,54","0,57","0,57","0,51","0,48","0,50","0,51","0,58","0,53"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"3,02","3,02","2,39","2,38","2,16","2,46","1,92","2,33","1,98","2,68","2,43","2,49","1,80","2,56","2,59","2,98"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"17,50%","17,50%","22,75%","26,57%","13,54%","10,60%","13,32%","9,76%","9,20%","9,85%","12,08%","12,88%","12,50%","14,43%","17,58%","15,96%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"19,49%","19,49%","23,55%","29,46%","17,19%","13,28%","12,79%","8,72%","2,40%","-1,62%","11,74%","11,77%","10,90%","12,93%","17,39%","10,02%"
INDICADORES DE EFICIÊNCIA,M. EBIT,"16,60%","16,60%","21,46%","26,78%","11,84%","8,01%","8,71%","2,96%","-4,37%","-7,66%","6,75%","6,82%","6,11%","8,10%","11,48%","3,03%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"3,80%","3,80%","4,54%","6,46%","1,99%","1,07%","1,73%","-0,55%","-3,66%","-5,34%","0,48%","1,27%","1,20%","2,15%","2,85%","1,41%"
INDICADORES DE RENTABILIDADE,ROE,"15,29%","15,29%","22,75%","34,35%","7,46%","4,24%","8,55%","-2,40%","-16,05%","-19,36%","1,74%","4,54%","4,58%","8,41%","11,44%","4,45%"
INDICADORES DE RENTABILIDADE,ROA,"3,54%","3,54%","5,01%","6,79%","1,35%","0,79%","1,56%","-0,40%","-2,52%","-3,32%","0,32%","0,86%","0,86%","1,52%","2,08%","0,82%"
INDICADORES DE RENTABILIDADE,ROIC,"15,06%","15,06%","22,17%","28,18%","8,13%","6,28%","9,46%","1,96%","-4,37%","-8,24%","5,43%","5,07%","5,38%","6,75%","9,13%","2,17%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,93","0,93","1,10","1,05","0,68","0,73","0,90","0,73","0,69","0,62","0,67","0,68","0,71","0,71","0,73","0,58"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"17,42%","17,42%","17,42%","15,78%","0,11%","-1,40%","2,98%","-0,57%","1,24%","6,78%","9,90%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,-%,-%,-%,-%,-%,"16,03%","9,61%",-%,-%,-%,"-11,57%",-%,-%,-%,-%,-%
