Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE VALUATION,D.Y,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,"1,51%",-%,-%,-%
INDICADORES DE VALUATION,P/L,"71,33","269,93","-15,04","-7,49","-13,07","-982,78","-72,39","4.069,87","28,49","-2,92","-3,40","-3,67","-2,31","-4,48",-,-,-
INDICADORES DE VALUATION,PEG RATIO,"-0,70","-2,64",-,-,-,-,"0,01","-41,62","-0,24","-0,01","-0,06","0,08","-0,02",-,-,-,-
INDICADORES DE VALUATION,P/VP,"-0,34","-1,30","-1,10","-2,57","-5,43","-15,01","-15,76","-21,85","-6,63","-2,87","-8,17","4,49","4,76","1,52",-,-,-
INDICADORES DE VALUATION,EV/EBITDA,-,-,"6,36","-7,15","19,11","4,84",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"3,77","4,76","26,00","-4,66","-18,45","8,76","60,25","82,48","42,48","-112,75","16,27","21,17","-8,08","-24,98",-,-,-
INDICADORES DE VALUATION,P/EBITDA,-,-,"10,32","-21,66","85,14","29,85",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"2,72","10,29","42,17","-14,11","-82,21","54,04","56,12","77,30","34,75","-70,95","8,38","10,99","-3,85","-13,76",-,-,-
INDICADORES DE VALUATION,VPA,"-6,88","-6,88","-6,67","-6,62","-4,59","-2,45","-1,59","-0,67","-0,70","-0,88","-1,86","2,33","2,71","8,16",-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,44","1,67","1,38","3,76","6,11","7,53","7,57","7,64","2,88","1,26","0,42","0,27","0,39","0,32",-,-,-
INDICADORES DE VALUATION,LPA,"0,03","0,03","-0,49","-2,27","-1,91","-0,04","-0,35","0,00","0,16","-0,86","-4,47","-2,86","-5,60","-2,78",-,-,-
INDICADORES DE VALUATION,P/SR,"0,41","1,56","1,55","7,28","12,28","8,31","6,89","7,40","2,45","1,33","0,42","0,33","0,43","0,45",-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"-0,73","-2,75","-2,16","-6,45","-10,94","-21,20","-20,20","-31,54","-8,74","-4,23","-3,45","24,58","-1,77","-7,35",-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,56","-2,10","-1,68","-4,62","-8,18","-11,11","-11,12","-11,48","-3,83","-1,65","-0,61","-0,41","-0,50","-0,45",-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,-,-,-,-,-,-,-,-,-,-,-,"4,16","5,23","1,24","0,60","0,66","2,80"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,-,-,"5,01","-4,45","9,45","1,51",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"3,41","3,41","20,48","-2,90","-9,13","2,72","4,13","5,18","7,73","-41,80","7,88","10,19","-4,23","-11,22","2,53","4,14","-35,24"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"-1,28","-1,28","-1,26","-1,46","-1,12","-0,50","-0,48","-0,35","-0,43","-0,44","-0,05","0,06","0,08","0,21","0,32","0,30","0,15"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"2,28","2,28","2,26","2,46","2,07","1,46","1,43","1,31","1,40","1,42","1,03","0,89","0,92","0,79","0,68","0,70","0,85"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"0,25","0,25","0,22","0,24","0,31","0,48","0,46","0,58","0,43","0,44","0,71","1,03","0,51","0,87","1,60","0,99","0,64"
