Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015
INDICADORES DE VALUATION,D.Y,-%,-%,-%,"0,60%","2,13%","0,43%",-%,-%,-%,-%
INDICADORES DE VALUATION,P/L,"-28,12","-32,75","-46,78","81,15","72,36","50,53",-,-,-,-
INDICADORES DE VALUATION,PEG RATIO,"-0,10","-0,11",-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/VP,"0,59","0,68","0,74","3,82","7,24","5,91",-,-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"16,11","18,35","23,78","32,48","29,02","37,09",-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"214,77","244,53","-278,51","80,85","44,42","42,23",-,-,-,-
INDICADORES DE VALUATION,P/EBITDA,"13,54","15,77","19,88","29,87","29,23","36,49",-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"180,44","210,20","-232,84","74,35","44,74","41,55",-,-,-,-
INDICADORES DE VALUATION,VPA,"6,51","6,51","6,82","2,72","2,11","10,80",-,-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,39","0,45","0,50","1,92","4,19","3,45",-,-,-,-
INDICADORES DE VALUATION,LPA,"-0,14","-0,14","-0,11","0,13","0,21","1,26",-,-,-,-
INDICADORES DE VALUATION,P/SR,"1,07","1,24","1,53","4,09","6,63","7,62",-,-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"67,64","78,80","79,35","302,04","41,04","103,25",-,-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,44","-0,51","-0,56","-2,28","-5,66","-4,17",-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,11","0,11","0,15","0,33","-0,05","0,10","-0,25","-1,92","-0,98","-1,33"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"2,57","2,57","3,90","2,61","-0,21","0,60","-0,97","-1,10","-1,02","-1,27"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"34,32","34,32","-45,67","6,50","-0,32","0,68","-1,02","-1,16","-1,06","-1,36"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,66","0,66","0,67","0,50","0,58","0,58","0,74","0,18","0,26","0,23"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,34","0,34","0,33","0,51","0,42","0,42","0,26","0,82","0,74","0,77"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,05","1,05","1,06","1,04","1,65","1,24","1,29","0,99","1,08","1,18"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"24,41%","24,41%","23,81%","31,02%","39,11%","39,65%","39,80%","41,22%","38,64%","38,98%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"7,89%","7,89%","7,69%","13,68%","22,67%","20,89%","19,95%","21,43%","16,16%","14,22%"
INDICADORES DE EFICIÊNCIA,M. EBIT,"0,59%","0,59%","-0,66%","5,50%","14,81%","18,34%","19,02%","20,36%","15,47%","13,29%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"-3,80%","-3,80%","-3,27%","5,04%","9,16%","15,08%","17,21%","16,86%","15,05%","12,25%"
INDICADORES DE RENTABILIDADE,ROE,"-2,09%","-2,09%","-1,59%","4,71%","10,01%","11,71%","21,86%","137,49%","89,57%","90,72%"
INDICADORES DE RENTABILIDADE,ROA,"-1,37%","-1,37%","-1,06%","2,37%","5,79%","6,82%","16,15%","24,81%","23,63%","21,12%"
INDICADORES DE RENTABILIDADE,ROIC,"-0,36%","-0,36%","-1,37%","3,31%","9,28%","8,06%","17,10%","114,21%","66,77%","78,49%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,36","0,36","0,32","0,47","0,63","0,45","0,94","1,47","1,57","1,72"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"43,91%","43,91%","43,91%","26,62%","28,32%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,-%,-%,-%,"1,72%","21,07%",-%,-%,-%,-%,-%
