Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"4,22%","3,44%","2,73%","4,36%","3,43%","3,00%","6,25%","1,81%","1,91%",-%,-%,"0,92%",-%,"1,42%",-%,-%
INDICADORES DE VALUATION,P/L,"12,10","12,80","16,87","13,46","16,75",-,-,"23,59","14,03","24,51","26,14","43,46","51,14","-85,21","47,13",-
INDICADORES DE VALUATION,PEG RATIO,"1,33","1,41",-,-,-,-,-,"-1,31","0,13","0,63","0,46","1,68","-0,11","0,70",-,-
INDICADORES DE VALUATION,P/VP,"1,88","1,99","2,69","1,82","2,35",-,-,"2,94","1,88","1,71","1,41","1,58","1,52","0,70","2,44",-
INDICADORES DE VALUATION,EV/EBITDA,"10,07","10,50","13,50","12,74","16,06",-,-,"20,18","10,29","14,47","13,61","15,55","14,98","10,12","19,93",-
INDICADORES DE VALUATION,EV/EBIT,"10,78","11,24","14,25","11,68","17,03",-,-,"18,87","15,60","17,98","16,53","15,51","16,42","15,69","22,66",-
INDICADORES DE VALUATION,P/EBITDA,"7,42","7,86","10,92","9,93","15,51",-,-,"20,98","10,60","12,50","10,61","12,47","12,35","7,14","19,09",-
INDICADORES DE VALUATION,P/EBIT,"7,95","8,41","11,53","9,10","16,45",-,-,"19,62","16,08","15,53","12,89","12,44","13,53","11,06","21,71",-
INDICADORES DE VALUATION,VPA,"17,98","17,98","16,81","15,51","14,59",-,-,"12,24","13,94","12,70","11,83","11,20","10,95","12,13","9,23",-
INDICADORES DE VALUATION,P/ATIVO,"0,88","0,93","1,21","0,90","1,26",-,-,"2,25","1,44","0,87","0,76","0,89","0,82","0,35","1,24",-
INDICADORES DE VALUATION,LPA,"2,79","2,79","2,68","2,10","2,04",-,-,"1,53","1,86","0,89","0,64","0,41","0,33","-0,10","0,48",-
