Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"1,16%","1,50%","1,84%",-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE VALUATION,P/L,"34,67","35,77","1.004,78","29,49",-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,PEG RATIO,"0,02","0,02",-,-,-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/VP,"2,32","2,40","1,86","2,06",-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"10,46","10,72","13,48","17,14",-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"13,79","14,13","17,94","24,81",-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBITDA,"12,49","12,89","11,55","14,27",-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"16,47","16,99","15,37","20,65",-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,VPA,"10,17","10,17","9,96","8,79","55,18","52,48",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/ATIVO,"1,33","1,37","0,94","0,96",-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,LPA,"0,68","0,68","0,02","0,61","2,61","4,39",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/SR,"8,50","8,77","7,48","8,21",-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"16,47","17,00","16,21","3,82",-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-1,65","-1,70","-1,30","-1,40",-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,44","0,44","0,31","0,41","1,21","0,96","1,15","1,20","1,20","1,19","0,87","0,43","1,45","0,84","4,84","4,93"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"2,38","2,38","1,93","2,87","4,04","2,40",-,-,-,"-9,32","-24,70","3,30","6,24","2,23","2,12",-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"3,14","3,14","2,57","4,16","5,87","3,04","3,83","4,33","4,84","-5,85","-9,51","4,18","21,34","2,22","5,13","3,06"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,57","0,57","0,51","0,47","0,23","0,27","0,27","0,28","0,27","0,26","0,27","0,30","0,22","0,26","0,05","0,06"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,43","0,43","0,49","0,53","0,55","0,47","0,47","0,46","0,48","0,50","0,46","0,48","0,73","0,69","0,73","0,72"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,71","1,71","1,27","4,64","2,33","4,16","3,12","1,97","1,85","1,56","2,44","3,40","13,22","22,61","1,28","1,17"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"61,96%","61,96%","58,59%","56,97%","59,31%","66,61%","69,92%","69,38%","68,83%","66,88%","68,79%","72,12%","72,75%","36,71%","42,49%","38,15%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"68,06%","68,06%","64,76%","57,56%","71,83%","80,91%",-%,-%,-%,"-28,69%","-9,66%","53,84%","222,83%","32,74%","34,52%",-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"51,62%","51,62%","48,68%","39,79%","49,40%","63,93%","60,21%","58,23%","54,09%","-45,73%","-25,07%","42,61%","65,16%","32,83%","14,22%","25,34%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"24,53%","24,53%","0,74%","27,86%","11,31%","17,03%","15,24%","11,27%","3,22%","-19,74%","-29,90%","2,82%","19,39%","15,20%","0,09%","2,55%"
INDICADORES DE RENTABILIDADE,ROE,"6,70%","6,70%","0,18%","6,97%","4,73%","8,37%","7,62%","5,36%","1,48%","-8,81%","-10,94%","0,68%","2,02%","17,45%","0,57%","16,21%"
INDICADORES DE RENTABILIDADE,ROA,"3,83%","3,83%","0,09%","3,24%","1,09%","2,24%","2,04%","1,51%","0,40%","-2,31%","-2,96%","0,21%","0,44%","4,53%","0,03%","0,94%"
INDICADORES DE RENTABILIDADE,ROIC,"8,12%","8,12%","4,87%","2,20%","3,93%","7,23%","7,05%","7,20%","6,10%","-6,63%","-3,06%","2,65%","1,61%","12,92%","7,13%","12,43%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,16","0,16","0,13","0,12","0,10","0,13","0,13","0,13","0,12","0,12","0,10","0,07","0,02","0,30","0,36","0,37"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"7,95%","7,95%","7,95%","5,11%","1,23%","5,51%","11,50%","12,61%","-33,45%","-38,39%","-39,62%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"28,92%","28,92%","-37,31%","61,79%",-%,-%,"56,22%","1,04%","-51,19%",-%,-%,-%,-%,-%,-%,-%
