Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"6,95%","3,70%","4,07%","4,34%","4,12%","7,56%","6,25%","0,76%","2,47%","5,01%","1,51%","2,75%","3,01%","2,77%",-%,-%
INDICADORES DE VALUATION,P/L,"10,55","10,46","8,25","7,68","16,40","13,42","9,32","12,08","9,37","6,22","8,88","9,60","12,08","11,23",-,-
INDICADORES DE VALUATION,PEG RATIO,"0,90","0,90",-,-,-,-,"1,26","1,67","-0,59","0,32","0,28","0,32","-1,39",-,-,-
INDICADORES DE VALUATION,P/VP,"1,83","1,81","1,46","1,34","2,17","2,66","1,70","2,13","1,65","1,43","1,93","1,89","2,01","1,98",-,-
INDICADORES DE VALUATION,EV/EBITDA,"7,21","7,08","5,43","4,22","32,56","9,73",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"8,24","8,09","6,12","4,65","55,77","10,84","6,99","8,63","5,35","8,48","6,42","7,33","8,47","7,64",-,-
INDICADORES DE VALUATION,P/EBITDA,"7,72","7,66","5,79","4,42","34,59","10,45",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"8,83","8,76","6,53","4,86","59,26","11,64","7,58","9,16","5,68","8,77","6,64","7,55","8,76","8,51",-,-
INDICADORES DE VALUATION,VPA,"18,73","18,73","17,11","15,59","14,59","13,97","20,93","19,96","20,49","18,45","17,95","16,55","16,61","17,15",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,13","0,13","0,11","0,10","0,15","0,22","0,15","0,20","0,15","0,13","0,17","0,15","0,16","0,18",-,-
INDICADORES DE VALUATION,LPA,"3,25","3,25","3,03","2,73","1,93","2,77","3,81","3,52","3,61","4,23","3,90","3,27","2,76","3,03",-,-
INDICADORES DE VALUATION,P/SR,"0,88","0,87","0,87","1,05","1,78","1,88","1,77","1,87","1,16","1,24","1,48","1,66","1,50","1,50",-,-
INDICADORES DE VALUATION,P/CAP. GIRO,-,-,-,-,-,-,-,-,-,-,-,-,-,"6,93",-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,14","-0,13","-0,11","-0,10","-0,16","-0,23","-0,15","-0,20","-0,15","-0,13","-0,17","-0,16","-0,16","-0,19",-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,07","0,07","0,07","0,07","0,07","0,08","0,09","0,09","0,09","0,09","0,09","0,08","0,08","0,09","0,09","0,11"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,92","0,92","0,92","0,92","0,92","0,91","0,90","0,90","0,90","0,91","0,91","0,92","0,92","0,90","0,90","0,89"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,60","1,31","4,03"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"30,03%","30,03%","40,78%","57,23%","57,67%","60,65%","46,23%","47,63%","45,64%","42,07%","43,44%","51,09%","52,68%","46,33%","55,35%","85,30%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"11,34%","11,34%","14,94%","23,75%","5,16%","18,03%",-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"9,92%","9,92%","13,25%","21,58%","3,01%","16,18%","23,31%","20,45%","20,39%","14,10%","22,33%","22,01%","17,14%","17,62%","21,85%","1.610,10%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"8,30%","8,30%","10,48%","13,68%","10,87%","14,05%","18,97%","15,51%","12,36%","19,87%","16,70%","17,33%","12,44%","13,36%","0,95%","1.626,79%"
INDICADORES DE RENTABILIDADE,ROE,"17,34%","17,34%","17,68%","17,51%","13,21%","19,80%","18,21%","17,18%","17,65%","22,93%","21,72%","19,73%","16,65%","17,97%","1,14%","12,14%"
INDICADORES DE RENTABILIDADE,ROA,"1,27%","1,27%","1,28%","1,29%","0,94%","1,66%","1,60%","1,61%","1,60%","2,02%","1,91%","1,60%","1,32%","1,69%","0,11%","1,33%"
INDICADORES DE RENTABILIDADE,ROIC,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,15","0,15","0,12","0,09","0,09","0,12","0,08","0,10","0,13","0,10","0,11","0,09","0,11","0,13","0,11","0,00"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"13,63%","13,63%","13,63%","2,26%","6,04%","8,39%","6,73%","8,05%","11,05%","9,45%","206,92%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"6,54%","6,54%","5,07%","4,35%","-5,99%","4,69%","8,68%","12,92%","9,34%","100,93%","22,84%",-%,-%,-%,-%,-%
