Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE VALUATION,D.Y,"4,25%","4,01%","9,10%","7,95%","2,28%","0,01%","0,40%","0,34%","3,56%","1,36%","0,69%","0,68%",-%,-%,-%,-%,-%
INDICADORES DE VALUATION,P/L,"43,27","45,81","3,16","4,40","13,50","11,60","1.255,06","50,11","139,44","7,84","16,19","27,85","24,74","-206,20",-,-,-
INDICADORES DE VALUATION,PEG RATIO,"-0,46","-0,49",-,-,-,-,"-13,17","0,39","-1,47","0,06","0,14","0,96","-0,02",-,-,-,-
INDICADORES DE VALUATION,P/VP,"1,24","1,32","1,05","2,04","1,55","2,38","1,23","1,10","1,46","1,30","1,38","1,18","0,86","0,76",-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"-16,28","-16,66","13,00","3,84","3,83","5,74",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"-7,14","-7,30",-,"4,90","5,28","8,41","10,98","10,68","12,04","9,09","7,43","11,93","12,09","16,40",-,-,-
INDICADORES DE VALUATION,P/EBITDA,"-6,41","-6,79","4,98","2,19","2,19","3,56",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"-2,81","-2,97",-,"2,79","3,03","5,22","4,40","3,97","4,93","3,96","4,21","6,21","6,54","8,77",-,-,-
INDICADORES DE VALUATION,VPA,"18,92","18,92","20,89","18,59","15,29","10,86","9,40","8,90","7,83","9,52","8,11","7,46","6,95","8,05",-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,24","0,26","0,23","0,44","0,38","0,56","0,28","0,25","0,32","0,30","0,40","0,38","0,36","0,33",-,-,-
INDICADORES DE VALUATION,LPA,"0,54","0,54","6,97","8,63","1,75","2,22","0,01","0,20","0,08","1,58","0,69","0,31","0,24","-0,03",-,-,-
INDICADORES DE VALUATION,P/SR,"0,14","0,15","0,13","0,26","0,23","0,34","0,17","0,16","0,19","0,22","0,27","0,28","0,23","0,25",-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"1,47","1,56","2,01","3,74","3,15","5,23","2,07","3,86","57,02","3,76","2,60","2,30","2,27","2,07",-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,41","-0,43","-0,38","-0,73","-0,60","-0,83","-0,41","-0,37","-0,47","-0,50","-0,74","-0,65","-0,59","-0,53",-,-,-

Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"1,92","1,92","1,69","1,54","1,15","1,45","1,84","1,86","1,97","1,68","1,04","1,07","0,73","0,66","0,85","0,73","0,47"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"-9,87","-9,87","8,01","1,65","1,63","2,18",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"-4,33","-4,33",-,"2,11","2,25","3,19","6,57","6,71","7,10","5,12","3,21","5,72","5,55","7,63","6,55","13,55","4,76"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,20","0,20","0,22","0,21","0,24","0,23","0,22","0,22","0,23","0,23","0,29","0,32","0,41","0,44","0,40","0,40","0,43"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,79","0,79","0,76","0,77","0,73","0,74","0,76","0,76","0,76","0,76","0,69","0,66","0,57","0,54","0,58","0,56","0,57"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,70","1,70","1,44","1,40","1,48","1,47","1,71","1,24","1,02","1,24","1,51","1,63","1,68","1,72","1,63","1,65","1,59"

Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE EFICIÊNCIA,M. BRUTA,"-5,62%","-5,62%","0,00%","18,87%","16,73%","15,62%","14,50%","14,57%","12,51%","13,87%","15,50%","12,75%","11,48%","10,84%","12,28%","8,97%","9,86%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"-2,26%","-2,26%","2,61%","11,75%","10,47%","9,66%",-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"-5,15%","-5,15%","0,00%","9,20%","7,59%","6,59%","3,95%","4,14%","3,87%","5,63%","6,50%","4,47%","3,59%","2,88%","4,17%","2,84%","2,30%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"0,33%","0,33%","4,12%","5,84%","1,70%","2,97%","0,01%","0,33%","0,14%","2,85%","1,69%","1,00%","0,95%","-0,12%","-0,54%","0,66%","0,09%"

Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE RENTABILIDADE,ROE,"2,87%","2,87%","33,35%","46,43%","11,46%","20,48%","0,10%","2,20%","0,98%","16,55%","8,45%","4,19%","3,49%","-0,37%","-1,66%","1,26%","0,37%"
INDICADORES DE RENTABILIDADE,ROA,"0,56%","0,56%","7,43%","9,89%","2,81%","4,80%","0,02%","0,49%","0,23%","3,79%","2,47%","1,34%","1,44%","-0,16%","-0,66%","0,50%","0,16%"
INDICADORES DE RENTABILIDADE,ROIC,"-15,01%","-15,01%",-%,"18,25%","15,44%","14,56%","6,99%","7,96%","7,80%","6,73%","9,16%","6,24%","5,01%","4,17%","5,19%","2,07%","5,04%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"1,68","1,68","1,80","1,69","1,65","1,62","1,59","1,50","1,66","1,33","1,46","1,35","1,52","1,30","1,23","0,76","1,85"

Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"18,10%","18,10%","18,10%","15,53%","10,65%","11,17%","14,36%","16,60%","22,49%","24,39%","29,32%","25,08%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"17,69%","17,69%","96,01%","144,69%","-0,18%","24,41%","-51,37%","-5,77%",-%,-%,"55,95%","104,46%",-%,-%,-%,-%,-%

