Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE VALUATION,D.Y,"9,49%","7,55%","4,16%","7,06%","1,87%","2,80%",-%,-%,-%,-%,"2,46%","4,36%","2,17%","4,28%","5,23%",-%,-%
INDICADORES DE VALUATION,P/L,"7,54","9,56","5,51","3,82","8,34","11,73","5,54","-40,61","-2,85","6,15","24,30","5,76","13,18","10,67","7,02",-,-
INDICADORES DE VALUATION,PEG RATIO,"-0,15","-0,19",-,-,-,-,"-0,01","0,44","0,01","0,04","-0,28","0,42","0,47","3,52",-,-,-
INDICADORES DE VALUATION,P/VP,"0,59","0,75","0,70","0,86","1,43","1,25","0,45","0,43","0,34","0,25","0,45","0,83","2,88","2,02","1,40",-,-
INDICADORES DE VALUATION,EV/EBITDA,"7,19","8,24","5,82","4,20","7,01","6,99",-,-,-,-,-,-,-,"9,13","5,87",-,-
INDICADORES DE VALUATION,EV/EBIT,"7,78","8,90","6,22","4,43","7,22","7,28","5,99","11,71","-11,78","5,22","12,95","6,24","11,84","10,28","6,49",-,-
INDICADORES DE VALUATION,P/EBITDA,"3,87","4,91","3,58","3,27","6,39","5,94",-,-,-,-,-,-,-,"7,72","5,74",-,-
INDICADORES DE VALUATION,P/EBIT,"4,18","5,31","3,82","3,44","6,58","6,19","3,08","4,84","-4,11","1,45","4,22","3,38","9,18","8,69","6,35",-,-
INDICADORES DE VALUATION,VPA,"7,42","7,42","7,20","6,51","5,45","5,69","4,23","4,04","4,20","5,04","5,25","5,12","2,99","2,71","2,50",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,28","0,35","0,33","0,46","0,74","0,65","0,21","0,21","0,16","0,10","0,17","0,35","1,13","0,92","0,70",-,-
INDICADORES DE VALUATION,LPA,"0,58","0,58","0,91","1,46","0,94","0,61","0,35","-0,04","-0,50","0,21","0,10","0,74","0,65","0,51","0,50",-,-
INDICADORES DE VALUATION,P/SR,"1,98","2,51","1,79","1,91","4,59","5,94","2,08","2,58","1,92","1,06","1,73","2,74","4,12","2,57","1,96",-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"1,50","1,91","1,37","3,20","6,87","7,55","-43,79","-30,73","1,34","3,17","1,76","1,52","3,27","3,11","2,00",-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,39","-0,49","-0,48","-0,60","-0,99","-0,77","-0,24","-0,22","-0,21","-0,14","-0,23","-0,51","-2,17","-1,86","-1,54",-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,51","0,51","0,44","0,25","0,14","0,22","0,43","0,62","0,63","0,65","0,92","0,70","0,56","0,37","0,03","0,05","0,22"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"3,32","3,32","2,24","0,94","0,63","1,05",-,-,-,-,-,-,-,"1,41","0,12",-,"0,87"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"3,59","3,59","2,39","0,99","0,64","1,10","2,91","6,87","-7,67","3,77","8,72","2,86","2,65","1,59","0,14","0,26","0,98"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,47","0,47","0,47","0,53","0,51","0,52","0,46","0,48","0,46","0,40","0,39","0,42","0,45","0,45","0,50","0,50","0,53"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,50","0,50","0,50","0,46","0,47","0,48","0,53","0,52","0,53","0,59","0,61","0,58","0,55","0,54","0,50","0,50","0,46"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"2,85","2,85","4,21","2,42","1,72","2,16","0,97","0,91","1,95","1,19","1,77","3,34","3,67","2,40","2,79","1,98","2,11"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"53,40%","53,40%","59,65%","69,44%","69,23%","48,75%","50,19%","41,37%","39,25%","43,10%","49,06%","46,76%","50,53%","43,07%","39,55%","32,82%","48,25%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"51,20%","51,20%","50,08%","58,40%","71,82%","99,89%",-%,-%,-%,-%,-%,-%,-%,"33,29%","34,06%",-%,"31,41%"
INDICADORES DE EFICIÊNCIA,M. EBIT,"47,37%","47,37%","46,91%","55,47%","69,73%","95,95%","67,65%","53,38%","-46,74%","72,63%","40,91%","81,11%","44,87%","29,56%","30,81%","37,00%","27,73%"
