Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"5,29%","6,09%","7,56%","1,43%","0,08%","4,67%","6,52%","2,52%","2,76%","1,76%","5,18%",-%,-%,-%,-%,-%
INDICADORES DE VALUATION,P/L,"8,95","8,67","4,78","9,55","-11,95","29,47","125,00","31,31","6,76","-17,70","18,90",-,-,-,-,-
INDICADORES DE VALUATION,PEG RATIO,"-0,23","-0,23",-,-,-,-,"-1,69","-0,40","-0,02","0,07","0,12",-,-,-,-,-
INDICADORES DE VALUATION,P/VP,"2,31","2,24","2,35","5,02","7,81","3,29","2,73","2,30","2,36","4,14","1,96",-,-,-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"7,61","7,48","5,42","7,64","11,31","9,38","7,39","10,97","13,41","19,16","9,63",-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"10,39","10,21","6,50","9,03","15,41","13,57","9,91","18,00","20,58","23,19","11,20",-,-,-,-,-
INDICADORES DE VALUATION,P/EBITDA,"4,20","4,07","2,80","4,43","6,79","5,45","4,29","6,54","7,82","12,29","6,98",-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"5,74","5,56","3,35","5,24","9,25","7,88","5,76","10,73","12,00","14,87","8,12",-,-,-,-,-
INDICADORES DE VALUATION,VPA,"9,93","9,93","8,51","5,11","3,39","5,59","5,82","7,64","7,50","5,66","7,46","29,38","29,54","27,02",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,50","0,48","0,47","0,69","0,84","0,57","0,58","0,55","0,57","0,84","0,65",-,-,-,-,-
INDICADORES DE VALUATION,LPA,"2,56","2,56","4,18","2,69","-2,21","0,62","0,13","0,56","2,62","-1,32","0,77","1,58","4,10","1,00",-,-
INDICADORES DE VALUATION,P/SR,"1,39","1,34","1,12","1,75","2,49","1,94","1,72","1,99","2,37","3,90","2,82",-,-,-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"3,54","3,43","3,71","3,46","4,15","1,88","2,40","2,07","2,88","4,02","2,57",-,-,-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,68","-0,66","-0,64","-1,02","-1,21","-0,95","-0,92","-0,89","-0,87","-1,26","-1,04",-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"1,87","1,87","2,20","3,64","5,19","2,37","1,97","1,56","1,69","2,32","0,74","0,74","0,60","0,55","0,41","0,57"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"3,41","3,41","2,62","3,21","4,52","3,93","3,10","4,43","5,59","6,87","2,65","2,94","1,75","2,65","2,04","5,61"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"4,65","4,65","3,14","3,80","6,15","5,68","4,16","7,27","8,59","8,32","3,08","3,56","1,99","3,43","2,59","44,38"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,22","0,22","0,20","0,14","0,11","0,17","0,21","0,24","0,24","0,20","0,33","0,36","0,38","0,39","0,42","0,41"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,74","0,74","0,76","0,83","0,88","0,81","0,78","0,76","0,76","0,80","0,67","0,64","0,62","0,61","0,58","0,59"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"2,16","2,16","1,94","2,49","2,98","4,40","2,93","3,15","2,40","2,74","3,14","2,71","2,51","2,11","2,44","2,35"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"39,10%","39,10%","47,50%","45,77%","39,52%","33,30%","42,95%","32,67%","33,80%","39,42%","45,86%","37,59%","53,47%","34,26%","37,42%","17,79%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"32,95%","32,95%","40,02%","39,50%","36,65%","35,58%","39,95%","30,40%","30,27%","31,74%","40,41%","29,49%","44,98%","26,55%","28,53%","16,10%"
INDICADORES DE EFICIÊNCIA,M. EBIT,"24,14%","24,14%","33,40%","33,41%","26,90%","24,60%","29,79%","18,54%","19,72%","26,23%","34,73%","24,34%","39,49%","20,49%","22,42%","2,04%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"15,48%","15,48%","23,42%","18,32%","-20,82%","6,58%","1,37%","6,36%","35,00%","-22,03%","14,92%","6,31%","18,06%","4,70%","15,28%","5,70%"
INDICADORES DE RENTABILIDADE,ROE,"25,81%","25,81%","49,08%","52,61%","-65,29%","11,18%","2,18%","7,36%","34,96%","-23,41%","10,35%","5,38%","13,87%","3,69%","10,86%","3,58%"
INDICADORES DE RENTABILIDADE,ROA,"5,57%","5,57%","9,86%","7,18%","-7,05%","1,95%","0,46%","1,74%","8,47%","-4,77%","3,45%","1,94%","5,33%","1,43%","4,57%","1,48%"
INDICADORES DE RENTABILIDADE,ROIC,"8,05%","8,05%","12,22%","12,34%","5,83%","7,77%","10,50%","4,65%","2,60%","3,41%","7,63%","8,33%","11,35%","6,66%","5,31%","-2,88%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,36","0,36","0,42","0,39","0,34","0,30","0,34","0,27","0,24","0,22","0,23","0,31","0,30","0,31","0,30","0,26"
