Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,-%,-%,-%,"1,74%","1,26%","4,04%","2,43%","1,51%","10,78%","6,88%","3,88%","2,57%","1,14%",-%,-%,-%
INDICADORES DE VALUATION,P/L,"21,94","21,94",-,"11,92","38,66","10,02","23,29","20,62","13,44","11,96","11,18","28,06","213,03",-,-,-
INDICADORES DE VALUATION,PEG RATIO,"-1,71","-1,71",-,-,-,-,"0,11","0,19","0,24","-0,48","0,21","0,08",-,-,-,-
INDICADORES DE VALUATION,P/VP,"1,60","1,60",-,"2,43","3,56","0,87","1,72","2,59","1,29","0,68","0,90","1,50","2,63",-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"6,67","6,67",-,"7,96","13,82","4,76",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"9,97","9,97",-,"10,29","23,61","7,57","11,59","10,09","6,72","6,89","8,13","10,89","16,64",-,-,-
INDICADORES DE VALUATION,P/EBITDA,"3,80","3,80",-,"4,94","11,24","2,67",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"5,67","5,67",-,"6,39","19,20","4,24","8,06","5,58","2,58","1,79","2,37","5,17","10,66",-,-,-
INDICADORES DE VALUATION,VPA,"15,11","15,11","11,73","9,68","8,23","26,16","21,95","7,43","4,62","5,00","4,73","4,68","4,64",-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,61","0,61",-,"0,65","1,03","0,31","0,50","0,52","0,29","0,14","0,20","0,37","0,67",-,-,-
INDICADORES DE VALUATION,LPA,"1,10","1,10","0,60","1,97","0,76","2,27","1,62","0,93","0,44","0,29","0,38","0,25","0,06",-,-,-
INDICADORES DE VALUATION,P/SR,"1,66","1,66",-,"1,84","2,67","0,71","1,51","1,14","0,51","0,31","0,44","0,85","1,79",-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"-132,52","-132,52",-,"29,75","12,30","4,02","11,96","20,98","1,01","8,36","1,10","1,88","3,59",-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,72","-0,72",-,"-0,83","-1,54","-0,43","-0,74","-0,73","-0,41","-0,22","-0,30","-0,57","-1,04",-,-,-
