Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE VALUATION,D.Y,"4,60%","4,10%","3,26%","1,91%","0,74%","1,03%","1,06%","1,14%","1,97%","8,24%","1,84%","3,20%","2,63%","4,00%",-%,-%,-%
INDICADORES DE VALUATION,P/L,"16,04","18,02","15,72","38,17","31,62","40,49","29,64","34,45","23,73","3,76","20,44","18,60","27,56","17,58",-,-,-
INDICADORES DE VALUATION,PEG RATIO,"-0,67","-0,75",-,-,-,-,"0,76","2,00","2,97","0,17","1,30","1,27","5,02",-,-,-,-
INDICADORES DE VALUATION,P/VP,"1,53","1,72","2,01","2,46","6,30","9,46","7,65","7,83","5,62","0,94","5,19","5,07","7,50","5,13",-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"6,94","7,87","7,84","12,53","21,47","18,86","17,71","18,33","12,29","2,79","10,60","10,46","15,06","10,84",-,-,-
INDICADORES DE VALUATION,EV/EBIT,"15,07","17,07","13,64","26,64","41,29","27,24","21,62","23,88","16,20","3,58","13,41","13,16","18,64","13,08",-,-,-
INDICADORES DE VALUATION,P/EBITDA,"7,50","8,43","8,29","13,97","21,04","18,75","17,40","17,82","11,52","1,82","9,50","9,26","14,15","10,39",-,-,-
INDICADORES DE VALUATION,P/EBIT,"16,28","18,29","14,42","29,69","40,46","27,08","21,24","23,21","15,20","2,33","12,02","11,65","17,51","12,53",-,-,-
INDICADORES DE VALUATION,VPA,"10,14","10,14","10,18","9,92","6,91","5,94","5,54","4,53","4,12","18,14","14,72","12,02","10,63","9,44",-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,75","0,84","0,96","1,13","2,37","3,77","3,43","3,34","2,29","0,37","1,81","1,68","2,60","1,99",-,-,-
INDICADORES DE VALUATION,LPA,"0,97","0,97","1,30","0,64","1,38","1,39","1,43","1,03","0,98","4,54","3,74","3,28","2,89","2,75",-,-,-
INDICADORES DE VALUATION,P/SR,"1,12","1,25","1,53","2,29","4,60","4,64","3,59","3,39","2,30","0,35","1,85","1,73","2,54","1,83",-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"3,11","3,50","3,36","4,01","10,62","23,57","18,83","12,84","12,70","1,55","6,59","7,09","12,69","6,07",-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-1,81","-2,03","-2,51","-3,25","-6,03","-8,67","-10,46","-9,56","-6,21","-1,02","-5,29","-5,00","-7,69","-6,25",-,-,-

Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"-0,11","-0,11","-0,11","-0,25","0,13","0,06","0,14","0,23","0,37","0,50","0,60","0,66","0,48","0,23","-0,03","0,01","0,33"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"-0,56","-0,56","-0,45","-1,43","0,43","0,11","0,31","0,51","0,76","0,97","1,10","1,20","0,91","0,46","-0,06","0,02","0,83"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"-1,21","-1,21","-0,78","-3,05","0,83","0,17","0,38","0,67","1,01","1,25","1,40","1,51","1,13","0,55","-0,07","0,02","1,07"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,49","0,49","0,48","0,46","0,38","0,40","0,45","0,43","0,41","0,39","0,35","0,33","0,35","0,39","0,42","0,45","0,44"
