Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016
INDICADORES DE VALUATION,D.Y,"0,93%","0,87%",-%,-%,"0,16%",-%,-%,-%,-%
INDICADORES DE VALUATION,P/L,"-378,11","-404,31","137,36","-492,66","513,19",-,-,-,-
INDICADORES DE VALUATION,PEG RATIO,"1,03","1,10",-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/VP,"1,15","1,23","1,40","2,64","15,03",-,-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"12,08","13,46","18,40","65,50","97,83",-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"31,17","34,75","57,42","736,16","223,12",-,-,-,-
INDICADORES DE VALUATION,P/EBITDA,"17,72","18,95","27,45","80,94","100,52",-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"45,74","48,91","85,65","909,71","229,27",-,-,-,-
INDICADORES DE VALUATION,VPA,"4,89","4,90","5,02","4,98","5,35",-,-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,74","0,80","0,88","1,70","6,98",-,-,-,-
INDICADORES DE VALUATION,LPA,"-0,01","-0,01","0,05","-0,03","0,16",-,-,-,-
INDICADORES DE VALUATION,P/SR,"2,68","2,87","3,65","9,70","20,75",-,-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"5,71","6,10","3,85","5,30","28,39",-,-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-1,29","-1,38","-1,64","-3,19","-15,71",-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"-0,35","-0,35","-0,46","-0,50","-0,40","1,74","0,89","0,59","1,32"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"-5,49","-5,49","-9,05","-15,44","-2,69","1,44","0,75","0,44","1,01"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"-14,17","-14,17","-28,23","-173,55","-6,14","2,91","1,50","0,99","3,40"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,65","0,65","0,63","0,64","0,46","0,17","0,22","0,21","0,18"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,35","0,35","0,37","0,36","0,54","0,83","0,78","0,79","0,83"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,45","1,45","1,97","3,12","1,79","0,74","0,65","0,66","0,65"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"45,45%","45,45%","45,17%","45,55%","42,06%","41,82%","44,60%","43,90%","41,64%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"15,12%","15,12%","13,31%","11,98%","20,64%","27,70%","23,22%","23,59%","19,66%"
INDICADORES DE EFICIÊNCIA,M. EBIT,"5,86%","5,86%","4,27%","1,07%","9,05%","13,73%","11,54%","10,35%","5,86%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"-0,71%","-0,71%","2,66%","-1,97%","4,04%","4,69%","3,46%","3,43%","-1,80%"
INDICADORES DE RENTABILIDADE,ROE,"-0,30%","-0,30%","1,02%","-0,54%","2,93%","20,46%","17,82%","19,77%","-11,94%"
INDICADORES DE RENTABILIDADE,ROA,"-0,20%","-0,20%","0,64%","-0,34%","1,36%","3,52%","3,94%","4,17%","-2,10%"
INDICADORES DE RENTABILIDADE,ROIC,"2,34%","2,34%","0,51%","-0,65%","4,13%","16,99%","18,90%","19,96%","10,55%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,28","0,28","0,24","0,17","0,34","0,75","1,14","1,21","1,17"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"31,17%","31,17%","31,17%","23,75%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,-%,-%,"24,64%",-%,-%,-%,-%,-%,-%
