Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE VALUATION,D.Y,"1,68%","1,61%","5,43%","0,78%","1,34%","0,66%","0,96%","1,08%","1,35%","1,83%","1,33%","1,03%","1,29%","3,23%",-%,-%,-%
INDICADORES DE VALUATION,P/L,"24,81","23,29","25,21","17,11","15,12","23,22","20,05","20,92","16,57","12,49","17,23","21,63","18,83","14,76",-,-,-
INDICADORES DE VALUATION,PEG RATIO,"-2,79","-2,62",-,-,-,-,"-1,40","2,75","0,55","16,05","1,21","1,89","0,66",-,-,-,-
INDICADORES DE VALUATION,P/VP,"1,91","1,80","1,81","1,23","1,74","2,14","2,61","3,54","3,00","2,03","3,14","4,02","3,68","2,70",-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"12,88","12,10","15,23","12,71","12,15","17,53","16,38","17,66","13,90","11,57","13,64","17,23","14,86","12,24",-,-,-
INDICADORES DE VALUATION,EV/EBIT,"18,78","17,63","23,51","22,26","16,66","25,16","20,39","20,36","15,96","13,68","15,73","20,06","17,07","14,17",-,-,-
INDICADORES DE VALUATION,P/EBITDA,"12,58","11,81","13,49","12,43","11,78","16,73","15,53","18,27","14,14","10,99","13,40","16,84","14,17","11,24",-,-,-
INDICADORES DE VALUATION,P/EBIT,"18,34","17,22","20,83","21,77","16,16","24,02","19,32","21,06","16,23","12,99","15,46","19,60","16,27","13,02",-,-,-
INDICADORES DE VALUATION,VPA,"21,52","21,52","19,79","20,74","19,60","17,80","16,41","14,73","38,35","32,76","28,96","24,86","21,25","17,68",-,-,-
INDICADORES DE VALUATION,P/ATIVO,"1,17","1,10","1,06","0,81","1,19","1,60","1,86","2,90","2,29","1,48","2,31","2,92","2,58","1,77",-,-,-
INDICADORES DE VALUATION,LPA,"1,66","1,66","1,42","1,49","2,25","1,64","2,13","2,49","6,94","5,32","5,28","4,62","4,15","3,23",-,-,-
INDICADORES DE VALUATION,P/SR,"1,29","1,21","1,20","1,11","1,59","2,12","2,41","3,26","2,44","1,63","2,25","2,63","2,50","1,86",-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"4,79","4,50","5,04","2,78","5,16","11,07","12,42","9,00","8,47","6,71","10,88","16,43","14,39","19,27",-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-2,13","-2,00","-1,85","-1,39","-1,97","-2,24","-2,71","-4,99","-3,90","-2,36","-3,63","-4,51","-3,83","-2,44",-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,04","0,04","0,23","0,03","0,05","0,10","0,14","-0,12","-0,05","0,11","0,06","0,09","0,18","0,24","0,13","0,30","0,70"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"0,29","0,29","1,74","0,28","0,37","0,80","0,85","-0,60","-0,24","0,58","0,24","0,40","0,69","1,00","0,48","0,95","2,23"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"0,42","0,42","2,68","0,49","0,50","1,14","1,06","-0,70","-0,27","0,69","0,28","0,46","0,79","1,16","0,54","1,07","2,98"
