Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE VALUATION,D.Y,-%,-%,-%,"0,21%","0,48%","1,01%","0,47%","1,76%",-%,"1,06%","2,24%",-%,"0,24%",-%,-%,-%,-%
INDICADORES DE VALUATION,P/L,"-33,27","-36,66","-37,06","82,50","413,95","84,07","57,76","4,46","27,29","-48,83","10,88","12,37","-335,94",-,-,-,-
INDICADORES DE VALUATION,PEG RATIO,"-38,01","-41,89",-,-,-,-,"1,08","0,01","-0,12","0,32","0,84","-0,01",-,-,-,-,-
INDICADORES DE VALUATION,P/VP,"1,39","1,53","1,90","4,33","22,14","10,24","14,99","0,84","3,80","4,84","1,85","2,03","3,68",-,-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"7,80","8,41","11,82","39,92","105,38","41,45","27,27","0,91","3,91","8,42","3,71","4,10","11,42",-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"18,66","20,12","29,65","109,22","195,17","57,11","31,40","1,05","4,81","11,54","4,58","5,22","17,76",-,-,-,-
INDICADORES DE VALUATION,P/EBITDA,"5,95","6,56","9,56","37,84","106,18","43,65","27,71","1,68","3,31","6,89","2,31","2,95","8,75",-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"14,23","15,69","23,96","103,54","196,64","60,14","31,91","1,95","4,07","9,45","2,85","3,76","13,61",-,-,-,-
INDICADORES DE VALUATION,VPA,"1,41","1,41","1,44","1,67","1,13","4,66","12,08","95,91","27,94","3,65","4,16","3,72","3,30",-,-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,36","0,39","0,49","1,27","6,58","3,92","3,92","0,23","0,39","0,57","0,26","0,30","0,55",-,-,-,-
INDICADORES DE VALUATION,LPA,"-0,06","-0,06","-0,07","0,09","0,06","0,57","3,13","17,99","3,89","-0,36","0,71","0,61","-0,04",-,-,-,-
INDICADORES DE VALUATION,P/SR,"0,35","0,39","0,50","1,38","5,56","3,90","2,21","0,14","0,25","0,36","0,14","0,17","0,32",-,-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"5,63","6,20","3,24","5,27","47,94","16,02","33,71","1,55","9,55","6,59","2,48","3,57","5,49",-,-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,76","-0,84","-1,13","-3,51","-20,66","-11,15","-14,47","-0,80","-1,08","-1,44","-0,74","-0,79","-1,34",-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,43","0,43","0,41","0,24","-0,17","-0,52","-0,24","-0,39","0,69","1,23","1,12","0,79","1,12","0,83","8,42",-,"8,48"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"1,85","1,85","2,27","2,07","-0,80","-2,20","-0,44","-0,78","0,60","1,52","1,40","1,15","2,67","1,71","1,25","7,19","22,20"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"4,43","4,43","5,68","5,67","-1,48","-3,03","-0,51","-0,90","0,74","2,09","1,73","1,46","4,15","2,41","1,59","116,61","-44,06"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,26","0,26","0,28","0,29","0,30","0,38","0,26","0,28","0,10","0,10","0,14","0,15","0,15","0,18","0,01","0,00","0,04"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,74","0,74","0,72","0,71","0,70","0,62","0,74","0,72","0,90","0,90","0,86","0,85","0,85","0,82","0,99","1,00","0,96"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,14","1,14","1,48","1,61","1,25","1,60","1,19","1,27","1,07","1,17","1,20","1,16","1,21","1,23","1,08","1,09","1,03"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"28,51%","28,51%","27,99%","24,06%","25,77%","27,93%","29,10%","30,09%","30,74%","28,72%","27,53%","27,98%","28,43%","33,40%","34,15%","36,13%","38,59%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"5,95%","5,95%","5,19%","3,65%","5,23%","8,93%","7,99%","8,60%","7,51%","5,18%","6,19%","5,90%","3,66%","4,68%","6,65%","1,93%","1,27%"
INDICADORES DE EFICIÊNCIA,M. EBIT,"2,49%","2,49%","2,07%","1,33%","2,83%","6,48%","6,94%","7,41%","6,11%","3,77%","5,02%","4,64%","2,36%","3,33%","5,23%","0,12%","-0,64%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"-1,06%","-1,06%","-1,34%","1,67%","1,34%","4,64%","3,83%","3,25%","0,91%","-0,73%","1,31%","1,41%","-0,10%","0,18%","1,43%","-2,77%","-2,94%"
INDICADORES DE RENTABILIDADE,ROE,"-4,17%","-4,17%","-4,69%","5,25%","5,35%","12,19%","25,94%","18,76%","13,93%","-11,40%","17,04%","16,38%","-1,09%","1,88%","145,11%","-1.529,06%","-88,46%"
INDICADORES DE RENTABILIDADE,ROA,"-1,08%","-1,08%","-1,32%","1,54%","1,59%","4,66%","6,79%","5,24%","1,42%","-1,19%","2,43%","2,41%","-0,16%","0,33%","1,75%","-3,52%","-3,66%"
INDICADORES DE RENTABILIDADE,ROIC,"1,31%","1,31%","0,01%","-1,87%","8,90%","11,79%","32,34%","27,15%","23,13%","10,73%","19,84%","17,76%","7,34%","13,31%","25,57%","-5,79%","-6,70%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"1,01","1,01","0,99","0,92","1,18","1,00","1,77","1,62","1,56","1,63","1,85","1,72","1,72","1,83","1,22","1,27","1,25"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"25,49%","25,49%","25,49%","29,98%","26,58%","15,25%","14,02%","11,14%","8,17%","13,30%","23,89%","25,38%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,-%,-%,-%,"46,82%",-%,"48,29%","39,32%",-%,"49,31%",-%,-%,-%,-%,-%,-%,-%,-%
