Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014
INDICADORES DE VALUATION,D.Y,"1,32%","1,02%","18,96%","3,30%","0,65%","1,24%","4,30%",-%,-%,-%,-%
INDICADORES DE VALUATION,P/L,"-74,07","-96,36","4,97","6,98","56,62","22,11","11,49","22,64",-,-,-
INDICADORES DE VALUATION,PEG RATIO,"0,70","0,91",-,-,-,-,"0,08","0,34",-,-,-
INDICADORES DE VALUATION,P/VP,"1,09","1,42","1,00","1,74","2,62","2,19","1,11","1,17",-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"4,29","4,57","3,85","6,10","12,39","9,56",-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"7,81","8,32","5,65","7,62","29,21","15,24","8,66","10,24",-,-,-
INDICADORES DE VALUATION,P/EBITDA,"0,95","1,23","0,78","2,74","8,61","6,75",-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"1,73","2,25","1,15","3,43","20,28","10,76","4,84","5,97",-,-,-
INDICADORES DE VALUATION,VPA,"8,36","8,36","7,64","9,07","7,89","8,74","7,77","6,02",-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,15","0,20","0,11","0,26","0,73","0,70","0,35","0,38",-,-,-
INDICADORES DE VALUATION,LPA,"-0,12","-0,12","1,54","2,26","0,36","0,86","0,75","0,31",-,-,-
INDICADORES DE VALUATION,P/SR,"0,31","0,41","0,29","1,07","1,51","1,31","0,72","0,61",-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"3,98","5,18","0,78","1,06","-90,73","-17,36","-8,87","-3,31",-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,19","-0,25","-0,16","-0,45","-1,01","-0,95","-0,49","-0,53",-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"3,85","3,85","3,94","2,12","1,15","0,91","0,88","0,84","1,27","0,99","0,76"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"3,34","3,34","3,07","3,35","3,78","2,81",-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"6,08","6,08","4,51","4,19","8,92","4,48","3,83","4,27","4,79","5,20","55,58"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,14","0,14","0,11","0,15","0,28","0,32","0,32","0,32","0,26","0,30","0,46"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,86","0,86","0,89","0,85","0,72","0,68","0,68","0,68","0,74","0,70","0,54"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,21","1,21","1,60","2,44","0,97","0,87","0,87","0,72","0,38","0,69","0,43"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"32,22%","32,22%","37,56%","44,75%","21,19%","24,49%","31,77%","26,13%","23,47%","21,86%","34,17%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"33,07%","33,07%","36,99%","39,06%","17,56%","19,46%",-%,-%,-%,-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"18,17%","18,17%","25,17%","31,26%","7,45%","12,20%","14,96%","10,22%","10,10%","12,53%","15,54%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"-0,42%","-0,42%","5,80%","15,37%","2,67%","5,94%","6,29%","2,69%","2,10%","5,53%","8,63%"
INDICADORES DE RENTABILIDADE,ROE,"-1,48%","-1,48%","20,10%","24,95%","4,62%","9,90%","9,63%","5,17%","5,50%","8,44%","0,76%"
INDICADORES DE RENTABILIDADE,ROA,"-0,21%","-0,21%","2,12%","3,77%","1,28%","3,15%","3,08%","1,66%","1,42%","2,56%","0,35%"
INDICADORES DE RENTABILIDADE,ROIC,"11,00%","11,00%","11,02%","7,23%","4,05%","7,62%","8,47%","7,23%","9,88%","6,44%","0,68%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,49","0,49","0,37","0,25","0,48","0,53","0,49","0,62","0,68","0,46","0,04"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"31,22%","31,22%","31,22%","23,01%","27,48%","133,51%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,-%,-%,"52,95%","83,21%","10,21%","116,71%",-%,-%,-%,-%,-%
