Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,-%,-%,"25,83%","12,93%",-%,-%,-%,-%,-%,-%,-%,-%,-%,"0,16%",-%,-%
INDICADORES DE VALUATION,P/L,"-4,38","-4,18","1,38","3,51","3,13","28,37","2,43","-9,41","-5,07","-5,64","-4,30","-2,28","-13,14","-3,97",-,-
INDICADORES DE VALUATION,PEG RATIO,"0,03","0,03",-,-,-,-,"-0,01","0,33","-0,32","0,27","0,23","-0,01","0,19",-,-,-
INDICADORES DE VALUATION,P/VP,"1,55","1,47","1,03","3,90","4,93","10,00","5,04","1,90","3,80","5,14","1,63","0,69","0,71","0,91",-,-
INDICADORES DE VALUATION,EV/EBITDA,"9,10","9,00","0,46","2,66","2,82","4,34","10,64","10,38","6,19","4,56",-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"217,91","215,52","0,59","3,00","3,32","5,87","27,10","29,70","9,02","10,14","12,45","10,80","8,60","11,39",-,-
INDICADORES DE VALUATION,P/EBITDA,"2,07","1,98","0,46","1,07","1,12","1,34","3,15","3,75","2,28","1,44",-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"49,59","47,30","0,59","1,21","1,31","1,81","8,04","10,72","3,32","3,20","3,37","2,40","2,06","3,02",-,-
INDICADORES DE VALUATION,VPA,"6,58","6,58","8,44","5,67","2,94","1,00","1,08","3,85","1,74","1,24","3,75","5,82","11,98","9,38",-,-
INDICADORES DE VALUATION,P/ATIVO,"0,07","0,07","0,04","0,32","0,26","0,20","0,13","0,21","0,17","0,16","0,16","0,12","0,12","0,12",-,-
INDICADORES DE VALUATION,LPA,"-2,32","-2,32","6,31","6,28","4,64","0,35","2,25","-0,78","-1,30","-1,13","-1,42","-1,75","-0,65","-2,15",-,-
INDICADORES DE VALUATION,P/SR,"0,07","0,07","0,04","0,18","0,15","0,13","0,11","0,45","0,18","0,17","0,21","0,11","0,18","0,14",-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"0,98","0,94","0,56","6,19","2,27","1,63","1,09","1,22","1,79","0,75","0,86","0,55","1,16","1,10",-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,12","-0,11","-0,07","-0,54","-0,49","-0,36","-0,23","-0,39","-0,31","-0,30","-0,27","-0,20","-0,19","-0,20",-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"5,25","5,25",-,"5,76","7,52","22,36","11,95","3,37","6,52","11,16","4,37","2,40","2,25","2,52","1,50","0,59"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"7,03","7,03",-,"1,59","1,70","3,00","7,48","6,64","3,91","3,12",-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"168,23","168,23",-,"1,79","2,00","4,05","19,06","18,98","5,70","6,94","9,07","8,40","6,54","8,37","6,63","5,54"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,05","0,05",-,"0,08","0,05","0,02","0,03","0,11","0,04","0,03","0,10","0,17","0,16","0,14","0,17","0,31"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,80","0,80",-,"0,88","0,91","0,94","0,85","0,88","0,95","0,96","0,90","0,83","0,83","0,86","0,82","0,69"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,22","1,22",-,"1,14","1,33","1,36","1,36","1,62","1,26","1,82","1,79","2,03","1,33","1,40","1,35","1,83"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"10,02%","10,02%","13,59%","20,14%","17,37%","13,09%","12,93%","13,50%","11,51%","11,76%","13,03%","12,32%","14,30%","14,19%","16,38%","13,03%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"3,36%","3,36%","9,58%","16,62%","13,70%","9,45%","3,62%","11,98%","8,02%","11,76%",-%,-%,-%,-%,-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"0,14%","0,14%","7,39%","14,77%","11,64%","7,00%","1,42%","4,19%","5,51%","5,29%","6,19%","4,62%","8,66%","4,67%","5,52%","4,20%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"-1,59%","-1,59%","3,19%","5,08%","4,89%","0,45%","4,70%","-4,77%","-3,61%","-3,00%","-4,86%","-4,87%","-1,36%","-3,55%","0,92%","5,55%"
INDICADORES DE RENTABILIDADE,ROE,"-35,29%","-35,29%",-%,"110,85%","157,62%","35,26%","207,18%","-20,21%","-74,92%","-91,10%","-37,85%","-30,16%","-5,39%","-22,92%","3,78%","14,17%"
INDICADORES DE RENTABILIDADE,ROA,"-1,61%","-1,61%",-%,"9,05%","8,36%","0,69%","5,26%","-2,27%","-3,35%","-2,80%","-3,66%","-5,12%","-0,87%","-3,13%","0,65%","4,36%"
INDICADORES DE RENTABILIDADE,ROIC,"-0,53%","-0,53%",-%,"28,34%","23,40%","13,25%","0,13%","-0,33%","5,71%","2,66%","4,79%","4,14%","6,91%","2,90%","3,39%","4,39%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"1,02","1,02",-,"1,78","1,71","1,54","1,12","0,48","0,93","0,93","0,75","1,05","0,65","0,88","0,70","0,79"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"66,77%","66,77%","66,77%","35,31%","28,12%","26,24%","9,64%","-9,32%","-2,17%","4,25%","9,58%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
