Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE VALUATION,D.Y,-%,-%,"5,21%","5,33%","1,95%","5,16%","8,33%","4,25%","3,23%","8,93%","4,01%","3,11%","3,15%","1,68%",-%,-%,-%
INDICADORES DE VALUATION,P/L,"-18,39","-24,43","-18,13","7,20","16,60","13,87","7,95","10,22","8,72","7,12","4,97","9,63","10,96","6,79",-,-,-
INDICADORES DE VALUATION,PEG RATIO,"0,11","0,15",-,-,-,-,"1,41","0,59","5,01","-0,30","0,07","-0,49","-0,36",-,-,-,-
INDICADORES DE VALUATION,P/VP,"0,69","0,92","0,63","0,95","1,61","1,98","1,19","1,21","0,94","0,82","0,82","0,99","1,52","1,51",-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"33,94","38,47","16,29","7,62","14,60","13,44","9,38","13,19","11,89","9,14","6,57","11,23","12,33","7,74",-,-,-
INDICADORES DE VALUATION,EV/EBIT,"141,06","159,86","29,61","8,83","17,80","16,33","10,19","14,16","11,89","9,14","6,91","12,09","12,80","7,74",-,-,-
INDICADORES DE VALUATION,P/EBITDA,"13,77","18,30","5,77","4,38","10,50","10,64","6,81","9,33","10,68","7,82","4,84","8,07","8,98","5,78",-,-,-
INDICADORES DE VALUATION,P/EBIT,"57,24","76,04","10,49","5,08","12,80","12,92","7,40","10,02","10,68","7,82","5,09","8,69","9,32","5,78",-,-,-
INDICADORES DE VALUATION,VPA,"12,19","12,21","12,06","12,62","11,77","10,90","10,43","12,48","11,67","10,63","9,19","8,49","7,88","7,10",-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,20","0,26","0,16","0,29","0,51","0,65","0,40","0,46","0,39","0,34","0,33","0,40","0,56","0,56",-,-,-
INDICADORES DE VALUATION,LPA,"-0,46","-0,46","-0,42","1,67","1,14","1,55","1,55","1,47","1,25","1,22","1,51","0,88","1,09","1,58",-,-,-
INDICADORES DE VALUATION,P/SR,"0,66","0,88","0,55","0,81","1,37","1,58","1,01","1,40","1,14","0,82","0,86","1,05","1,52","1,29",-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"0,89","1,18","0,70","1,06","1,85","1,92","1,05","1,32","1,18","1,03","1,11","1,23","2,00","1,54",-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,36","-0,47","-0,30","-0,53","-0,96","-1,39","-0,95","-1,07","-0,92","-0,85","-0,78","-0,94","-1,39","-1,63",-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"1,01","1,01","1,15","0,70","0,63","0,52","0,45","0,50","0,10","0,14","0,29","0,39","0,57","0,51","0,37","0,03","0,18"
