Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
INDICADORES DE VALUATION,D.Y,"3,84%","2,84%","3,27%","2,67%","1,93%","1,42%","3,32%","1,70%","0,85%","3,42%","1,74%","2,10%","2,55%","1,51%","0,92%",-%
INDICADORES DE VALUATION,P/L,"16,29","17,84","17,10","24,82","14,66","42,22","10,29","38,44","15,28","8,42","10,35","31,42","27,80","23,00","30,28",-
INDICADORES DE VALUATION,PEG RATIO,"0,57","0,62",-,-,-,-,"0,37","2,09","-1,10","-5,27","0,35","-1,18","0,92","0,63",-,-
INDICADORES DE VALUATION,P/VP,"2,26","2,47","2,00","1,77","2,27","3,56","0,91","2,74","1,07","0,73","0,94","2,34","3,37","2,22","2,25",-
INDICADORES DE VALUATION,EV/EBITDA,"10,86","11,79","11,99","16,38","11,67","24,02",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"11,90","12,91","14,13","22,06","13,99","31,34","9,27","25,23","10,98","7,73","8,90","22,01","22,53","18,15","20,01",-
INDICADORES DE VALUATION,P/EBITDA,"9,68","10,60","10,45","13,66","10,29","21,63",-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"10,60","11,61","12,31","18,39","12,33","28,23","6,61","22,34","7,29","4,86","6,05","18,40","19,94","17,37","21,64",-
INDICADORES DE VALUATION,VPA,"11,49","11,49","10,96","10,59","10,37","9,30","26,65","25,89","55,44","52,09","50,67","21,31","17,89","17,24","16,42",-
INDICADORES DE VALUATION,P/ATIVO,"1,44","1,58","1,21","1,05","1,34","2,08","0,55","1,64","0,60","0,43","0,57","1,40","1,90","1,46","1,66",-
INDICADORES DE VALUATION,LPA,"1,59","1,59","1,28","0,75","1,60","0,78","2,36","1,84","3,89","4,51","4,59","1,59","2,17","1,66","1,22",-
INDICADORES DE VALUATION,P/SR,"7,94","8,70","7,32","8,73","13,07","15,23","3,96","12,28","4,29","2,86","3,42","9,19","11,26","10,14","10,94",-
