Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE VALUATION,D.Y,-%,-%,"1,13%",-%,-%,"1,01%",-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE VALUATION,P/L,"5,00","4,93","-5,62","33,47","-111,03","67,97",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,PEG RATIO,"-0,01","-0,01",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/VP,"0,85","0,84","0,72","1,23","2,64","334.750.699,57",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBITDA,"2,60","2,58","13,49","10,97","23,08",-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"-75,45","-74,77","-51,67","37,39","98,37","31,45",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBITDA,"2,67","2,64","9,16","9,20","21,45",-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"-77,61","-76,61","-35,08","31,37","91,42","26,32",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,VPA,"20,21","20,21","16,15","20,69","19,90","0,00",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,47","0,46","0,29","0,58","1,19","1,90",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,LPA,"3,43","3,43","-2,07","0,76","-0,47","0,57",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/SR,"0,72","0,71","0,44","0,87","1,96","2,36",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"3,02","2,98","5,77","9,34","28,03","334.750.699,57",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,72","-0,71","-0,42","-0,82","-1,71","334.750.699,57",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"-0,02","-0,02","0,34","0,24","0,20","1,56","2,33","3,46","2,10","2,68","2,03","1,37","0,52","0,54","0,10","0,18","0,13"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,"-0,06","-0,06","4,33","1,77","1,63","2,13",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"1,84","1,84","-16,59","6,02","6,94","3,88","4,78","4,17","1,93","2,19","1,67","1,11","0,50","0,51","0,11","0,22","0,17"
INDICADORES DE ENDIVIDAMENTO,PL/ATIVOS,"0,55","0,55","0,41","0,47","0,45","0,16","0,17","0,11","0,12","0,11","0,16","0,18","0,24","0,33","0,39","0,42","0,45"
INDICADORES DE ENDIVIDAMENTO,PASSIVOS/ATIVOS,"0,45","0,45","0,59","0,53","0,55","0,84","0,83","0,89","0,88","0,89","0,84","0,81","0,76","0,67","0,61","0,58","0,55"
INDICADORES DE ENDIVIDAMENTO,LIQ. CORRENTE,"1,82","1,82","1,21","1,28","1,16","1,25","1,41","1,02",-,"1,32","1,36","1,51","1,40","1,73","1,59","1,39","1,67"
INDICADORES DE EFICIÊNCIA,M. BRUTA,"64,98%","64,98%","63,81%","64,90%","64,17%","72,08%","71,76%","70,45%","69,08%","69,41%","69,63%","69,89%","70,56%","70,20%","69,69%","69,48%","68,87%"
INDICADORES DE EFICIÊNCIA,M. EBITDA,"26,88%","26,88%","4,82%","9,49%","9,11%","17,09%",-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE EFICIÊNCIA,M. EBIT,"-0,93%","-0,93%","-1,26%","2,78%","2,14%","9,35%","9,38%","13,79%","13,69%","15,91%","18,42%","20,20%","21,60%","23,52%","22,74%","21,59%","21,54%"
INDICADORES DE EFICIÊNCIA,M. LÍQUIDA,"14,39%","14,39%","-7,87%","2,61%","-1,76%","1,08%","4,09%","6,80%","3,75%","6,50%","9,89%","12,02%","13,78%","14,86%","14,48%","16,12%","14,48%"
INDICADORES DE RENTABILIDADE,ROE,"16,95%","16,95%","-12,80%","3,67%","-2,38%","4,62%","21,30%","41,00%","29,78%","49,94%","65,21%","73,55%","66,95%","66,46%","59,17%","60,00%","51,07%"
INDICADORES DE RENTABILIDADE,ROA,"9,39%","9,39%","-5,23%","1,73%","-1,07%","0,73%","3,57%","4,48%","3,52%","5,47%","10,18%","13,49%","16,27%","21,91%","23,09%","24,95%","23,10%"
INDICADORES DE RENTABILIDADE,ROIC,"-3,13%","-3,13%","-1,61%","0,17%","1,25%","8,50%","10,27%","9,64%","17,90%","13,67%","19,68%","24,77%","26,08%","37,27%","40,72%","39,36%","36,19%"
INDICADORES DE RENTABILIDADE,GIRO ATIVOS,"0,65","0,65","0,66","0,66","0,61","0,68","0,87","0,66","0,94","0,84","1,03","1,12","1,18","1,47","1,59","1,55","1,59"
INDICADORES DE CRESCIMENTO,CAGR RECEITAS 5 ANOS,"29,83%","29,83%","29,83%","38,39%","36,13%","14,29%","13,83%","9,20%","7,19%","8,99%","11,80%","14,41%",-%,-%,-%,-%,-%
INDICADORES DE CRESCIMENTO,CAGR LUCROS 5 ANOS,"47,94%","47,94%",-%,"28,71%",-%,"-26,66%","-8,23%","-5,18%","-18,61%","-7,15%","1,39%","10,23%",-%,-%,-%,-%,-%
