Tipo do Indicador,Nome do Indicador,ATUAL,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
INDICADORES DE VALUATION,D.Y,-%,-%,"2,15%","10,02%","0,78%","0,91%",-%,-%,-%,-%,-%,-%,-%,-%,-%,-%,-%
INDICADORES DE VALUATION,P/L,"-0,52","-0,37","-25,95","7,30","9,24","30,02",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,PEG RATIO,"0,00","0,00",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/VP,"0,31","0,22","0,39","0,43","1,47","2,17",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBITDA,-,-,-,-,-,"7,72",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,EV/EBIT,"-7,42","-6,55",-,-,-,"15,27",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBITDA,-,-,"2,03","1,97","3,21","6,15",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/EBIT,"-2,96","-2,11","-7,90","110,46","7,66","12,18",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,VPA,"10,23","18,57","42,74","50,66","51,03","41,00","38,76","38,27","37,11","38,97","39,54","35,92","32,40","29,33",-,-,-
INDICADORES DE VALUATION,P/ATIVO,"0,07","0,05","0,10","0,12","0,38","0,41",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,LPA,"-6,00","-10,89","-0,64","2,98","8,12","2,96","4,47","2,18","-1,81","1,00","4,56","3,99","4,01","2,76",-,-,-
INDICADORES DE VALUATION,P/SR,"6,28","4,48","0,26","0,36","0,39","0,42",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/CAP. GIRO,"0,81","0,58","0,41","4,43","-23,92","-7,31",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE VALUATION,P/ATIVO CIRC. LIQ.,"-0,10","-0,07","-0,29","-0,19","-0,56","-0,62",-,-,-,-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/PL,"0,46","0,46","0,18","0,06","0,03","0,57","0,10","0,08","0,06","-0,23","-0,10","0,12","0,31","0,81","0,58","-0,03","0,33"
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBITDA,-,-,"0,96","0,26","0,07","1,62","0,39","0,30","-5,08",-,-,-,-,-,-,-,-
INDICADORES DE ENDIVIDAMENTO,DÍV. LÍQUIDA/EBIT,"-4,44","-4,44","-3,74","14,68","0,17","3,20","0,53","0,54","0,88","-1,88","-0,37","0,37","1,19","2,90","2,77","-0,19","2,62"
